type,label,website,hostname,level
university,Academic University,https://www.acu.edu.ly/,acu.edu.ly,university
university,Libyan Academy,http://www.alacademia.edu.ly/Default_EN.aspx,alacademia.edu.ly,university
university,Al-Hadra University of Humanities and Applied Sciences,http://alhadera.edu.ly/,alhadera.edu.ly,university
university,Alrefak University,https://www.alrefak.edu.ly/,alrefak.edu.ly,university
government_agency,Q125912040,https://www.aonsrt.ly/,aonsrt.ly,
university,Africa University of Humanities and Applied Sciences,https://ar.africaun.edu.ly/,ar.africaun.edu.ly,university
government_agency,Libyan Center for Archives and Historical Studies,https://www.arsheef.org/libyan-center-for-archives-and-historical-studies,arsheef.org,
university,Alasmarya Islamic University,http://www.asmarya.edu.ly,asmarya.edu.ly,university
university,Al-Tahadi National Medical University,https://www.attahadi.edu.ly/web/index.php?do=change_lang&lang=ar,attahadi.edu.ly,university
university,Azzaytuna University,http://www.azu.edu.ly/default_en.aspx,azu.edu.ly,university
government_agency,Bureau of Statistics and Census Libya,http://www.bsc.ly/,bsc.ly,central
university,Bright Star University,https://bsu.edu.ly/En/Default,bsu.edu.ly,university
university,Bani Walid University,https://bwu.edu.ly/,bwu.edu.ly,university
university,Bani Walid University,https://bwu.edu.ly,bwu.edu.ly,university
government_agency,Central Committee for Municipal Council Elections,http://ccmce.ly/,ccmce.ly,central
university,Higher Institute of Computer Technology,http://www.cctt.edu.ly/,cctt.edu.ly,university
government_agency,Delegation of the European Union to Libya,https://eeas.europa.eu/delegations/libya_en,eeas.europa.eu,
university,Al-Mergab University,https://www.elmergib.edu.ly/en/,elmergib.edu.ly,university
university,University Elmergib,http://www.elmergib.edu.ly/,elmergib.edu.ly,university
university,Fezzan University,https://fezzanu.edu.ly/en/,fezzanu.edu.ly,university
university,Al-Asmariya Islamic University,https://free-apply.com/en/university/1043400002,free-apply.com,university
university,University of Gharyan,http://gu.edu.ly/en/general-information/,gu.edu.ly,university
government_agency,High National Election Commission,http://hnec.ly/,hnec.ly,central
government_agency,High National Election Commission,https://hnec.ly/category/news-en/,hnec.ly,central
government_agency,High National Election Commission,https://hnec.ly,hnec.ly,central
university,Higher Institute of Medical Sciences and Technologies,https://imst.edu.ly/,imst.edu.ly,university
university,Al-Jafra University,https://ju.edu.ly/,ju.edu.ly,university
government_agency,Libyan Climate Change Research Center,https://www.lccrc.ly,lccrc.ly,
university,Libyan University of Humanities and Applied Sciences,https://www.libyanuniv.edu.ly/,libyanuniv.edu.ly,university
university,Libyan International University,http://www.limu.edu.ly/,limu.edu.ly,university
university,Libyan International University,http://www.limu.edu.ly/ar,limu.edu.ly,university
government_agency,Libyan Society for Research and Scientific Studies,https://www.lsrss.com.ly,lsrss.com.ly,
government_agency,"Embassy of France, Tripoli",https://ly.ambafrance.org,ly.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Tripoli",http://ly.china-embassy.org/eng/,ly.china-embassy.org,central
government_agency,embassy of Greece in Libya,https://www.mfa.gr/missionsabroad/libya.html,mfa.gr,central
university,Misrata University,http://www.misuratau.edu.ly/,misuratau.edu.ly,university
government_agency,"Embassy of the United Arab Emirates, Tripoli",https://www.mofaic.gov.ae/missions/UAE-Missions-Abroad/UAE-Missions-Abroad-Details?countryId=372200fd-b16a-40ea-9297-37ce0be7fdc0,mofaic.gov.ae,central
university,Al-Manar Al-Sateh Medical University,https://www.msud.edu.ly/,msud.edu.ly,university
government_agency,"Embassy of Croatia, Tripoli","http://www.mvep.hr/en/diplomatic-directory/diplomatic-missions-and-consular-offices-of-croatia/libya-tripoli,337.html",mvep.hr,central
government_agency,National Centre for Disease Control,https://ncdc.org.ly/,ncdc.org.ly,
government_agency,embassy of Nigeria in Libya,https://www.nigeriantripoli.org/,nigeriantripoli.org,central
government_agency,National Library of Libya,http://www.nllnet.net/,nllnet.net,
university,Omar Al-Mukhtar University,http://www.omu.edu.ly,omu.edu.ly,university
parliament,House of Representatives,https://parliament.ly,parliament.ly,central
supreme_court,House of Representatives,https://parliament.ly,parliament.ly,central
university,Sabratha University,http://www.sbu.edu.ly/,sbu.edu.ly,university
university,Sebha University,http://www.sebhau.edu.ly,sebhau.edu.ly,university
university,South Mediterranean University,https://www.smu.edu.ly,smu.edu.ly,university
university,Sirte University,http://su.edu.ly,su.edu.ly,university
government_agency,"Honorary Consulate of Sweden, Benghazi",https://www.sveriges-konsulat.com/se/11313/Sverige-i-Benghazi,sveriges-konsulat.com,
government_agency,"Embassy of Romania, Tripoli",http://tripoli.mae.ro,tripoli.mae.ro,central
government_agency,"Embassy of Hungary, Tripoli",https://tripoli.mfa.gov.hu/,tripoli.mfa.gov.hu,central
university,University of Ajdabia,http://uoa.edu.ly/ar/page/6/,uoa.edu.ly,university
university,University of Benghazi,http://www.uob.edu.ly/eng/,uob.edu.ly,university
university,University of Derna,https://uod.edu.ly,uod.edu.ly,university
university,University of Tripoli,https://uot.edu.ly/,uot.edu.ly,university
university,University of Tripoli Al-ahlia,https://utripoli.edu.ly/,utripoli.edu.ly,university
university,University of Zawia,https://zu.edu.ly/en/university/,zu.edu.ly,university
