type,label,website,hostname,level
government_agency,embassy of Brazil in Saint Lucia,http://castries.itamaraty.gov.br,castries.itamaraty.gov.br,central
government_agency,Eastern Caribbean Central Bank,http://www.eccb-centralbank.org,eccb-centralbank.org,
government_agency,embassy of Mexico in Saint Lucia,https://embamex.sre.gob.mx/santalucia,embamex.sre.gob.mx,central
government_agency,British High Commission Castries,https://www.gov.uk/world/organisations/british-high-commission-castries,gov.uk,central
ministry,Ministry of Health and Wellness,http://health.govt.lc/,health.govt.lc,central
government_agency,Ministry of Health and Wellness,http://health.govt.lc/,health.govt.lc,central
government_agency,Embassy of France in Castries,https://lc.ambafrance.org/,lc.ambafrance.org,central
government_agency,Saint Lucia National Emergency Management Organisation,http://nemo.gov.lc/,nemo.gov.lc,
supreme_court,Parliament of Saint Lucia,https://parliament.govt.lc/,parliament.govt.lc,central
parliament,Parliament of Saint Lucia,https://parliament.govt.lc/,parliament.govt.lc,central
government_agency,Law enforcement in Saint Lucia,http://www.security.gov.vc/index.php?option=com_content&view=article&id=60&Itemid=69/,security.gov.vc,
government_agency,Saint Lucia Bureau of Standards,https://www.slbs.org,slbs.org,
government_agency,The Central Statistical Office of Saint Lucia,http://www.stats.gov.lc/,stats.gov.lc,
government_agency,Central Statistics Office,http://stats.gov.lc/,stats.gov.lc,central
government_agency,"Embassy of the Republic of China (Taiwan), Gros Islet",http://www.taiwanembassy.org/lc_en/index.html,taiwanembassy.org,central
