type,label,website,hostname,level
university,American International Medical University,http://www.aimu.us/,aimu.us,university
government_agency,Eastern Caribbean Central Bank,http://www.eccb-centralbank.org,eccb-centralbank.org,
government_agency,Ministry of Health and Wellness,http://health.govt.lc/,health.govt.lc,central
university,International American University College of Medicine,http://iau.edu.lc,iau.edu.lc,university
government_agency,Embassy of France in Castries,https://lc.ambafrance.org/,lc.ambafrance.org,central
supreme_court,Parliament of Saint Lucia,https://parliament.govt.lc/,parliament.govt.lc,central
parliament,Parliament of Saint Lucia,https://parliament.govt.lc/,parliament.govt.lc,central
government_agency,Saint Lucia Bureau of Standards,https://www.slbs.org,slbs.org,
university,Spartan Health Sciences University,http://www.spartanmed.org,spartanmed.org,university
government_agency,"Embassy of the Republic of China (Taiwan), Gros Islet",http://www.taiwanembassy.org/lc_en/index.html,taiwanembassy.org,central
