subdomain,http_status,mx
autodiscover.regierung.li,503,none
bua.regierung.li,200,none
fototool.regierung.li,200,none
lyncdiscover.regierung.li,Could not resolve host: lyncdiscover.regierung.li,none
ma.regierung.li,200,none
medienportal.regierung.li,405,none
mg.regierung.li,200,none
mi.regierung.li,200,none
minf.regierung.li,200,none
mpf.regierung.li,200,none
regierung.li,405,10 mailgw20.llv.li.
sip.regierung.li,Could not resolve host: sip.regierung.li,none
www.bua.regierung.li,Could not resolve host: www.bua.regierung.li,none
www.regierung.li,405,none
