type,label,website,hostname,level
government_agency,National Library of Sri Lanka,http://220.247.247.85:8083,220.247.247.85,
government_agency,embassy of Italy in Sri Lanka,https://ambcolombo.esteri.it,ambcolombo.esteri.it,central
government_agency,Department of Archaeology,http://www.archaeology.gov.lk/,archaeology.gov.lk,central
government_agency,Department of National Archives,http://www.archives.gov.lk/,archives.gov.lk,
government_agency,Attanagalla Divisional Secretariat,http://www.attanagalla.ds.gov.lk/,attanagalla.ds.gov.lk,
government_agency,Attorney-General's Department,http://www.attorneygeneral.gov.lk,attorneygeneral.gov.lk,central
ministry,Ministry of Civil Aviation,http://www.aviationmin.gov.lk/,aviationmin.gov.lk,
government_agency,Ministry of Civil Aviation,http://www.aviationmin.gov.lk/,aviationmin.gov.lk,central
government_agency,Department of National Botanic Gardens,http://www.botanicgardens.gov.lk/,botanicgardens.gov.lk,
government_agency,Civil Aviation Authority of Sri Lanka,http://www.caa.lk/,caa.lk,
government_agency,High commission of Canada in Sri Lanka,https://www.canadainternational.gc.ca/sri_lanka/index.aspx,canadainternational.gc.ca,central
government_agency,Central Bank of Sri Lanka,https://www.cbsl.gov.lk/,cbsl.gov.lk,
government_agency,Ministry of Coconut Development and Janatha Estate Development,http://www.cdjedmin.gov.lk/,cdjedmin.gov.lk,
ministry,Ministry of Coconut Development and Janatha Estate Development,http://www.cdjedmin.gov.lk/,cdjedmin.gov.lk,
government_agency,Department of Cinnamon Development,https://www.cinnamon.gov.lk,cinnamon.gov.lk,
government_agency,"Embassy of Germany, Colombo",https://colombo.diplo.de,colombo.diplo.de,central
government_agency,embassy of Brazil in Sri Lanka,http://colombo.itamaraty.gov.br,colombo.itamaraty.gov.br,central
government_agency,embassy of Romania in Sri Lanka,http://colombo.mae.ro,colombo.mae.ro,central
government_agency,"Embassy of Afghanistan, Colombo",https://www.colombo.mfa.af/,colombo.mfa.af,central
ministry,Ministry of Defence and Urban Development,https://www.defence.lk/,defence.lk,
government_agency,Ministry of Defence and Urban Development,https://www.defence.lk/,defence.lk,central
government_agency,Dickwella Divisional Secretariat,http://www.dickwella.ds.gov.lk/,dickwella.ds.gov.lk,
government_agency,high commission of South Africa in Sri Lanka,http://www.dirco.gov.za/colombo,dirco.gov.za,central
government_agency,Thirukkovil Divisional Secretariat,http://www.ds.thirukkovil.com/,ds.thirukkovil.com,
government_agency,Department of Wildlife Conservation,http://www.dwc.gov.lk/,dwc.gov.lk,central
government_agency,embassy of Switzerland in Sri Lanka,https://www.eda.admin.ch/colombo,eda.admin.ch,central
government_agency,Delegation of the European Union to Sri Lanka and the Maldives,https://eeas.europa.eu/delegations/sri-lanka_en,eeas.europa.eu,central
government_agency,"Embassy of Saudi Arabia, Sri Jayawardenepura Kotte",https://embassies.mofa.gov.sa/sites/SriLanka,embassies.mofa.gov.sa,central
government_agency,Anti Filariasis Campaign,http://www.filariasiscampaign.health.gov.lk/,filariasiscampaign.health.gov.lk,
government_agency,Gomarankadawala Divisional Secretariat,http://www.gomarankadawala.ds.gov.lk,gomarankadawala.ds.gov.lk,
government_agency,British High Commission Colombo,https://www.gov.uk/world/organisations/british-high-commission-colombo,gov.uk,central
government_agency,high commission of India in Sri Lanka,https://hcicolombo.gov.in,hcicolombo.gov.in,central
government_agency,Ministry of Health,http://www.health.gov.lk/en/,health.gov.lk,central
ministry,Ministry of Health,http://www.health.gov.lk/en/,health.gov.lk,
government_agency,Ingiriya Divisional Secretariat,http://www.ingiriya.ds.gov.lk/,ingiriya.ds.gov.lk,
government_agency,Institute for Research and Development,http://www.ird.lk/,ird.lk,
ministry,Ministry of Justice and Law Reforms,http://www.justiceministry.gov.lk,justiceministry.gov.lk,
government_agency,Ministry of Justice and Law Reforms,http://www.justiceministry.gov.lk,justiceministry.gov.lk,central
government_agency,Kaduwela Divisional Secretariat,http://www.kaduwela.ds.gov.lk,kaduwela.ds.gov.lk,
government_agency,"embassy of Indonesia, Colombo",https://kemlu.go.id/colombo,kemlu.go.id,central
government_agency,"High Commission of Malaysia, Colombo",https://www.kln.gov.my/web/lka_colombo,kln.gov.my,central
government_agency,"Embassy of Turkey, Colombo",https://kolombo-be.mfa.gov.tr,kolombo-be.mfa.gov.tr,central
government_agency,Ministry of Land and Land Development,http://www.landmin.gov.lk,landmin.gov.lk,
ministry,Ministry of Land and Land Development,http://www.landmin.gov.lk,landmin.gov.lk,
government_agency,Lanka Electricity Company,http://www.leco.lk/,leco.lk,
government_agency,Anti Leprosy Campaign,https://www.leprosycampaign.health.gov.lk/,leprosycampaign.health.gov.lk,
government_agency,"Embassy of France, Colombo",https://lk.ambafrance.org/,lk.ambafrance.org,central
government_agency,"Embassy of Japan, Colombo",https://www.lk.emb-japan.go.jp/,lk.emb-japan.go.jp,central
government_agency,embassy of Nepal in Sri Lanka,https://lk.nepalembassy.gov.np,lk.nepalembassy.gov.np,central
government_agency,embassy of the United States in Sri Lanka,https://lk.usembassy.gov,lk.usembassy.gov,central
government_agency,Mahara Divisional Secretariat,http://mahara.ds.gov.lk/index.php/en/,mahara.ds.gov.lk,
government_agency,"High Commission of Maldives, Colombo",http://maldiveshighcom.lk,maldiveshighcom.lk,
government_agency,Malimbada Divisional Secretariat,http://www.malimbada.ds.gov.lk/,malimbada.ds.gov.lk,
government_agency,Matara Divisional Secretariat,http://www.matara.ds.gov.lk/,matara.ds.gov.lk,
government_agency,"Department of Measurement Units, Standards & Services",https://www.measurementsdept.gov.lk,measurementsdept.gov.lk,
ministry,Ministry of Foreign Affairs (Sri Lanka),http://www.mfa.gov.lk/,mfa.gov.lk,
government_agency,Ministry of Foreign Affairs (Sri Lanka),http://www.mfa.gov.lk/,mfa.gov.lk,central
government_agency,high commission of New Zealand in Sri Lanka,https://www.mfat.govt.nz/en/countries-and-regions/asia/sri-lanka/new-zealand-high-commission-to-sri-lanka/,mfat.govt.nz,central
government_agency,Ministry of Foreign Employment Promotion and Welfare,http://www.mfe.gov.lk/,mfe.gov.lk,central
ministry,Ministry of Foreign Employment Promotion and Welfare,http://www.mfe.gov.lk/,mfe.gov.lk,
government_agency,Ministry of Education,http://www.moe.gov.lk/,moe.gov.lk,central
ministry,Ministry of Education,http://www.moe.gov.lk/,moe.gov.lk,
government_agency,"Embassy of the United Arab Emirates, Colombo",https://www.mofaic.gov.ae/missions/UAE-Missions-Abroad/UAE-Missions-Abroad-Details?countryId=a2b77c9e-47ec-40fa-9c98-9dd6903bdb58,mofaic.gov.ae,central
ministry,Ministry of Ports and Highways,http://www.mohsl.gov.lk/,mohsl.gov.lk,
government_agency,Ministry of Ports and Highways,http://www.mohsl.gov.lk/,mohsl.gov.lk,central
ministry,Ministry of Power and Energy,http://www.mope.gov.lk/,mope.gov.lk,
government_agency,Ministry of Power and Energy,http://www.mope.gov.lk/,mope.gov.lk,central
government_agency,Ministry of Technology and Research,http://www.motr.gov.lk/,motr.gov.lk,central
ministry,Ministry of Technology and Research,http://www.motr.gov.lk/,motr.gov.lk,
government_agency,Department of National Museums,http://www.museum.gov.lk/,museum.gov.lk,central
government_agency,Ministry OF City Planning and Water Supply,http://www.mwsd.gov.lk/,mwsd.gov.lk,central
ministry,Ministry OF City Planning and Water Supply,http://www.mwsd.gov.lk/,mwsd.gov.lk,
government_agency,National Aquatic Resources Research and Development Agency,http://www.nara.ac.lk/,nara.ac.lk,
government_agency,National Science and Technology Commission,https://www.nastec.gov.lk,nastec.gov.lk,
