subdomain,parent_domain,http_status,mx
admin.nuwaraeliya.mc.gov.lk,gov.lk,Could not resolve host: admin.nuwaraeliya.mc.gov.lk,none
aea.gov.lk,gov.lk,Connection timed out after 3002 milliseconds,10 ent.lankahost.net.
aeb.gov.lk,gov.lk,200,10 ent.lankahost.net.; 0 aeb.lankahost.net.
aerc.gov.lk,gov.lk,200,10 aerc.lankahost.net.
afs.gov.lk,gov.lk,Could not resolve host: afs.gov.lk,20 flik.gw.sltidc.lk.; 10 dot.gw.sltidc.lk.
agri.cp.gov.lk,gov.lk,Connection timed out after 3000 milliseconds,none
agridept.nc.gov.lk,gov.lk,200,10 gator3241.hostgator.com.
agridept.sp.gov.lk,gov.lk,200,0 mail.agridept.sp.gov.lk.
agrimin.cp.gov.lk,gov.lk,200,10 mx2.gov.lk.; 10 mx1.gov.lk.
agrimin.nc.gov.lk,gov.lk,301,none
agrimin.nw.gov.lk,gov.lk,SSL certificate problem: self-signed certificate,10 tux.sltidc.lk.; 20 molt.sltidc.lk.
aims.agridept.sp.gov.lk,gov.lk,Connection timed out after 3000 milliseconds,none
ambalangoda.uc.gov.lk,gov.lk,200,none
ams.ep.gov.lk,gov.lk,302,none
ams.ep.gov.lk.erplk.com,gov.lk,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name,0 .
angunakolapelessa.ps.gov.lk,gov.lk,SSL: no alternative certificate subject name matches target hostname 'angunakolapelessa.ps.gov.lk',none
annualtransfer.hrmis.health.gov.lk,gov.lk,500,none
anuradhapura.mc.gov.lk,gov.lk,Connection timed out after 3000 milliseconds,none
aphdept.nc.gov.lk,gov.lk,200,10 gator3241.hostgator.com.
archicad.healthmin.nw.gov.lk,gov.lk,200,none
ars.batticaloa.mc.gov.lk,gov.lk,Could not resolve host: ars.batticaloa.mc.gov.lk,none
ars.nimh.health.gov.lk,gov.lk,Could not resolve host: ars.nimh.health.gov.lk,none
asmp.mpi.gov.lk,gov.lk,200,none
autodiscover.aerc.gov.lk,gov.lk,Could not resolve host: autodiscover.aerc.gov.lk,none
autodiscover.agri.cp.gov.lk,gov.lk,Could not resolve host: autodiscover.agri.cp.gov.lk,none
autodiscover.ayagama.ps.gov.lk,gov.lk,Resolving timed out after 3001 milliseconds,none
autodiscover.balangoda.uc.gov.lk,gov.lk,400,none
autodiscover.cep.rda.gov.lk,gov.lk,Could not resolve host: autodiscover.cep.rda.gov.lk,none
autodiscover.costi.gov.lk,gov.lk,Resolving timed out after 3000 milliseconds,none
autodiscover.dickwella.ps.gov.lk,gov.lk,Could not resolve host: autodiscover.dickwella.ps.gov.lk,dig error
autodiscover.embilipitiya.ps.gov.lk,gov.lk,Could not resolve host: autodiscover.embilipitiya.ps.gov.lk,none
autodiscover.engdept.nw.gov.lk,gov.lk,400,none
autodiscover.governor.nw.gov.lk,gov.lk,Resolving timed out after 3000 milliseconds,none
autodiscover.healthdept.wp.gov.lk,gov.lk,Connection timed out after 3000 milliseconds,none
autodiscover.hmis.gov.lk,gov.lk,Resolving timed out after 3000 milliseconds,none
autodiscover.iroad.rda.gov.lk,gov.lk,Could not resolve host: autodiscover.iroad.rda.gov.lk,none
autodiscover.katuwana.ps.gov.lk,gov.lk,Resolving timed out after 3000 milliseconds,none
autodiscover.megapolis.gov.lk,gov.lk,Could not resolve host: autodiscover.megapolis.gov.lk,none
autodiscover.nivitigala.ps.gov.lk,gov.lk,Resolving timed out after 3000 milliseconds,none
autodiscover.prda.nc.gov.lk,gov.lk,Could not resolve host: autodiscover.prda.nc.gov.lk,none
autodiscover.rpta.wp.gov.lk,gov.lk,Could not resolve host: autodiscover.rpta.wp.gov.lk,none
autodiscover.sec.gov.lk,gov.lk,Failed to connect to autodiscover.sec.gov.lk port 443 after 309 ms: Could not connect to server,none
autodiscover.trc.gov.lk,gov.lk,Failed to connect to autodiscover.trc.gov.lk port 443 after 379 ms: Could not connect to server,none
