subdomain,parent_domain,http_status,mx
aap.hhfa.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
acst201mbx003.gov.ls,gov.ls,Could not resolve host: acst201mbx003.gov.ls,dig error
acst201mbx004.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
admin-home.businessregistrations.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
aefi.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
agriculture.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
api-collect-n-go.gov.ls,gov.ls,SSL: no alternative certificate subject name matches target hostname 'api-collect-n-go.gov.ls',dig error
api.bonolohealth.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
aplink.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
asbcc.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
auth.csis.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
autodiscover.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,none
bkm.vhw.gov.ls,gov.ls,Connection timed out after 3001 milliseconds,dig error
bonolohealth.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
bos.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
bpa.businessregistrations.gov.ls,gov.ls,Resolving timed out after 3004 milliseconds,dig error
budgetportal.gov.ls,gov.ls,Resolving timed out after 3004 milliseconds,dig error
businessregistrations.gov.ls,gov.ls,200,dig error
cdr.eparliament.gov.ls,gov.ls,Resolving timed out after 3009 milliseconds,dig error
cdr.ws.notify.eparliament.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
cdrws.eparliament.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
childhelpline.gov.ls,gov.ls,SSL: no alternative certificate subject name matches target hostname 'childhelpline.gov.ls',none
climatechangelesotho.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
cloud.lnsw.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
collab.csis.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
comms.dedicated.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
communications.gov.ls,gov.ls,SSL certificate problem: certificate has expired,dig error
contracts.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
corrections.gov.ls,gov.ls,Operation timed out after 3000 milliseconds with 0 bytes received,dig error
crimestatsdatabase.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
crops-statistics.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,none
defence.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
dev.cloud.lnsw.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
dev.elmis.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
dev.superset.elmis.gov.ls,gov.ls,Connection timed out after 3000 milliseconds,dig error
dhisc.aefi.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
dms.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
doe.gov.ls,gov.ls,Connection timed out after 3000 milliseconds,none
drws.gov.ls,gov.ls,Connection timed out after 3001 milliseconds,dig error
dwarehouse.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,none
ebstrain.lesotho.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
ecitizen.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
education.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
ee.nicr.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
electrifylesotho.gov.ls,gov.ls,Connection timed out after 3000 milliseconds,dig error
elibrary-api.eparliament.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
elibrary-proxy.eparliament.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
elibrary.eparliament.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
elmis.gov.ls,gov.ls,200,none
emis.gov.ls,gov.ls,curl: (28) Resolving timed out after 5001 milliseconds,none
environment.gov.ls,gov.ls,Resolving timed out after 3004 milliseconds,dig error
ep-api.eparliament.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
ep-index.eparliament.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
ep-mobile-api.eparliament.gov.ls,gov.ls,Connection timed out after 3001 milliseconds,dig error
ep-proxy.eparliament.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
ep-sittings.eparliament.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
ep.eparliament.gov.ls,gov.ls,Resolving timed out after 3005 milliseconds,dig error
epar-adfs.eparliament.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
es-api.eparliament.gov.ls,gov.ls,Resolving timed out after 3004 milliseconds,dig error
es-proxy.eparliament.gov.ls,gov.ls,Resolving timed out after 3004 milliseconds,none
es.eparliament.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,none
finance.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
financeapi.gov.ls,gov.ls,Resolving timed out after 3005 milliseconds,dig error
fnco.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,none
foreign.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
foreignaffairs.gov.ls,gov.ls,Resolving timed out after 3003 milliseconds,none
forestry.gov.ls,gov.ls,SSL certificate problem: certificate has expired,dig error
gdb.businessregistrations.gov.ls,gov.ls,Resolving timed out after 3003 milliseconds,dig error
gender.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
golehokela.gov.ls,gov.ls,200,none
golsabs.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
gov.ls,gov.ls,Connection timed out after 3002 milliseconds,1 gov-ls.mail.protection.outlook.com.
govmail.gov.ls,gov.ls,SSL certificate problem: certificate has expired,none
graylog.businessregistrations.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
health.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
hhfa.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,none
hhris.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
hiels.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
hmis.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
homeaffairs.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
ibf.csis.gov.ls,gov.ls,Operation timed out after 3000 milliseconds with 0 bytes received,none
idsr.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
ifmis.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
internal.lnsw.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
jud.gov.ls,gov.ls,Could not resolve host: jud.gov.ls,dig error
judiciary.gov.ls,gov.ls,Failed to connect to judiciary.gov.ls port 443 after 862 ms: Could not connect to server,none
justice.gov.ls,gov.ls,302,none
kc.nicr.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,none
kf.nicr.gov.ls,gov.ls,200,none
labour.ecitizen.gov.ls,gov.ls,Failed to connect to labour.ecitizen.gov.ls port 443 after 2300 ms: Could not connect to server,dig error
landcoverstats.gov.ls,gov.ls,200,none
law.gov.ls,gov.ls,302,none
lcs.gov.ls,gov.ls,302,none
ldf-salary.gov.ls,gov.ls,Operation timed out after 3002 milliseconds with 0 bytes received,dig error
ldf.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
leavedefence.gov.ls,gov.ls,Operation timed out after 3001 milliseconds with 0 bytes received,dig error
legalaid.gov.ls,gov.ls,405,dig error
lena.gov.ls,gov.ls,Operation timed out after 3000 milliseconds with 0 bytes received,dig error
lesis.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
lesotho.gov.ls,gov.ls,Could not resolve host: lesotho.gov.ls,none
lesothocanada.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
lesothoemb-usa.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,none
lgdnfw1.gov.ls,gov.ls,Connection timed out after 3001 milliseconds,none
linakeng.lesotho.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
lnbs.gov.ls,gov.ls,Failed to connect to lnbs.gov.ls port 443 after 2164 ms: Could not connect to server,none
lnsw.gov.ls,gov.ls,Connection timed out after 3001 milliseconds,dig error
login.businessregistrations.gov.ls,gov.ls,302,none
lrc.gov.ls,gov.ls,301,dig error
lrmis.homeaffairs.gov.ls,gov.ls,Recv failure: Connexion ré-initialisée par le correspondant,dig error
lvac.gov.ls,gov.ls,Failed to connect to lvac.gov.ls port 443 after 921 ms: Could not connect to server,dig error
m-mama.gov.ls,gov.ls,Operation timed out after 3000 milliseconds with 0 bytes received,dig error
mail.gov.ls,gov.ls,SSL: no alternative certificate subject name matches target hostname 'mail.gov.ls',none
mail.lnsw.gov.ls,gov.ls,SSL certificate problem: self-signed certificate,dig error
malibamatso.lesotho.gov.ls,gov.ls,Could not resolve host: malibamatso.lesotho.gov.ls,dig error
metapp.csis.gov.ls,gov.ls,Could not resolve host: metapp.csis.gov.ls,none
mfrscnews.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,dig error
missa-api.gov.ls,gov.ls,Could not resolve host: missa-api.gov.ls,dig error
missa-dc.gov.ls,gov.ls,Could not resolve host: missa-dc.gov.ls,none
missa-live.gov.ls,gov.ls,Could not resolve host: missa-live.gov.ls,none
missa-mobi-live.gov.ls,gov.ls,Could not resolve host: missa-mobi-live.gov.ls,dig error
missa-mobi-qa.gov.ls,gov.ls,Could not resolve host: missa-mobi-qa.gov.ls,none
missa-mobi-test.gov.ls,gov.ls,Could not resolve host: missa-mobi-test.gov.ls,dig error
missa-mobi.gov.ls,gov.ls,Could not resolve host: missa-mobi.gov.ls,dig error
missa-qa.gov.ls,gov.ls,Could not resolve host: missa-qa.gov.ls,dig error
missa-test-api.gov.ls,gov.ls,Could not resolve host: missa-test-api.gov.ls,none
missa-test.gov.ls,gov.ls,Could not resolve host: missa-test.gov.ls,none
missa.gov.ls,gov.ls,Could not resolve host: missa.gov.ls,none
mobile.gov.ls,gov.ls,Could not resolve host: mobile.gov.ls,dig error
mod.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
moetpayslips.gov.ls,gov.ls,Could not resolve host: moetpayslips.gov.ls,dig error
moj.gov.ls,gov.ls,Could not resolve host: moj.gov.ls,none
mopwt.gov.ls,gov.ls,Could not resolve host: mopwt.gov.ls,none
mps.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
msmeregistry.gov.ls,gov.ls,Could not resolve host: msmeregistry.gov.ls,none
myfinance.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
nissa-api-qa.gov.ls,gov.ls,Could not resolve host: nissa-api-qa.gov.ls,dig error
nissa-missa-test-api.gov.ls,gov.ls,Could not resolve host: nissa-missa-test-api.gov.ls,dig error
nissa-missa-test-api2.gov.ls,gov.ls,Could not resolve host: nissa-missa-test-api2.gov.ls,dig error
nissa-missa-test.gov.ls,gov.ls,Could not resolve host: nissa-missa-test.gov.ls,none
nissa-missa-test2.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
nissaportal.gov.ls,gov.ls,Could not resolve host: nissaportal.gov.ls,none
nonprod.cloud.lnsw.gov.ls,gov.ls,Could not resolve host: nonprod.cloud.lnsw.gov.ls,dig error
nonprod.internal.lnsw.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,dig error
notifications.gov.ls,gov.ls,Could not resolve host: notifications.gov.ls,none
nvc.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,dig error
nvcportal.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
oracle.lesotho.gov.ls,gov.ls,Could not resolve host: oracle.lesotho.gov.ls,dig error
passports.homeaffairs.gov.ls,gov.ls,Could not resolve host: passports.homeaffairs.gov.ls,none
pki.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,none
planning.gov.ls,gov.ls,Could not resolve host: planning.gov.ls,none
portal.nissa-missa-test2.gov.ls,gov.ls,Could not resolve host: portal.nissa-missa-test2.gov.ls,none
psc.gov.ls,gov.ls,Could not resolve host: psc.gov.ls,none
publicworksandtransport.gov.ls,gov.ls,Could not resolve host: publicworksandtransport.gov.ls,none
qa.nonprod.internal.lnsw.gov.ls,gov.ls,Could not resolve host: qa.nonprod.internal.lnsw.gov.ls,dig error
redis-es.eparliament.gov.ls,gov.ls,Could not resolve host: redis-es.eparliament.gov.ls,none
renoka.gov.ls,gov.ls,Could not resolve host: renoka.gov.ls,none
renokagisdata.gov.ls,gov.ls,Could not resolve host: renokagisdata.gov.ls,none
reports.csis.gov.ls,gov.ls,502,none
roll.gov.ls,gov.ls,Could not resolve host: roll.gov.ls,none
rollproject.gov.ls,gov.ls,Could not resolve host: rollproject.gov.ls,none
seq-collect-n-go.gov.ls,gov.ls,Could not resolve host: seq-collect-n-go.gov.ls,none
seq.bonolohealth.gov.ls,gov.ls,Could not resolve host: seq.bonolohealth.gov.ls,none
services.businessregistrations.gov.ls,gov.ls,Could not resolve host: services.businessregistrations.gov.ls,none
share.csis.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
shared.internal.lnsw.gov.ls,gov.ls,Resolving timed out after 3002 milliseconds,none
site1.gov.ls,gov.ls,curl: (28) Connection timed out after 5002 milliseconds,none
site2.gov.ls,gov.ls,curl: (28) Connection timed out after 5002 milliseconds,none
socialdevelopment.gov.ls,gov.ls,Could not resolve host: socialdevelopment.gov.ls,none
splashbi.lesotho.gov.ls,gov.ls,Could not resolve host: splashbi.lesotho.gov.ls,none
sswa.gov.ls,gov.ls,Could not resolve host: sswa.gov.ls,none
staging-api-qa.gov.ls,gov.ls,Could not resolve host: staging-api-qa.gov.ls,none
staging-api.gov.ls,gov.ls,Could not resolve host: staging-api.gov.ls,none
stats.businessregistrations.gov.ls,gov.ls,Could not resolve host: stats.businessregistrations.gov.ls,none
superset.elmis.gov.ls,gov.ls,Could not resolve host: superset.elmis.gov.ls,none
tourism.ecitizen.gov.ls,gov.ls,Could not resolve host: tourism.ecitizen.gov.ls,none
training.emis.gov.ls,gov.ls,curl: (28) Resolving timed out after 5001 milliseconds,none
training.vhw.gov.ls,gov.ls,Could not resolve host: training.vhw.gov.ls,dig error
transportprices.gov.ls,gov.ls,200,none
uat.nonprod.internal.lnsw.gov.ls,gov.ls,Could not resolve host: uat.nonprod.internal.lnsw.gov.ls,dig error
vhw.gov.ls,gov.ls,Could not resolve host: vhw.gov.ls,none
wazuh.elmis.gov.ls,gov.ls,Could not resolve host: wazuh.elmis.gov.ls,dig error
www.agriculture.gov.ls,gov.ls,Could not resolve host: www.agriculture.gov.ls,dig error
www.asbcc.gov.ls,gov.ls,Could not resolve host: www.asbcc.gov.ls,none
www.bos.gov.ls,gov.ls,Resolving timed out after 3001 milliseconds,none
www.budgetportal.gov.ls,gov.ls,Could not resolve host: www.budgetportal.gov.ls,none
www.businessregistrations.gov.ls,gov.ls,Could not resolve host: www.businessregistrations.gov.ls,none
www.childhelpline.gov.ls,gov.ls,Could not resolve host: www.childhelpline.gov.ls,none
www.climatechangelesotho.gov.ls,gov.ls,Could not resolve host: www.climatechangelesotho.gov.ls,none
www.communications.gov.ls,gov.ls,Could not resolve host: www.communications.gov.ls,dig error
www.contracts.gov.ls,gov.ls,Could not resolve host: www.contracts.gov.ls,none
www.corrections.gov.ls,gov.ls,Could not resolve host: www.corrections.gov.ls,dig error
www.crimestatsdatabase.gov.ls,gov.ls,Could not resolve host: www.crimestatsdatabase.gov.ls,none
www.crops-statistics.gov.ls,gov.ls,Could not resolve host: www.crops-statistics.gov.ls,dig error
www.defence.gov.ls,gov.ls,Could not resolve host: www.defence.gov.ls,none
www.doe.gov.ls,gov.ls,Could not resolve host: www.doe.gov.ls,none
www.drws.gov.ls,gov.ls,Could not resolve host: www.drws.gov.ls,none
www.dwarehouse.gov.ls,gov.ls,Could not resolve host: www.dwarehouse.gov.ls,none
www.education.gov.ls,gov.ls,SSL certificate problem: EE certificate key too weak,none
