hostname,score,sources,label,level,http_status,mx
lnb.lt,7,wikidata;wikidata,Martynas Mažvydas National Library of Lithuania,central,200,0 lnb-lt.mail.protection.outlook.com.
vert.lt,7,wikidata;wikidata,National Energy Regulatory Council of Lithuania | The National Energy Regulatory Council,central,403,10 vert-lt.mail.protection.outlook.com.
vilnius.lt,7,wikidata;wikidata,Vilnius City Municipality Administration,central-1,403,0 vilnius-lt.mail.protection.outlook.com.
zeit.lt,7,wikidata;wikidata,The Office of the Inspector of Journalist Ethics,,301,10 zeit-lt.mail.protection.outlook.com.
jesuiten.org,6,wikidata;wikidata,Jesuit Province of Central Europe,,301,10 jesuiten-org.mail.protection.outlook.com.
lat.lt,6,wikidata,Supreme Court of Lithuania,central,403,0 mail.teismas.lt.
lrkt.lt,6,wikidata,Constitutional Court of Lithuania,central,403,0 lrkt-lt.mail.protection.outlook.com.
kt.gov.lt,5,wikidata,Competition Council,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 kt-gov-lt.mail.protection.outlook.com.
stat.gov.lt,5,wikidata,State Data Agency of Lithuania,central,301,0 stat-gov-lt.mail.protection.outlook.com.
strata.gov.lt,5,wikidata,Government Strategic Analysis Center,,403,0 strata-gov-lt.mail.protection.outlook.com.
ada.lt,4,wikidata,State Data Protection Inspectorate,central,403,0 ada-lt.mail.protection.outlook.com.
apeliacinis.lt,4,wikidata,The Court of Appeal of Lithuania,,403,10 mail.teismas.lt.
arbitrazas.lt,4,wikidata,Vilnius Court of Commercial Arbitration,,301,0 arbitrazas-lt.mail.protection.outlook.com.
ena.lt,4,wikidata,Lithuanian Energy Agency,,301,0 ena-lt.mail.protection.outlook.com.
etikostarnyba.lt,4,wikidata,"Office of the Ombudsperson for Academic Ethics and Procedures, Lithuania",,200,10 etikostarnyba-lt.mail.protection.outlook.com.
gamtostyrimai.lt,4,wikidata,Nature Research Centre,,200,0 gamtostyrimai-lt.mail.protection.outlook.com.
genocid.lt,4,wikidata,Genocide and Resistance Research Centre of Lithuania,,301,10 genocid-lt.mail.protection.outlook.com.
inovacijuagentura.lt,4,wikidata,Innovation Agency of Lithuania,,301,0 inovacijuagentura-lt.mail.protection.outlook.com.
jonava.lt,4,wikidata,Jonava District Municipality Council,central-1,403,10 mail.jonava.lt.
kauno.teismai.lt,4,wikidata,Kėdainiai Region District Court,central-1,403,none
klaipeda.lt,4,wikidata,Klaipeda City Municipality Council,central-1,301,10 klaipeda-lt.mail.protection.outlook.com.
komisija.lt,4,wikidata,International Commission for the Evaluation of the Crimes of the Nazi and Soviet Occupation Regimes in Lithuania,,301,10 mail.komisija.lt.
lb.lt,4,wikidata,Bank of Lithuania,,403,0 lb-lt.mail.protection.outlook.com.
lcn.lt,4,wikidata,Apostolic Nunciature to Lithuania,central,302,10 mail.kit.lt.
lcss.lt,4,wikidata,Lithuanian Centre for Social Sciences,,200,1 eu-esec-02.heimdalsecurity.com.; 2 lcss-lt.mail.protection.outlook.com.; 0 eu-esec-01.heimdalsecurity.com.
lenkukultura.lt,4,wikidata,Polish Institute in Vilnius,,403,none
lic.lt,4,wikidata,Lithuanian Innovation Centre,,301,10 lic-lt.mail.protection.outlook.com.
lrski.lt,4,wikidata,The Parliamentary Ombudspersons Office in Lithuania,,403,0 lrski-lt.mail.protection.outlook.com.
ltou.lt,4,wikidata,"Lietuvos oro uostai, AB",,403,10 ltou-lt.mail.protection.outlook.com.
ltusportas.lt,4,wikidata,National Sports Agency (Lithuania),,301,0 ltusportas-lt.mail.protection.outlook.com.; 10 ltusportas.lt.
lvat.lt,4,wikidata,Supreme Administrative Court of Lithuania,central,403,10 mail.teismas.lt.
lygybe.lt,4,wikidata,Office of the Equal Opportunities Ombudsperson of the Republic of Lithuania,,200,0 bizonas.serveriai.lt.
medijufondas.lt,4,wikidata,Media Support Fund,,301,0 medijufondas-lt.mail.protection.outlook.com.
meteo.lt,4,wikidata,Lithuanian Hydrometereological Service,,301,10 meteo-lt.mail.protection.outlook.com.
nksc.lt,4,wikidata,National Cyber Security Centre of Lithuania,central,403,0 nksc-lt.mail.protection.outlook.com.
nsa.smsm.lt,4,wikidata,National Agency for Education of Lithuania,,301,0 nsa-smsm-lt.mail.protection.outlook.com.
prokuraturos.lt,4,wikidata,Prosecutor's Office of Lithuania,,403,10 pastas.prokuraturos.lt.; 20 mail.prokuraturos.lt.
registrucentras.lt,4,wikidata,State Enterprise Centre of Registers,,302,10 mail.registrucentras.lt.
rrt.lt,4,wikidata,Communications Regulatory Authority,,404,0 rrt-lt.mail.protection.outlook.com.
seimostaryba.lt,4,wikidata,National Family Council of Lithuania,,200,10 morka.serveriai.lt.
sodra.lt,4,wikidata,The Board of the State Social Insurance Fund,,403,20 antivirus4.sodra.lt.; 10 antivirus3.sodra.lt.
stt.lt,4,wikidata,Special Investigation Service of the Republic of Lithuania,,403,10 mx.stt.lt.
tauragesmuziejus.lt,4,wikidata,Tauragė Castle,,200,0 tauragesmuziejus-lt.mail.protection.outlook.com.
teismai.lt,4,wikidata,National Courts Administration of Lithuania,,302,10 pst.teismai.lt.
unesco.lt,4,wikidata,Lithuanian National Commission for UNESCO,,200,10 mx.serveriai.lt.
uzt.lt,4,wikidata,Lithuanian Employment Service,,403,10 uzt-lt.mail.protection.outlook.com.
valstybeskontrole.lt,4,wikidata,National Audit Office,,403,0 valstybeskontrole-lt.mail.eo.outlook.com.
vat.lt,4,wikidata,Dignitary Protection Service of Lithuania,,403,0 vat-lt.mail.protection.outlook.com.
vilnius.mfa.gov.hu,4,wikidata,embassy of Hungary in Lithuania,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
vlkk.lt,4,wikidata,Commission of the Lithuanian Language,,403,0 vlkk-lt.mail.protection.outlook.com.
vmi.lt,4,wikidata,State Tax Inspectorate of Lithuania,,302,10 m2.vmi.lt.
vmu.lt,4,wikidata,State Forest Enterprise,,200,0 vmu-lt.mail.protection.outlook.com.
vrk.lt,4,wikidata,Central Electoral Committee of Lithuania,central,403,0 vrk-lt.mail.protection.outlook.com.
vsd.lt,4,wikidata,State Security Department of Lithuania,,403,10 pastas.vsd.lt.
vtaki.lt,4,wikidata,The Office of the Ombudsperson of Child's Rights of Lithuania,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching vtaki.lt found.,0 vtaki-lt.mail.protection.outlook.com.
vtek.lt,4,wikidata,Chief Commission of Official Ethics,,403,10 vtek-lt.mail.protection.outlook.com.
vtpt.lt,4,wikidata,National Forensic Psychiatry Service of Lithuania,,403,10 post2.vil.lt.
zki.lt,4,wikidata,The Intelligence Ombudspersons' Office,,301,0 zki-lt.mail.protection.outlook.com.
finlandabroad.fi,3,wikidata,embassy of Finland in Lithuania,central,301,10 mail.valtori.fi.
investlithuania.com,3,wikidata,Invest Lithuania,central,200,0 investlithuania-com.mail.protection.outlook.com.
litauen.um.dk,3,wikidata,"embassy of Denmark, Vilnius",central,301,none
lithuania.mfa.am,3,wikidata,embassy of Armenia in Lithuania,central,301,none
lithuania.mid.ru,3,wikidata,"Embassy of Russia, Vilnius",central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
lithuania.representation.ec.europa.eu,3,wikidata,European Commission Representation in Lithuania,,302,none
lithuaniaembassy.orderofmalta.int,3,wikidata,"Embassy of the Sovereign Military Order of Malta, Vilnius",central,301,none
lt.ambafrance.org,3,wikidata,"Embassy of France, Vilnius",central,301,none
lt.mvep.hr,3,wikidata,embassy of Croatia in Lithuania,central,ConnectException,none
mfa.gr,3,wikidata,embassy of Greece in Lithuania,central,403,10 mailhost.mfa.gr.
