type,label,website,hostname,level
government_agency,State Data Protection Inspectorate,https://ada.lt,ada.lt,central
government_agency,The Court of Appeal of Lithuania,https://www.apeliacinis.lt/,apeliacinis.lt,
government_agency,Vilnius Court of Commercial Arbitration,https://www.arbitrazas.lt,arbitrazas.lt,
government_agency,European Institute for Gender Equality,https://eige.europa.eu/,eige.europa.eu,local
government_agency,Lithuanian Energy Agency,https://www.ena.lt/,ena.lt,
government_agency,"Office of the Ombudsperson for Academic Ethics and Procedures, Lithuania",http://www.etikostarnyba.lt,etikostarnyba.lt,
government_agency,embassy of Finland in Lithuania,https://finlandabroad.fi/web/ltu,finlandabroad.fi,central
government_agency,Nature Research Centre,http://www.gamtostyrimai.lt/en/,gamtostyrimai.lt,
government_agency,Genocide and Resistance Research Centre of Lithuania,http://www.genocid.lt,genocid.lt,
government_agency,Innovation Agency of Lithuania,https://inovacijuagentura.lt/,inovacijuagentura.lt,
government_agency,Invest Lithuania,http://www.investlithuania.com/en/,investlithuania.com,central
constitutional_court,Jesuit Province of Central Europe,https://www.jesuiten.org/,jesuiten.org,
government_agency,Jesuit Province of Central Europe,https://www.jesuiten.org/,jesuiten.org,
government_agency,Jonava District Municipality Council,http://www.jonava.lt/,jonava.lt,central-1
government_agency,Kėdainiai Region District Court,https://kauno.teismai.lt/struktura-ir-kontaktine-informacija/kontaktai/18/kauno-apylinkes-teismo-kedainiu-rumai/d24,kauno.teismai.lt,central-1
government_agency,Klaipeda City Municipality Council,http://www.klaipeda.lt/,klaipeda.lt,central-1
government_agency,Klaipėda Regional Court,https://klat.teismas.lt,klat.teismas.lt,
government_agency,International Commission for the Evaluation of the Crimes of the Nazi and Soviet Occupation Regimes in Lithuania,http://www.komisija.lt,komisija.lt,
government_agency,Competition Council,https://kt.gov.lt/,kt.gov.lt,
government_agency,Supreme Court of Lithuania,https://www.lat.lt/,lat.lt,central
government_agency,Bank of Lithuania,http://www.lb.lt,lb.lt,
government_agency,Apostolic Nunciature to Lithuania,http://www.lcn.lt/bl/ssostas/nunciatura/,lcn.lt,central
government_agency,Lithuanian Centre for Social Sciences,https://www.lcss.lt,lcss.lt,
government_agency,Polish Institute in Vilnius,http://www.lenkukultura.lt/,lenkukultura.lt,
government_agency,Lithuanian Innovation Centre,https://www.lic.lt/,lic.lt,
government_agency,"embassy of Denmark, Vilnius",https://litauen.um.dk,litauen.um.dk,central
government_agency,embassy of Armenia in Lithuania,https://lithuania.mfa.am,lithuania.mfa.am,central
government_agency,"Embassy of Russia, Vilnius",http://lithuania.mid.ru/,lithuania.mid.ru,central
government_agency,European Commission Representation in Lithuania,https://lithuania.representation.ec.europa.eu/,lithuania.representation.ec.europa.eu,
government_agency,"Embassy of the Sovereign Military Order of Malta, Vilnius",https://lithuaniaembassy.orderofmalta.int,lithuaniaembassy.orderofmalta.int,central
government_agency,Lithuanian Culture Institute,https://lithuanianculture.lt/,lithuanianculture.lt,local
government_agency,Martynas Mažvydas National Library of Lithuania,https://www.lnb.lt/en/,lnb.lt,central
government_agency,Martynas Mažvydas National Library of Lithuania,https://www.lnb.lt/,lnb.lt,central
government_agency,Constitutional Court of Lithuania,https://www.lrkt.lt,lrkt.lt,central
government_agency,The Parliamentary Ombudspersons Office in Lithuania,https://www.lrski.lt/,lrski.lt,
government_agency,"Embassy of France, Vilnius",https://lt.ambafrance.org/,lt.ambafrance.org,central
government_agency,embassy of Croatia in Lithuania,http://lt.mvep.hr,lt.mvep.hr,central
government_agency,"Embassy of the United States, Vilnius",https://lt.usembassy.gov/,lt.usembassy.gov,central
government_agency,"Lietuvos oro uostai, AB",https://www.ltou.lt/,ltou.lt,
government_agency,National Sports Agency (Lithuania),https://www.ltusportas.lt/,ltusportas.lt,
government_agency,Supreme Administrative Court of Lithuania,https://www.lvat.lt,lvat.lt,central
government_agency,Office of the Equal Opportunities Ombudsperson of the Republic of Lithuania,https://lygybe.lt/,lygybe.lt,
government_agency,Media Support Fund,https://www.medijufondas.lt/,medijufondas.lt,
government_agency,Lithuanian Hydrometereological Service,https://www.meteo.lt/,meteo.lt,
government_agency,embassy of Greece in Lithuania,https://www.mfa.gr/missionsabroad/lithuania.html,mfa.gr,central
government_agency,"Embassy of the Czech Republic, Vilnius",https://www.mzv.cz/vilnius,mzv.cz,central
government_agency,National Cyber Security Centre of Lithuania,https://www.nksc.lt/,nksc.lt,central
government_agency,"Embassy of Norway, Vilnius",https://www.norway.no/en/lithuania,norway.no,central
government_agency,National Agency for Education of Lithuania,https://www.nsa.smsm.lt/,nsa.smsm.lt,
government_agency,Prosecutor's Office of Lithuania,http://www.prokuraturos.lt,prokuraturos.lt,
government_agency,State Enterprise Centre of Registers,https://www.registrucentras.lt/,registrucentras.lt,
government_agency,Communications Regulatory Authority,https://www.rrt.lt,rrt.lt,
government_agency,National Family Council of Lithuania,https://seimostaryba.lt/,seimostaryba.lt,
government_agency,The Board of the State Social Insurance Fund,https://sodra.lt/,sodra.lt,
government_agency,State Data Agency of Lithuania,http://www.stat.gov.lt,stat.gov.lt,central
government_agency,Government Strategic Analysis Center,https://strata.gov.lt,strata.gov.lt,
government_agency,Special Investigation Service of the Republic of Lithuania,http://www.stt.lt/,stt.lt,
government_agency,"Embassy of Sweden, Vilnius",http://www.swedenabroad.com/Vilnius/,swedenabroad.com,central
government_agency,Tauragė Castle,https://tauragesmuziejus.lt/en/edukacijos/taurages-pilis/,tauragesmuziejus.lt,
government_agency,National Courts Administration of Lithuania,https://www.teismai.lt/,teismai.lt,
government_agency,Lithuanian National Commission for UNESCO,https://unesco.lt/,unesco.lt,
government_agency,Lithuanian Employment Service,http://www.uzt.lt,uzt.lt,
government_agency,National Audit Office,https://www.valstybeskontrole.lt/,valstybeskontrole.lt,
government_agency,Dignitary Protection Service of Lithuania,https://vat.lt/,vat.lt,
government_agency,National Energy Regulatory Council of Lithuania,https://www.vert.lt/,vert.lt,
government_agency,The National Energy Regulatory Council,https://www.vert.lt,vert.lt,central
government_agency,European Parliament Liaison Office in Lithuania,https://vilnius.europarl.europa.eu,vilnius.europarl.europa.eu,central
government_agency,Vilnius City Municipality Administration,http://www.vilnius.lt/kalbos/?lang=en,vilnius.lt,
constitutional_court,Vilnius City Municipality Administration,http://www.vilnius.lt/kalbos/?lang=en,vilnius.lt,
government_agency,embassy of Romania in Lithuania,http://vilnius.mae.ro,vilnius.mae.ro,central
government_agency,Embassy of Estonia in Vilnius,https://vilnius.mfa.ee/,vilnius.mfa.ee,central
government_agency,embassy of Hungary in Lithuania,https://vilnius.mfa.gov.hu,vilnius.mfa.gov.hu,central
government_agency,Commission of the Lithuanian Language,https://vlkk.lt,vlkk.lt,
