type,label,website,hostname,level
government_agency,Q90307473,https://www.adazi.lv,adazi.lv,central-1
government_agency,Q90306458,https://www.akniste.lv,akniste.lv,local
government_agency,Latvian State Archive,http://www.archiv.org.lv/index3.php?id=21,archiv.org.lv,
government_agency,Latvijas Valsts kinofotofonodokumentu arhīvs,http://arhivi.lv/index.php?&418,arhivi.lv,
government_agency,State Archive of Personnel Files,http://arhivi.lv/index.php?&410,arhivi.lv,
government_agency,Q90307897,https://www.baltinava.lv,baltinava.lv,local
government_agency,Bank of Latvia,https://www.bank.lv/,bank.lv,
government_agency,Q90308446,https://www.bauska.lv,bauska.lv,local
government_agency,Agency for Support for BEREC,https://www.berec.europa.eu,berec.europa.eu,local
government_agency,Q90308913,https://www.beverinasnovads.lv,beverinasnovads.lv,local
government_agency,Q90309861,https://www.cesis.lv,cesis.lv,central-1
government_agency,Q90309939,https://www.ciblasnovads.lv,ciblasnovads.lv,local
government_agency,Central Election Commission,https://www.cvk.lv/,cvk.lv,central
government_agency,embassy of Finland in Latvia,https://finlandabroad.fi/web/lva,finlandabroad.fi,central
constitutional_court,Jesuit Province of Central Europe,https://www.jesuiten.org/,jesuiten.org,
government_agency,Jesuit Province of Central Europe,https://www.jesuiten.org/,jesuiten.org,
government_agency,Metrology Bureau,http://www.latmb.lv,latmb.lv,
government_agency,"Embassy of Russia, Riga",https://latvia.mid.ru,latvia.mid.ru,central
government_agency,European Commission Representation in Latvia,https://latvia.representation.ec.europa.eu/,latvia.representation.ec.europa.eu,
government_agency,embassy of Denmark in Latvia,https://letland.um.dk/,letland.um.dk,central
government_agency,Liepaja City Council,https://www.liepaja.lv,liepaja.lv,central-1
government_agency,Maritime Administration of Latvia,https://www.lja.lv/,lja.lv,
government_agency,National Library of Latvia,http://www.lnb.lv/,lnb.lv,
government_agency,"Embassy of France, Riga",https://lv.ambafrance.org/,lv.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Riga",http://lv.chineseembassy.org,lv.chineseembassy.org,central
government_agency,"Embassy of Lithuania, Riga",http://lv.mfa.lt/,lv.mfa.lt,central
government_agency,Embassy of the United States in Riga,https://lv.usembassy.gov,lv.usembassy.gov,central
government_agency,National Heritage Board of Latvia,http://www.mantojums.lv,mantojums.lv,
government_agency,Association of Memorial Museums,http://www.memorialiemuzeji.lv,memorialiemuzeji.lv,
government_agency,"Latvian Environment, Geology and Meteorology Centre",http://www.meteo.lv/,meteo.lv,
government_agency,embassy of Greece in Latvia,https://www.mfa.gr/missionsabroad/latvia.html,mfa.gr,central
government_agency,"Embassy of the United Arab Emirates, Riga",https://www.mofaic.gov.ae/missions/riga,mofaic.gov.ae,central
government_agency,embassy of the Czech republic in Latvia,https://www.mzv.cz/riga,mzv.cz,central
government_agency,embassy of Slovakia in Latvia,https://www.mzv.sk/web/riga,mzv.sk,central
government_agency,National Electronic Mass Media Council,https://www.neplpadome.lv/,neplpadome.lv,
government_agency,Embassy of the Netherlands in Latvia,https://www.netherlandsworldwide.nl/countries/latvia/about-us/embassy-in-riga,netherlandsworldwide.nl,central
government_agency,Embassy of Norway in Latvia,https://www.norway.no/en/latvia/,norway.no,central
government_agency,Chancery of the President of Latvia,http://www.president.lv/pk/content/?cat_id=8816,president.lv,
government_agency,Prosecution Office of the Republic of Latvia,https://www.prokuratura.lv/,prokuratura.lv,
government_agency,"Embassy of Germany, Riga",https://riga.diplo.de/,riga.diplo.de,central
government_agency,European Parliament Liaison Office in Latvia,https://riga.europarl.europa.eu,riga.europarl.europa.eu,central
government_agency,Embassy of Estonia in Riga,https://riga.mfa.ee/,riga.mfa.ee,central
government_agency,"Embassy of Hungary, Riga",https://riga.mfa.gov.hu,riga.mfa.gov.hu,central
government_agency,Taipei Mission in the Republic of Latvia,http://www.roc-taiwan.org/lv_en/index.html,roc-taiwan.org,
government_agency,Taipei Mission in Latvia,https://www.roc-taiwan.org/lv_en/index.html,roc-taiwan.org,central
government_agency,Riga Municipal Police,https://rpp.riga.lv/,rpp.riga.lv,central-1
government_agency,"Embassy of Sweden, Riga",http://www.swedenabroad.com/Riga/,swedenabroad.com,central
government_agency,Q90298932,https://www.tiesas.lv,tiesas.lv,
government_agency,Tukums Municipality council,https://www.tukums.lv/lv/pasvaldiba,tukums.lv,central-1
government_agency,Latvian National Commission for UNESCO,https://www.unesco.lv/,unesco.lv,
government_agency,embassy of Uzbekistan in Latvia,http://uzembassy.lv/,uzembassy.lv,central
government_agency,Blood Donor Centre of Latvia,https://www.vadc.lv,vadc.lv,
government_agency,Blood Donor Centre of Latvia,https://www.vadc.lv/en,vadc.lv,
government_agency,Blood Donor Centre of Latvia,https://www.vadc.lv/ru,vadc.lv,
government_agency,The Latvian Language Agency,https://valoda.lv/,valoda.lv,
government_agency,The Latvian Language Agency,https://valoda.lv/en/,valoda.lv,
