type,label,website,hostname,level
ministry,Ministry of National Planning & Infrastructure,https://dev.planning.gov.mv/,dev.planning.gov.mv,
ministry,"Ministry of Environment, Climate Change and Technology",http://www.environment.gov.mv/v2/en/,environment.gov.mv,
ministry,Ministry of Finance,http://www.finance.gov.mv/,finance.gov.mv,
ministry,Ministry of Foreign Affairs,http://www.foreign.gov.mv/index.php/en/,foreign.gov.mv,
ministry,Ministry of Islamic Affairs,https://islamicaffairs.gov.mv,islamicaffairs.gov.mv,
supreme_court,People's Majlis,https://majlis.gov.mv/,majlis.gov.mv,central
parliament,People's Majlis,https://majlis.gov.mv/,majlis.gov.mv,central
ministry,Ministry of Education,https://presidency.gov.mv/Government/Officials/17/,presidency.gov.mv,
ministry,Ministry of Tourism,https://www.tourism.gov.mv/,tourism.gov.mv,
ministry,Ministry of Economic Development,http://www.trade.gov.mv/,trade.gov.mv,
ministry,Ministry of Transport and Civil Aviation,https://www.transport.gov.mv/,transport.gov.mv,
