hostname,score,sources,label,level
fgr.org.mx,7,wikidata;wikidata,General Prosecutor of the Republic,central
franciscanosenmexico.com.mx,7,wikidata;wikidata,Province of the Holy Gospel in Mexico,
insp.mx,7,wikidata;wikidata,Instituto Nacional de Salud Pública,
escolapiosmexico.org,6,wikidata;wikidata,Piarist province of Mexico,
jesuitasmexico.org,6,wikidata;wikidata,Jesuit Province of Mexico,
mexiko.ahk.de,6,wikidata;wikidata,Cámara Mexicano-Alemana de Comercio e Industria,
sites.google.com,6,wikidata;wikidata,Q25408184,
banxico.org.mx,4,wikidata,Bank of Mexico,
bnm.iib.unam.mx,4,wikidata,National Library of Mexico,
cardiologia.org.mx,4,wikidata,Instituto Nacional de Cardiología,
ciad.mx,4,wikidata,Research Center for Food and Development A.C.,
ciatej.mx,4,wikidata,Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco,
cofece.mx,4,wikidata,Comisión Federal de Competencia,
conahcyt.mx,4,wikidata,"Consejo Nacional de Humanidades, Ciencias y Tecnologías",
conapred.org.mx,4,wikidata,National Council to Prevent Discrimination,
culturamazatlan.mx,4,wikidata,Cultura,
embajadadecostarica.com.mx,4,wikidata,embassy of Costa Rica in Mexico,central
embajadasudafrica.mx,4,wikidata,embassy of South Africa in Mexico,central
geoint.mx,4,wikidata,Laboratorio Nacional de GeoInteligencia,
ieebc.mx,4,wikidata,State Electoral Institute of Baja California,
inap.mx,4,wikidata,Instituto Nacional de Administración Pública,central
inegi.org.mx,4,wikidata,Instituto Nacional de Estadística y Geografía,
international.gouv.qc.ca,4,wikidata,Quebec general delegation in Mexico,
mexiko.mfa.gov.hu,4,wikidata,"Embassy of Hungary, Mexico City",central
mexikovaros.mfa.gov.hu,4,wikidata,"Embassy of Hungary, Mexico City",central
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Mexico",central
oplever.org.mx,4,wikidata,Q91380052,
portalmx.infonavit.org.mx,4,wikidata,Institute of the National Housing Fund for Workers,
snieg.mx,4,wikidata,Sistema Nacional de Información Estadística y Geográfica,
apiacapulcoport.com,3,wikidata,Q5657829,
banamex.com,3,wikidata,Banco Nacional de México,
ccemx.org,3,wikidata,Centro Cultural de España,
eeas.europa.eu,3,wikidata,Delegation of the European Union to Mexico,
embadom.org,3,wikidata,embassy of the Dominican Republic in Mexico,central
embajadasaharauimexico.org,3,wikidata,"Embassy of the Sahrawi Arab Democratic Republic, Mexico City",central
finlandabroad.fi,3,wikidata,Embassy of Finland in Mexico,central
mexico.mae.ro,3,wikidata,embassy of Romania in Mexico,central
mexico.mfa.am,3,wikidata,embassy of Armenia in Mexico,central
mexico.mid.ru,3,wikidata,embassy of Russia in Mexico,central
mexico.um.dk,3,wikidata,embassy of Denmark in Mexico,central
mexiko.diplo.de,3,wikidata,"Embassy of Germany, Mexico City",central
mfa.bg,3,wikidata,embassy of Bulgaria in Mexico,central
mfa.gr,3,wikidata,embassy of Greece in Mexico,central
mx.ambafrance.org,3,wikidata,"Embassy of France, Mexico City",central
mzv.cz,3,wikidata,embassy of the Czech republic in Mexico,central
mzv.sk,3,wikidata,embassy of Slovakia in Mexico,central
nigerianembmexico.org,3,wikidata,embassy of Nigeria in Mexico,central
norway.no,3,wikidata,"Embassy of Norway, Mexico City",central
programasotavento.blogspot.com,3,wikidata,Q100980372,
swedenabroad.com,3,wikidata,"Embassy of Sweden, Mexico City",central
usmcoc.org,3,wikidata,United States-Mexico Chamber of Commerce,
web.roc-taiwan.org,3,wikidata,Taipei Economic and Cultural Office in Mexico,
mx.usembassy.gov,2,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,"Consulate General of the United States, Nogales | Embassy of the United States, Mexico City | Consulate General of the United States in Hermosillo | Consulate General of the United States in Ciudad Juárez | Consulate General of the United States in Merida | Consulate General of the United States in Matamoros | Consulate General of the United States in Monterrey | Consulate General of the United States in Nuevo Laredo | Consulate General of the United States in Guadalajara | Consulate General of the United States in Tijuana",central
