type,label,website,hostname,level
government_agency,Agency for Electronic Communications,http://www.aek.mk/,aek.mk,
government_agency,Embassy of Bosnia and Herzegovina in North Macedonia,http://ambasadabih.org.mk/,ambasadabih.org.mk,central
government_agency,"Embassy of Kosovo, Skopje",https://ambasadat.net/Maqedonia-e-Veriut/,ambasadat.net,central
government_agency,State Archive of the Republic of North Macedonia,https://arhiv.mk/,arhiv.mk,
government_agency,Delegation of the European Union to North Macedonia,https://www.eeas.europa.eu/delegations/north-macedonia_en,eeas.europa.eu,
government_agency,Intelligence Agency of North Macedonia,http://www.ia.mk/index.asp?language=en,ia.mk,
government_agency,Institute of Public Health of North Macedonia,http://www.iph.mk/en/,iph.mk,
government_agency,Institute of Public Health of North Macedonia,http://www.iph.mk/,iph.mk,
government_agency,embassy of Russia in North Macedonia,https://macedonia.mid.ru,macedonia.mid.ru,central
government_agency,embassy of Bulgaria in North Macedonia,https://www.mfa.bg/embassies/macedonia,mfa.bg,central
government_agency,embassy of Greece in North Macedonia,https://www.mfa.gr/missionsabroad/north-macedonia.html,mfa.gr,central
government_agency,"Embassy of France, Skopje",https://mk.ambafrance.org,mk.ambafrance.org,central
government_agency,embassy of Croatia in North Macedonia,http://mk.mvep.hr,mk.mvep.hr,central
government_agency,embassy of the United States in North Macedonia,https://mk.usembassy.gov,mk.usembassy.gov,central
government_agency,embassy of the Czech republic in North Macedonia,https://www.mzv.cz/skopje,mzv.cz,central
government_agency,embassy of Slovakia in North Macedonia,https://www.mzv.sk/web/skopje,mzv.sk,central
government_agency,National Bank of North Macedonia,http://www.nbrm.mk,nbrm.mk,
government_agency,"National and University Library ""St. Kliment of Ohrid""",http://www.nubsk.edu.mk/,nubsk.edu.mk,
government_agency,Courthouses in Kratovo,http://www.oskratovo.mk/,oskratovo.mk,
government_agency,Courthouses in Negotino,http://www.osnegotino.mk/,osnegotino.mk,
government_agency,"Embassy of Germany, Skopje",https://skopje.diplo.de/,skopje.diplo.de,central
government_agency,embassy of Slovenia in North Macedonia,http://www.skopje.embassy.si/,skopje.embassy.si,central
government_agency,embassy of Romania in North Macedonia,http://skopje.mae.ro/,skopje.mae.ro,central
parliament,Assembly of North Macedonia,https://www.sobranie.mk/,sobranie.mk,central
supreme_court,Assembly of North Macedonia,https://www.sobranie.mk/,sobranie.mk,central
government_agency,Embassy of Sweden in Skopje,https://www.swedenabroad.se/sv/utlandsmyndigheter/makedonien-skopje/,swedenabroad.se,central
government_agency,Constitutional Court of North Macedonia,http://www.ustavensud.mk,ustavensud.mk,
government_agency,Supreme Court of North Macedonia,http://www.vsrm.mk,vsrm.mk,central
