qid,label
Q1018191,Petrovec Municipality
Q1020859,Šuto Orizari Municipality
Q1057563,Brvenica Municipality
Q1125333,Ohrid Municipality
Q1155055,Kavadarci Municipality
Q1309481,Saraj Municipality
Q1323322,Delčevo Municipality
Q1323332,Mavrovo i Rostuše Municipality
Q1323340,Debarca Municipality
Q1344996,Debar Municipality
Q1346554,Karbinci Municipality
Q1386136,Kisela Voda Municipality
Q1419314,Čair Municipality
Q1422453,Kriva Palanka Municipality
Q1463152,Centar Municipality
Q1463246,Karpoš Municipality
Q1475001,Rankovce Municipality
Q159380,Bitola Municipality
Q1779085,Centar Župa Municipality
Q1779775,Bosilovo Municipality
Q1819289,Kočani Municipality
Q1839369,Mogila Municipality
Q1946579,Novo Selo Municipality
Q1992691,Dolneni Municipality
Q1992701,Gradsko Municipality
Q1992708,Aerodrom Municipality
Q1992716,Kratovo Municipality
Q1992728,Konče Municipality
Q1992752,Bogdanci Municipality
Q1994547,Čaška Municipality
Q1996410,Želino Municipality
Q1996413,Dojran Municipality
Q1996470,Lozovo Municipality
Q1996740,Vrapčište Municipality
Q2018921,Plasnica Municipality
Q2018930,Krivogaštani Municipality
Q2018957,Kičevo Municipality
Q2018965,Valandovo Municipality
Q2018974,Gevgelija Municipality
Q2018980,Vasilevo Municipality
Q2019836,Gazi Baba Municipality
Q2029825,Vevčani Municipality
Q2041219,Makedonska Kamenica Municipality
Q2041236,Lipkovo Municipality
Q2088022,Novaci Municipality
Q2088034,Studeničani Municipality
Q2088561,Veles Municipality
Q2088585,Rosoman Municipality
Q2128903,Staro Nagoričane Municipality
Q2270414,Probištip Municipality
Q2282240,Sopište Municipality
Q2282274,Tearce Municipality
Q2308277,Sveti Nikole Municipality
Q2308287,Strumica Municipality
Q2352376,Kumanovo Municipality
Q2364199,Makedonski Brod Municipality
Q2370973,Demir Kapija Municipality
Q2423082,Štip Municipality
Q2476159,Kruševo Municipality
Q2479526,Vinica Municipality
Q2575820,City of Skopje
Q2738284,Radoviš Municipality
Q281898,Češinovo-Obleševo Municipality
Q3245456,Tetovo Municipality
Q3246545,Negotino Municipality
Q426114,Pehčevo Municipality
Q431908,Jegunovce Municipality
Q521112,Gostivar Municipality
Q597345,Aračinovo Municipality
Q629720,Čučer-Sandevo Municipality
Q6312454,Prilep Municipality
Q657754,Ilinden Municipality
Q740591,Resen Municipality
Q749618,Struga Municipality
Q793727,Berovo Municipality
Q856278,Demir Hisar Municipality
Q9035785,Bogovinje Municipality
Q9050283,Zelenikovo Municipality
Q924278,Ǵorče Petrov Municipality
Q935620,Butel Municipality
Q950881,Zrnovci Municipality
