subdomain,http_status,mx
2020.mines.gouv.ml,Could not resolve host: 2020.mines.gouv.ml,none
a-ns.cpanel.gouv.ml,Resolving timed out after 3001 milliseconds,none
a-ns.gouv.ml,Connection timed out after 3000 milliseconds,none
a.tourisme.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'a.tourisme.gouv.ml',none
accesuniversel.gouv.ml,Could not resolve host: accesuniversel.gouv.ml,none
adm.gouv.ml,Could not resolve host: adm.gouv.ml,none
administration.gouv.ml,Operation timed out after 3000 milliseconds with 0 bytes received,0 administration.gouv.ml.
aedd.gouv.ml,Operation timed out after 3001 milliseconds with 0 bytes received,10 smtpcitad.gouv.ml.; 5 smtpag.gouv.ml.
affaires-etrangeres.gouv.ml,Could not resolve host: affaires-etrangeres.gouv.ml,none
agefau.gouv.ml,Could not resolve host: agefau.gouv.ml,none
ageroute.gouv.ml,200,0 smtpag.gouv.ml.; 5 smtpcitad.gouv.ml.
agetic-adm.gouv.ml,Resolving timed out after 3000 milliseconds,none
agetic-communication.gouv.ml,Resolving timed out after 3000 milliseconds,none
agetic.gouv.ml,200,5 smtpcitad.gouv.ml.; 0 smtpag.gouv.ml.
agtic.gouv.ml,SSL certificate problem: unable to get local issuer certificate,none
amam.gouv.ml,SSL certificate problem: certificate has expired,10 domino3.gouv.ml.; 20 domino2.gouv.ml.; 0 domino1.gouv.ml.
anict.gouv.ml,200,10 smtpcitad.gouv.ml.; 5 smtpag.gouv.ml.
ap.gouv.ml,Could not resolve host: ap.gouv.ml,none
apex-mali.gouv.ml,200,10 relais1.gouv.ml.; 0 relais.gouv.ml.
api.sigap.gouv.ml,Connection timed out after 3000 milliseconds,none
aptm.gouv.ml,Could not resolve host: aptm.gouv.ml,none
archive.collab.gouv.ml,Could not resolve host: archive.collab.gouv.ml,none
archivesmali.gouv.ml,200,10 smtpcitad.gouv.ml.; 5 smtpag.gouv.ml.
armds.gouv.ml,Could not resolve host: armds.gouv.ml,none
artisanat.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'artisanat.gouv.ml',none
authsrv.gouv.ml,Could not resolve host: authsrv.gouv.ml,none
