type,label,website,hostname,level
government_agency,AFRISTAT,http://www.afristat.org,afristat.org,
government_agency,Information and Communication Technologies Agency,https://agetic.gouv.ml,agetic.gouv.ml,
government_agency,embassy of Burkina Faso in Mali,https://ambassadeburkina-ml.org,ambassadeburkina-ml.org,central
government_agency,embassy of Niger in Mali,https://ambniger-mali.org,ambniger-mali.org,central
government_agency,"Embassy of Turkey, Bamako",https://bamako-be.mfa.gov.tr,bamako-be.mfa.gov.tr,central
government_agency,"Embassy of Germany, Bamako",https://bamako.diplo.de/,bamako.diplo.de,central
government_agency,embassy of Brazil in Mali,http://bamako.itamaraty.gov.br,bamako.itamaraty.gov.br,central
government_agency,Embassy of Ghana in Bamako,https://bamako.mfa.gov.gh/,bamako.mfa.gov.gh,central
government_agency,Central Bank of West African States,http://www.bceao.int/,bceao.int,
government_agency,"Ministry of Communication, Digital Economy and Public Administration Modernization Malian",https://communication.gouv.ml/,communication.gouv.ml,central
ministry,"Ministry of Communication, Digital Economy and Public Administration Modernization Malian",https://communication.gouv.ml/,communication.gouv.ml,
government_agency,"Embassy of Tunisia, Bamako",https://www.diplomatie.gov.tn/nc/mission/etranger/ambassade-de-tunisie-a-bamako-mali/,diplomatie.gov.tn,central
government_agency,Q132472717,http://www.dnhmali.org,dnhmali.org,
government_agency,Delegation of the European Union to Mali,https://eeas.europa.eu/delegations/mali_en,eeas.europa.eu,
government_agency,"Embassy of Saudi Arabia, Bamako",https://embassies.mofa.gov.sa/sites/Mali/,embassies.mofa.gov.sa,central
government_agency,"Embassy of India, Bamako",https://www.embassyofindiabamako.gov.in/,embassyofindiabamako.gov.in,central
ministry,Ministry of Higher Education and Research of Mali,https://www.enseignementsuperieur.gouv.ml/,enseignementsuperieur.gouv.ml,
government_agency,Ministry of Higher Education and Research of Mali,https://www.enseignementsuperieur.gouv.ml/,enseignementsuperieur.gouv.ml,
ministry,Ministry of Environment and Sanitation of Mali,http://www.environnement.gov.ml/,environnement.gov.ml,
government_agency,Ministry of Environment and Sanitation of Mali,http://www.environnement.gov.ml/,environnement.gov.ml,central
government_agency,"Embassy of Spain, Bamako",http://www.exteriores.gob.es/Embajadas/BAMAKO,exteriores.gob.es,central
government_agency,Ministry of Economy and Finance,http://www.finances.gouv.ml/,finances.gouv.ml,central
ministry,Ministry of Economy and Finance,http://www.finances.gouv.ml/,finances.gouv.ml,
government_agency,Malian National Gendarmerie,https://gendarmerie.ml/,gendarmerie.ml,central
government_agency,British Embassy Bamako,https://www.gov.uk/world/organisations/british-embassy-bamako,gov.uk,central
government_agency,Institut d'Economie Rurale,http://www.ier.gouv.ml/,ier.gouv.ml,central
government_agency,Institut National de Recherche en Santé Publique,http://inrsp.sante.gov.ml/,inrsp.sante.gov.ml,central
government_agency,Institut National de la Statistique,http://www.instat-mali.org/,instat-mali.org,
government_agency,embassy of Canada in Mali,https://www.international.gc.ca/country-pays/mali/index.aspx,international.gc.ca,central
government_agency,"Honorary Consulate of Romania, Bamako",https://www.mae.ro/en/romanian-missions/3382,mae.ro,
government_agency,"Embassy of Belgium, Bamako",http://mali.diplomatie.belgium.be,mali.diplomatie.belgium.be,central
government_agency,embassy of Ivory Coast in Mali,http://mali.diplomatie.gouv.ci,mali.diplomatie.gouv.ci,central
government_agency,embassy of Denmark in Mali,https://mali.um.dk,mali.um.dk,central
government_agency,Agence Nationale de la Météorologie du Mali,https://malimeteo.ml,malimeteo.ml,
government_agency,Q139906564,https://matd.gouv.ml/,matd.gouv.ml,central
government_agency,"Embassy of France, Bamako",https://ml.ambafrance.org/,ml.ambafrance.org,central
government_agency,embassy of Japan in Mali,https://www.ml.emb-japan.go.jp,ml.emb-japan.go.jp,central
government_agency,embassy of the United States in Mali,https://ml.usembassy.gov,ml.usembassy.gov,central
government_agency,embassy of the Czech republic in Mali,https://www.mzv.cz/bamako,mzv.cz,central
government_agency,Embassy of Norway in Mali,https://www.norway.no/mali/,norway.no,central
government_agency,Council of Ministers of Mali,http://primature.ml/les-ministres/,primature.ml,central
constitutional_court,Council of Ministers of Mali,http://primature.ml/les-ministres/,primature.ml,central
government_agency,embassy of Russia in Mali,https://rusembmali.mid.ru,rusembmali.mid.ru,central
government_agency,Ministry of Public Health and Hygiene,http://www.sante.gov.ml/,sante.gov.ml,central
ministry,Ministry of Public Health and Hygiene,http://www.sante.gov.ml/,sante.gov.ml,
government_agency,National Police of Mali,https://securite.gouv.ml/,securite.gouv.ml,
government_agency,"Embassy of Sweden, Bamako",https://www.swedenabroad.se/bamako,swedenabroad.se,central
university,"Université des Sciences, des Techniques et des Technologies de Bamako",http://www.usttb.edu.ml/,usttb.edu.ml,university
university,University of Legal and Political Sciences of Bamako,http://www.usjpb.edu.ml/,usjpb.edu.ml,university
university,Université des lettres et des sciences humaines de Bamako,http://www.ulshb.edu.ml,ulshb.edu.ml,university
