type,label,website,hostname,level
government_agency,AFRISTAT,http://www.afristat.org,afristat.org,
government_agency,embassy of Burkina Faso in Mali,https://ambassadeburkina-ml.org,ambassadeburkina-ml.org,central
government_agency,embassy of Niger in Mali,https://ambniger-mali.org,ambniger-mali.org,central
government_agency,"Embassy of Germany, Bamako",https://bamako.diplo.de/,bamako.diplo.de,central
government_agency,Central Bank of West African States,http://www.bceao.int/,bceao.int,
government_agency,Q132472717,http://www.dnhmali.org,dnhmali.org,
government_agency,Delegation of the European Union to Mali,https://eeas.europa.eu/delegations/mali_en,eeas.europa.eu,
ministry,Ministry of Environment and Sanitation of Mali,http://www.environnement.gov.ml/,environnement.gov.ml,central
government_agency,Ministry of Environment and Sanitation of Mali,http://www.environnement.gov.ml/,environnement.gov.ml,central
government_agency,Malian National Gendarmerie,https://gendarmerie.ml/,gendarmerie.ml,central
government_agency,Institut National de Recherche en Santé Publique,http://inrsp.sante.gov.ml/,inrsp.sante.gov.ml,central
government_agency,Institut National de la Statistique,http://www.instat-mali.org/,instat-mali.org,
government_agency,"Honorary Consulate of Romania, Bamako",https://www.mae.ro/en/romanian-missions/3382,mae.ro,
government_agency,embassy of Denmark in Mali,https://mali.um.dk,mali.um.dk,central
government_agency,Agence Nationale de la Météorologie du Mali,https://malimeteo.ml,malimeteo.ml,
government_agency,"Embassy of France, Bamako",https://ml.ambafrance.org/,ml.ambafrance.org,central
government_agency,embassy of the United States in Mali,https://ml.usembassy.gov,ml.usembassy.gov,central
government_agency,embassy of the Czech republic in Mali,https://www.mzv.cz/bamako,mzv.cz,central
government_agency,Embassy of Norway in Mali,https://www.norway.no/mali/,norway.no,central
government_agency,Council of Ministers of Mali,http://primature.ml/les-ministres/,primature.ml,central
constitutional_court,Council of Ministers of Mali,http://primature.ml/les-ministres/,primature.ml,central
government_agency,embassy of Russia in Mali,https://rusembmali.mid.ru,rusembmali.mid.ru,central
government_agency,Ministry of Public Health and Hygiene,http://www.sante.gov.ml/,sante.gov.ml,central
ministry,Ministry of Public Health and Hygiene,http://www.sante.gov.ml/,sante.gov.ml,central
government_agency,"Embassy of Sweden, Bamako",https://www.swedenabroad.se/bamako,swedenabroad.se,central
