subdomain,mx
112mt.gov.mt,none
aacbeta.gov.mt,none
aacc.gov.mt,none
aaccbeta.gov.mt,none
academybeta.gov.mt,none
accomstat.nso.gov.mt,none
activeageing.gov.mt,none
admin.consularplus-test.gov.mt,none
admin.consularplus.gov.mt,none
admin.staging.ncc-mita.gov.mt,none
adminhosting.s1.cloud.gov.mt,dig error
adminhosting.s2.cloud.gov.mt,dig error
adminhosting.s3.cloud.gov.mt,dig error
adminhosting.s4.cloud.gov.mt,dig error
adminhosting.s5.cloud.gov.mt,dig error
adminmanagement.s1.cloud.gov.mt,dig error
adminmanagement.s2.cloud.gov.mt,dig error
adminmanagement.s3.cloud.gov.mt,dig error
adminmanagement.s4.cloud.gov.mt,dig error
adminmanagement.s5.cloud.gov.mt,dig error
adminportal.s1.cloud.gov.mt,dig error
adminportal.s2.cloud.gov.mt,dig error
adminportal.s3.cloud.gov.mt,dig error
adminportal.s4.cloud.gov.mt,dig error
adminportal.s5.cloud.gov.mt,dig error
adminvault.s1.cloud.gov.mt,dig error
adminvault.s2.cloud.gov.mt,dig error
adminvault.s3.cloud.gov.mt,dig error
adminvault.s4.cloud.gov.mt,dig error
adminvault.s5.cloud.gov.mt,dig error
afmbeta.gov.mt,none
agents.iip.gov.mt,none
agriconnect.gov.mt,none
agrifair.gov.mt,none
aimsbeta.gov.mt,none
akkomodazzjonibeta.gov.mt,none
amreporting-cleanandupkeep.gov.mt,none
api.appservice.s1.cloud.gov.mt,dig error
api.appservice.s2.cloud.gov.mt,dig error
api.appservice.s3.cloud.gov.mt,none
api.appservice.s5.cloud.gov.mt,dig error
api.consularplus-test.gov.mt,none
api.consularplus.gov.mt,none
api.dms.fms.gov.mt,none
api.gov.mt,none
api.health.gov.mt,none
api.maltagoesrural.gov.mt,none
api.staging.dms.fms.gov.mt,none
api.staging.ncc-mita.gov.mt,none
apmt01.eessi-acc.gov.mt,none
apmt01.eessi.gov.mt,none
app.cleanandupkeep.gov.mt,none
appservice.s1.cloud.gov.mt,none
appservice.s2.cloud.gov.mt,dig error
appservice.s3.cloud.gov.mt,dig error
appservice.s5.cloud.gov.mt,none
arhai-health.gov.mt,none
armi.gov.mt,none
artscouncilmalta.gov.mt,none
assessment-education.gov.mt,none
assetrecoverybeta.gov.mt,none
attendancemesdc.gov.mt,none
attinutarili.gov.mt,none
attorneygeneralbeta.gov.mt,none
auth1.networks.gov.mt,none
auth2.networks.gov.mt,none
autodiscover.contractors.gov.mt,none
autodiscover.gov.mt,none
autodiscover.ha.gov.mt,none
autodiscover.iip.gov.mt,none
autodiscover.lesa.gov.mt,none
autodiscover.lifelonglearning.gov.mt,none
autodiscover.mdia.gov.mt,none
autodiscover.mfc.gov.mt,none
autodiscover.myexams.gov.mt,none
autodiscover.naxxar.gov.mt,none
autodiscover.rrra.gov.mt,none
autodiscover.transport.gov.mt,none
aviationsecuritybeta.gov.mt,none
avsecmaltaebc.gov.mt,none
awasbeta.gov.mt,none
b2c-proxy-prod-eidas.gov.mt,none
backend.milunch.mita.gov.mt,none
backup-con.cloud.gov.mt,none
backup-gw.cloud.gov.mt,none
balzanbeta.gov.mt,none
balzanlc.gov.mt,none
bcreports.gov.mt,none
beltvallettabeta.gov.mt,none
beltvallettalc.gov.mt,none
bicc.gov.mt,none
biccbeta.gov.mt,none
billing-admin.cloud.gov.mt,none
billing.cloud.gov.mt,none
bills.www.gov.mt,none
birgu.gov.mt,none
birgubeta.gov.mt,none
birgulc.gov.mt,none
birkirkarabeta.gov.mt,none
birkirkaralc.gov.mt,none
birzebbugabeta.gov.mt,none
birzebbugalc.gov.mt,none
bkcraftsregister.gov.mt,none
blob.s1.cloud.gov.mt,none
blob.s2.cloud.gov.mt,none
blob.s3.cloud.gov.mt,dig error
blob.s4.cloud.gov.mt,none
blob.s5.cloud.gov.mt,none
bms.intra.gov.mt,none
bmstest.intra.gov.mt,none
bomgar.gov.mt,none
bormlabeta.gov.mt,none
bormlalc.gov.mt,none
brb.gov.mt,none
businessenhance.gov.mt,none
caadmin.intra.gov.mt,none
cadexaminations.transport.gov.mt,none
careandcure.gov.mt,none
cdn.cybersecurity.gov.mt,none
cdn.primeminister.gov.mt,none
census2021.gov.mt,none
certauth.communityservicesfs-dev.aacc.gov.mt,none
certauth.communityservicesfs-test.aacc.gov.mt,none
certauth.communityservicesfs.aacc.gov.mt,none
certauth.inline-test.gov.mt,none
certauth.inlinefs.gov.mt,none
certificates.education.gov.mt,none
certifikati.gov.mt,none
certifikatswab.gov.mt,none
certifikatvaccin.gov.mt,none
cfms.gov.mt,none
cfr-oecd.gov.mt,none
cfr.gov.mt,none
civilprotectionbeta.gov.mt,none
cleanandupkeep.gov.mt,none
cleansingstockcontrol.gov.mt,none
cloud.gov.mt,none
collabadfs.intra.gov.mt,none
