subdomain,http_status
admin.visa.ferd.gov.mm,"Could not resolve host: admin.visa.ferd.gov.mm"
ascoja-maja.rrdhrplan.gov.mm,"Could not resolve host: ascoja-maja.rrdhrplan.gov.mm"
autodiscover.myanmarcustoms.gov.mm,"Could not resolve host: autodiscover.myanmarcustoms.gov.mm"
autodiscover.rrdhrplan.gov.mm,"Could not resolve host: autodiscover.rrdhrplan.gov.mm"
chinparliament.gov.mm,"Could not resolve host: chinparliament.gov.mm"
admin.magway.gov.mm,"Could not resolve host: admin.magway.gov.mm"
budget.gov.mm,"Could not resolve host: budget.gov.mm"
cirr.gov.mm,"Could not resolve host: cirr.gov.mm"
cirr.rrdhrplan.gov.mm,"Could not resolve host: cirr.rrdhrplan.gov.mm"
cpcalendars.magwayparliament.gov.mm,"Could not resolve host: cpcalendars.magwayparliament.gov.mm"
cpanel.rrdhrplan.gov.mm,"Could not resolve host: cpanel.rrdhrplan.gov.mm"
cpcalendars.qcrs.gov.mm,"Could not resolve host: cpcalendars.qcrs.gov.mm"
cn.tourism.gov.mm,"Could not resolve host: cn.tourism.gov.mm"
cpcontacts.qcrs.gov.mm,"Could not resolve host: cpcontacts.qcrs.gov.mm"
ddm.rrdhrplan.gov.mm,"Could not resolve host: ddm.rrdhrplan.gov.mm"
dca.gov.mm,"Could not resolve host: dca.gov.mm"
api.magway.gov.mm,"Could not resolve host: api.magway.gov.mm"
de.tourism.gov.mm,"Could not resolve host: de.tourism.gov.mm"
dmr.gov.mm,"Could not resolve host: dmr.gov.mm"
dof.qcrs.gov.mm,"Could not resolve host: dof.qcrs.gov.mm"
autodiscover.maccs.gov.mm,"Could not resolve host: autodiscover.maccs.gov.mm"
autodiscover.ulab.gov.mm,"Could not resolve host: autodiscover.ulab.gov.mm"
ayeyarwadyregion.gov.mm,"Could not resolve host: ayeyarwadyregion.gov.mm"
db.magway.gov.mm,"Could not resolve host: db.magway.gov.mm"
admin.mypass.magway.gov.mm,"Could not resolve host: admin.mypass.magway.gov.mm"
cpcontacts.maccs.gov.mm,"Could not resolve host: cpcontacts.maccs.gov.mm"
autodiscover.dca.gov.mm,"400"
cpanel.maccs.gov.mm,"Could not resolve host: cpanel.maccs.gov.mm"
api.mypass.magway.gov.mm,"Could not resolve host: api.mypass.magway.gov.mm"
bpi.gov.mm,"SSL certificate problem: certificate has expired"
csotemplate.gov.mm,"Could not resolve host: csotemplate.gov.mm"
dsw.gov.mm,"403"
autodiscover.moee.gov.mm,"Could not resolve host: autodiscover.moee.gov.mm"
emandalay.gov.mm,"Could not resolve host: emandalay.gov.mm"
ayeyarwadyregion.moee.gov.mm,"Could not resolve host: ayeyarwadyregion.moee.gov.mm"
cpanel.dca.gov.mm,"200"
cpanel.qcrs.gov.mm,"200"
cpanel.ayeyarwadyregion.gov.mm,"Could not resolve host: cpanel.ayeyarwadyregion.gov.mm"
cpanel.moee.gov.mm,"Could not resolve host: cpanel.moee.gov.mm"
cpanel.tourism.gov.mm,"200"
drd.gov.mm,"Could not resolve host: drd.gov.mm"
cbm.gov.mm,"200"
cpanel.energy.gov.mm,"Could not resolve host: cpanel.energy.gov.mm"
cpanel.customs.gov.mm,"Could not resolve host: cpanel.customs.gov.mm"
cidcyber.gov.mm,"Failed to connect to cidcyber.gov.mm port 443 after 459 ms: Could not connect to server"
es.tourism.gov.mm,"Could not resolve host: es.tourism.gov.mm"
cpcalendars.customs.gov.mm,"Could not resolve host: cpcalendars.customs.gov.mm"
cpcalendars.maccs.gov.mm,"Could not resolve host: cpcalendars.maccs.gov.mm"
cpcontacts.customs.gov.mm,"Could not resolve host: cpcontacts.customs.gov.mm"
cpanel.ulab.gov.mm,"200"
dma.gov.mm,"Could not resolve host: dma.gov.mm"
