type,label,website,hostname
ministry,"Ministry of Health and Sports","https://www.mohs.gov.mm",mohs.gov.mm
ministry,"Ministry of Health","http://www.moh.gov.mm/",moh.gov.mm
ministry,"Ministry of Defence","http://www.mod.gov.mm",mod.gov.mm
ministry,"Ministry of Communications and Information Technology","http://www.mcit.gov.mm",mcit.gov.mm
ministry,"Ministry of Science and Technology","https://www.most.gov.mm/",most.gov.mm
ministry,"Ministry of Hotels and Tourism","https://tourism.gov.mm/",tourism.gov.mm
ministry,"Ministry of Commerce","http://www.commerce.gov.mm",commerce.gov.mm
ministry,"Ministry of Foreign Affairs of Myanmar","http://www.mofa.gov.mm/",mofa.gov.mm
ministry,"Ministry of Education of Myanmar","http://www.myanmar-education.edu.mm/",myanmar-education.edu.mm
parliament,"Committee Representing Pyidaungsu Hluttaw","https://www.crphmyanmar.org",crphmyanmar.org
parliament,"Assembly of the Union","http://www.pyithuhluttaw.gov.mm/",pyithuhluttaw.gov.mm
constitutional_court,"National Unity Government of Myanmar","https://www.nugmyanmar.org/en/",nugmyanmar.org
constitutional_court,"National Unity Government of Myanmar","https://www.nugmyanmar.org/",nugmyanmar.org
constitutional_court,"Dominican Province of Our Lady of the Rosary","https://www.holyrosaryprovince.org/index.php?lang=es",holyrosaryprovince.org
constitutional_court,"Dominican Province of Our Lady of the Rosary","https://www.holyrosaryprovince.org/index.php?option=com_sppagebuilder&view=page&id=1&Itemid=101&lang=en",holyrosaryprovince.org
supreme_court,"Assembly of the Union","http://www.pyithuhluttaw.gov.mm/",pyithuhluttaw.gov.mm
