type,label,website,hostname,level
government_agency,Arquivo Histórico de Moçambique,https://www.ahm.uem.mz/,ahm.uem.mz,
government_agency,Q132472720,http://www.aias.gov.mz/,aias.gov.mz,
government_agency,embassy of Italy in Mozambique,https://ambmaputo.esteri.it,ambmaputo.esteri.it,central
government_agency,Q135113631,https://www.anac.gov.mz/,anac.gov.mz,
government_agency,Bank of Mozambique,http://www.bancomoc.mz/Default_en.aspx,bancomoc.mz,
government_agency,high commission of Canada in Mozambique,https://www.canadainternational.gc.ca/mozambique/index.aspx,canadainternational.gc.ca,central
government_agency,Constitutional Council (Mozambique),http://www.cconstitucional.org.mz/,cconstitucional.org.mz,central
government_agency,"South African High Commission, Maputo",http://www.dirco.gov.za/maputo/index.html,dirco.gov.za,central
government_agency,National Directorate of Geology,http://www.dng.gov.mz/,dng.gov.mz,
government_agency,embassy of Switzerland in Mozambique,https://www.eda.admin.ch/maputo,eda.admin.ch,central
government_agency,Delegation of the European Union to Mozambique,https://eeas.europa.eu/delegations/mozambique_en,eeas.europa.eu,
government_agency,embassy of Argentina in Mozambique,https://emoza.cancilleria.gob.ar/,emoza.cancilleria.gob.ar,central
government_agency,"Embassy of Spain, Maputo",https://www.exteriores.gob.es/Embajadas/Maputo,exteriores.gob.es,central
government_agency,"Embassy of Finland, Maputo",https://finlandabroad.fi/web/moz/,finlandabroad.fi,central
government_agency,Fundo Nacional de Investigação,https://fni.gov.mz,fni.gov.mz,
government_agency,British High Commission Maputo,https://www.gov.uk/world/organisations/british-high-commission-maputo,gov.uk,central
government_agency,"High Commission of India, Maputo",https://www.hcimaputo.gov.in/,hcimaputo.gov.in,central
government_agency,Instituto Nacional de Investigação Pesqueira,http://www.iip.gov.mz/,iip.gov.mz,
government_agency,Mozambique National Institute of Meteorology,http://www.inam.gov.mz/,inam.gov.mz,
government_agency,Sistema Estatístico Nacional,http://www.ine.gov.mz/sen,ine.gov.mz,
government_agency,Instituto Nacional de Estatística,http://www.ine.gov.mz/,ine.gov.mz,
government_agency,National Disasters Management Institute,http://www.ingc.gov.mz/,ingc.gov.mz,central
government_agency,Instituto Nacional de Gestão e Redução do Risco de Desastres,https://ingd.gov.mz,ingd.gov.mz,
government_agency,Instituto Nacional de Saúde,http://www.ins.gov.mz/,ins.gov.mz,
government_agency,Instituto Nacional de Tecnologias de Informação e Comunicação,http://www.intic.gov.mz/intic,intic.gov.mz,
government_agency,embassy of Ireland in Mozambique,https://www.ireland.ie/en/mozambique/maputo/,ireland.ie,central
government_agency,"embassy of Indonesia, Maputo",https://kemlu.go.id/maputo,kemlu.go.id,central
government_agency,"High Commission of Malawi, Maputo",https://www.malawihcmz.com/,malawihcmz.com,central
government_agency,"Embassy of Turkey, Maputo",https://maputo-be.mfa.gov.tr,maputo-be.mfa.gov.tr,central
government_agency,"Embassy of Germany, Maputo",https://maputo.diplo.de/,maputo.diplo.de,central
government_agency,"Embassy of Portugal, Maputo",https://maputo.embaixadaportugal.mne.gov.pt,maputo.embaixadaportugal.mne.gov.pt,central
government_agency,"Embassy of Brazil, Maputo",http://maputo.itamaraty.gov.br,maputo.itamaraty.gov.br,central
ministry,Ministry of Culture and Tourism,https://www.micultur.gov.mz/,micultur.gov.mz,
government_agency,Ministry of Culture and Tourism,https://www.micultur.gov.mz/,micultur.gov.mz,central
ministry,Ministry of Foreign Affairs and Cooperation of the Republic of Mozambique,http://www.minec.gov.mz/,minec.gov.mz,
government_agency,Ministry of Foreign Affairs and Cooperation of the Republic of Mozambique,http://www.minec.gov.mz/,minec.gov.mz,central
government_agency,Ministry of Health,http://www.misau.gov.mz/,misau.gov.mz,central
ministry,Ministry of Health,http://www.misau.gov.mz/,misau.gov.mz,
government_agency,"Embassy of the United Arab Emirates, Maputo",https://www.mofaic.gov.ae/en/missions/uae-missions-abroad/uae-missions-abroad-details?countryId=6c03f5a5-d38e-4574-9006-fd870b47a117,mofaic.gov.ae,central
government_agency,"Embassy of Russia, Maputo",https://mozambik.mid.ru,mozambik.mid.ru,central
government_agency,"Embassy of the Netherlands, Maputo",http://mozambique.nlembassy.org/,mozambique.nlembassy.org,central
government_agency,Ministry of Sea Inland Waters and Fisheries,http://www.mozpesca.gov.mz/index.php/en/,mozpesca.gov.mz,central
ministry,Ministry of Sea Inland Waters and Fisheries,http://www.mozpesca.gov.mz/index.php/en/,mozpesca.gov.mz,
government_agency,"Embassy of France, Maputo",https://mz.ambafrance.org/,mz.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Maputo",http://mz.chineseembassy.org/,mz.chineseembassy.org,central
