type,label,website,hostname,level
government_agency,Arquivo Histórico de Moçambique,https://www.ahm.uem.mz/,ahm.uem.mz,
university,Q114851230,https://am.ac.mz/,am.ac.mz,university
government_agency,Bank of Mozambique,http://www.bancomoc.mz/Default_en.aspx,bancomoc.mz,
government_agency,Constitutional Council (Mozambique),http://www.cconstitucional.org.mz/,cconstitucional.org.mz,central
government_agency,Delegation of the European Union to Mozambique,https://eeas.europa.eu/delegations/mozambique_en,eeas.europa.eu,
government_agency,"Embassy of Finland, Maputo",https://finlandabroad.fi/web/moz/,finlandabroad.fi,central
university,Instituto Superior Politécnico de Manica,http://www.ispm.ac.mz/,ispm.ac.mz,university
university,Joaquim Chissano University,http://isri3.ix.co.mz,isri3.ix.co.mz,university
government_agency,"High Commission of Malawi, Maputo",https://www.malawihcmz.com/,malawihcmz.com,central
government_agency,"Embassy of Germany, Maputo",https://maputo.diplo.de/,maputo.diplo.de,central
government_agency,"Embassy of the United Arab Emirates, Maputo",https://www.mofaic.gov.ae/en/missions/uae-missions-abroad/uae-missions-abroad-details?countryId=6c03f5a5-d38e-4574-9006-fd870b47a117,mofaic.gov.ae,central
government_agency,"Embassy of Russia, Maputo",https://mozambik.mid.ru,mozambik.mid.ru,central
government_agency,"Embassy of the Netherlands, Maputo",http://mozambique.nlembassy.org/,mozambique.nlembassy.org,central
government_agency,"Embassy of France, Maputo",https://mz.ambafrance.org/,mz.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Maputo",http://mz.chineseembassy.org/,mz.chineseembassy.org,central
government_agency,"Embassy of the United States, Maputo",https://mz.usembassy.gov/,mz.usembassy.gov,central
parliament,Assembly of the Republic,https://www.parlamento.mz/,parlamento.mz,central
supreme_court,Assembly of the Republic,https://www.parlamento.mz/,parlamento.mz,central
government_agency,Secreteriado Técnico de Administração Eleitoral,http://www.stae.org.mz/,stae.org.mz,central
government_agency,"Embassy of Sweden, Maputo",https://www.swedenabroad.se/sv/utlandsmyndigheter/mocambique-maputo/,swedenabroad.se,central
university,Catholic University of Mozambique,http://www.ucm.ac.mz/,ucm.ac.mz,university
university,Universidade Técnica de Moçambique,https://udm.ac.mz/,udm.ac.mz,university
university,Eduardo Mondlane University,https://uem.mz/,uem.mz,university
university,Lúrio University,http://www.unilurio.ac.mz,unilurio.ac.mz,university
university,Zambezi University,http://www.unizambeze.ac.mz/,unizambeze.ac.mz,university
university,Maputo University,http://www.up.ac.mz,up.ac.mz,university
