subdomain,mx
acedemie.diplomatie.gov.mr,none
admin.elearning.gov.mr,none
admin.services.consulatrimcasa.diplomatie.gov.mr,none
affairesislamiques.gov.mr,10 affairesislamiques-gov-mr.mail.protection.outlook.com.
agriculture.gov.mr,10 agriculture-gov-mr.mail.protection.outlook.com.
albarka.taazour.gov.mr,none
amt.taazour.gov.mr,none
anesp.gov.mr,0 anesp-gov-mr.mail.protection.outlook.com.
annuaire.mtnima.gov.mr,none
anrpts.gov.mr,10 anrpts-gov-mr.mail.protection.outlook.com.
apache.stt-pp.e-tax.impots.gov.mr,none
api-houwiyeti.anrpts.gov.mr,none
api.demo.e-tax.impots.gov.mr,none
api.himayeti.gov.mr,none
api.masef.gov.mr,none
api.portailpbf.gov.mr,none
api.stt-demo.e-tax.impots.gov.mr,none
api.stt-dev1.stt-pp.e-tax.impots.gov.mr,none
api.stt-pp.e-tax.impots.gov.mr,none
api.stt-uat.stt-dev.impots.gov.mr,none
api.stt.e-tax.impots.gov.mr,none
apim.gov.mr,10 apim-gov-mr.mail.protection.outlook.com.
archive.diplomatie.gov.mr,none
assainissement.gov.mr,0 assainissement-gov-mr.mail.protection.outlook.com.
auth.services.consulatrimcasa.diplomatie.gov.mr,none
autodiscover.elearning.gov.mr,none
autodiscover.prs-mesrs.gov.mr,none
autodiscover.tekwini.gov.mr,none
avisrs.taazour.gov.mr,none
awqaf.gov.mr,10 webmail.mauritanie.mr.
backend-temwin.csa.gov.mr,none
backend.sigerh.education.gov.mr,none
bnm.gov.mr,none
bulletin.education.gov.mr,none
bulletin.sante.gov.mr,none
ca.gov.mr,none
candidature.cnc.gov.mr,none
cdd.gov.mr,10 smtp.cdd.gov.mr.
cdhahrsc.gov.mr,0 cdhahrsc-gov-mr.mail.protection.outlook.com.
cdn.gov.mr,none
cet-mahadra.gov.mr,none
cfed.gov.mr,10 cfed-gov-mr.mail.protection.outlook.com.
cg.transports.gov.mr,none
chinguetti.gov.mr,none
ciblage.taazour.gov.mr,none
climataffairesenmauritanie.gov.mr,none
cloud.khidmaty.gov.mr,none
cm-kitab.gov.mr,none
cn-lct.gov.mr,10 smtp.cn-lct.gov.mr.
cnc.gov.mr,10 cnc-gov-mr.mail.protection.outlook.com.
cnlct.gov.mr,none
commerce.gov.mr,10 commerce-gov-mr.mail.protection.outlook.com.
communaute.taazour.gov.mr,none
concours-sup.gov.mr,10 webmail.mauritanie.mr.
concours.education.gov.mr,none
console.services.consulatrimcasa.diplomatie.gov.mr,none
consulatrimcasa.diplomatie.gov.mr,10 consulatrimcasa-diplomatie-gov-mr.mail.protection.outlook.com.
controle.cncmp.gov.mr,none
coordination-dgcg.gov.mr,none
couverture.gov.mr,none
cpanel.elearning.gov.mr,none
cpanel.monecole.gov.mr,none
cpanel.prs-mesrs.gov.mr,none
cpanel.tekwini.gov.mr,none
cpcalendars.elearning.gov.mr,none
cpcalendars.monecole.gov.mr,none
cpcalendars.prs-mesrs.gov.mr,none
cpcalendars.tekwini.gov.mr,none
cpcontacts.elearning.gov.mr,none
cpcontacts.monecole.gov.mr,none
cpcontacts.tekwini.gov.mr,none
cpmpmidec.gov.mr,none
csa.gov.mr,none
culture.gov.mr,none
dashboard.dev.tax-pay.impots.gov.mr,none
dashboard.himayeti.gov.mr,none
dashboard.staging.tax-pay.impots.gov.mr,none
dashboard.tax-pay.impots.gov.mr,none
data.sigerh.education.gov.mr,none
ddfa-sub-engrais.gov.mr,none
dec.education.gov.mr,none
decentralisation.gov.mr,10 decentralisation-gov-mr.mail.protection.outlook.com.
demo.e-tax.impots.gov.mr,none
dev.cnc.gov.mr,none
dev.rokhsa.emploi.gov.mr,none
dev.tax-pay.impots.gov.mr,none
dgpsp.gov.mr,none
dhis2.sante.gov.mr,none
digital.gov.mr,none
diplomatie.gov.mr,10 diplomatie-gov-mr.mail.protection.outlook.com.
diplomes.gov.mr,none
domaines.gov.mr,none
domainlets.gov.mr,none
economie.gov.mr,10 economie-gov-mr.mail.protection.outlook.com.
education.gov.mr,none
ee.elevage.gov.mr,none
elearning.gov.mr,none
elevage.gov.mr,10 elevage-gov-mr.mail.protection.outlook.com.
eleves.education.gov.mr,none
elmekteb.ograc.gov.mr,none
emb-esp.diplomatie.gov.mr,none
emb-irn.diplomatie.gov.mr,none
emploi.gov.mr,10 emploi-gov-mr.mail.protection.outlook.com.
en.gov.mr,none
energies-petrole.gov.mr,none
environnement.gov.mr,none
ep.gov.mr,none
eproc-basic.economie.gov.mr,none
eproc-training.economie.gov.mr,none
eproc.economie.gov.mr,none
exp-c1.mtnima.gov.mr,none
