type,label,website,hostname,level
ministry,Ministry of Islamic Affairs and Original Education,http://www.affairesislamiques.gov.mr,affairesislamiques.gov.mr,
government_agency,Ministry of Islamic Affairs and Original Education,http://www.affairesislamiques.gov.mr,affairesislamiques.gov.mr,central
government_agency,Mauritanian Information Agency,http://www.ami.mr,ami.mr,
government_agency,Mauritanian News Agency,https://ami.mr/,ami.mr,
government_agency,National Agency for Population Register and Secure Documents,https://anrpts.gov.mr/fr,anrpts.gov.mr,
government_agency,"National Agency for Statistics, Demographic and Economic Analysis",https://ansade.mr,ansade.mr,central
supreme_court,National Assembly,https://assembleenationale.mr/,assembleenationale.mr,central
parliament,National Assembly,https://assembleenationale.mr/,assembleenationale.mr,central
government_agency,Central Bank of Mauritania,https://www.bcm.mr/,bcm.mr,
government_agency,Q19885895,https://ccfr.rimpresse.com/,ccfr.rimpresse.com,central
government_agency,National Human Rights Commission of Mauritania,https://cndh.mr/fr/accueil,cndh.mr,
government_agency,Centre National de Lutte Antiacridienne,http://www.cnla.mr,cnla.mr,
ministry,"Ministry of Foreign Affairs, Cooperation and Mauritanians Abroad",https://www.diplomatie.gov.mr/fr,diplomatie.gov.mr,
ministry,"Ministry of Foreign Affairs, Cooperation and Mauritanians Abroad",https://www.diplomatie.gov.mr,diplomatie.gov.mr,
government_agency,"Ministry of Foreign Affairs, Cooperation and Mauritanians Abroad",https://www.diplomatie.gov.mr,diplomatie.gov.mr,central
government_agency,"Ministry of Foreign Affairs, Cooperation and Mauritanians Abroad",https://www.diplomatie.gov.mr/fr,diplomatie.gov.mr,central
ministry,Ministry of Economy and Sustainable Development,https://www.economie.gov.mr/fr,economie.gov.mr,
ministry,Ministry of Economy and Sustainable Development,https://www.economie.gov.mr,economie.gov.mr,
government_agency,Ministry of Economy and Sustainable Development,https://www.economie.gov.mr/fr,economie.gov.mr,central
government_agency,Ministre de l'Economie et des Finances,http://www.economie.gov.mr/index.php?lang=fr,economie.gov.mr,
government_agency,Ministry of Economy and Sustainable Development,https://www.economie.gov.mr,economie.gov.mr,central
ministry,Ministry of National Education and Reform of Education System,https://www.education.gov.mr/fr,education.gov.mr,
ministry,Ministry of National Education and Reform of Education System,https://www.education.gov.mr,education.gov.mr,
government_agency,Ministry of National Education and Reform of Education System,https://www.education.gov.mr/fr,education.gov.mr,central
government_agency,Ministry of National Education and Reform of Education System,https://www.education.gov.mr,education.gov.mr,central
government_agency,Delegation of the European Union to Mauritania,https://eeas.europa.eu/delegations/mauritania_en,eeas.europa.eu,
government_agency,"Embassy of Spain, Nouakchott",http://www.exteriores.gob.es/Embajadas/NOUAKCHOTT,exteriores.gob.es,central
government_agency,Ministry of Finance,https://finances.gov.mr/ar,finances.gov.mr,central
ministry,Ministry of Finance,https://finances.gov.mr/ar,finances.gov.mr,
ministry,Ministry of Finance,https://finances.gov.mr/fr,finances.gov.mr,
government_agency,Ministry of Finance,https://finances.gov.mr/fr,finances.gov.mr,central
government_agency,Ministry of Public Service and Labor,https://www.fonctionpublique.gov.mr,fonctionpublique.gov.mr,central
ministry,Ministry of Public Service and Labor,https://www.fonctionpublique.gov.mr/index.php?lang=fr,fonctionpublique.gov.mr,
government_agency,Ministry of Public Service and Labor,https://www.fonctionpublique.gov.mr/index.php?lang=fr,fonctionpublique.gov.mr,central
ministry,Ministry of Public Service and Labor,https://www.fonctionpublique.gov.mr,fonctionpublique.gov.mr,
government_agency,Law enforcement in Mauritania,http://www.gendarmerie.mr,gendarmerie.mr,
government_agency,British Embassy Nouakchott,https://www.gov.uk/world/organisations/british-embassy-nouakchott,gov.uk,
ministry,Ministry of the Interior and Decentralization,https://www.interieur.gov.mr/fr,interieur.gov.mr,
government_agency,Ministry of the Interior and Decentralization,https://www.interieur.gov.mr/fr,interieur.gov.mr,central
ministry,Ministry of the Interior and Decentralization,http://www.interieur.gov.mr/,interieur.gov.mr,
government_agency,Ministry of the Interior and Decentralization,http://www.interieur.gov.mr/,interieur.gov.mr,central
government_agency,Ministry of Justice,https://www.justice.gov.mr,justice.gov.mr,central
ministry,Ministry of Justice,https://www.justice.gov.mr/index.php?lang=fr,justice.gov.mr,
government_agency,Ministry of Justice,https://www.justice.gov.mr/index.php?lang=fr,justice.gov.mr,central
ministry,Ministry of Justice,https://www.justice.gov.mr,justice.gov.mr,
ministry,"Ministry of Social Action, Children and Families",https://masef.gov.mr,masef.gov.mr,
government_agency,"Ministry of Social Action, Children and Families",https://masef.gov.mr,masef.gov.mr,central
government_agency,"Ministry of Social Action, Children and Families",https://masef.gov.mr/fr,masef.gov.mr,central
ministry,"Ministry of Social Action, Children and Families",https://masef.gov.mr/fr,masef.gov.mr,
