subdomain,http_status,mx
admin.petrole.gouv.ne,Connection timed out after 3002 milliseconds,none
agriculture.gouv.ne,200,10 email.gouv.ne.
amenagementduterritoire.gouv.ne,403,10 email.gouv.ne.
audience.fonctionpublique.gouv.ne,Could not resolve host: audience.fonctionpublique.gouv.ne,none
commerce-industrie.gouv.ne,200,none
connexion.dela.education.gouv.ne,Failed to connect to connexion.dela.education.gouv.ne port 443 after 617 ms: Could not connect to server,none
data.rsu.gouv.ne,Connection timed out after 3001 milliseconds,none
dela.education.gouv.ne,Failed to connect to dela.education.gouv.ne port 443 after 619 ms: Could not connect to server,10 srv01-education.education.gouv.ne.
dgsv.gouv.ne,302,none
e-sisic.impots.gouv.ne,Connection timed out after 3000 milliseconds,none
ebulletin.impots.gouv.ne,SSL: no alternative certificate subject name matches target hostname 'ebulletin.impots.gouv.ne',none
ee.collecte.rsu.gouv.ne,Connection timed out after 3000 milliseconds,none
ee.dgsv.gouv.ne,200,none
ee.ds.gouv.ne,200,none
email.gouv.ne,200,10 email.gouv.ne.
energie.gouv.ne,301,none
environnement.gouv.ne,301,10 email.gouv.ne.
facture.impots.gouv.ne,SSL certificate problem: certificate has expired,none
finances.gouv.ne,200,none
fonctionpublique.gouv.ne,Could not resolve host: fonctionpublique.gouv.ne,none
garde-nationale.interieur.gouv.ne,200,none
ged.agriculture.gouv.ne,Connection timed out after 3002 milliseconds,none
ged.cnap-niger.gouv.ne,Could not resolve host: ged.cnap-niger.gouv.ne,none
ged.commerce-industrie.gouv.ne,Connection timed out after 3001 milliseconds,none
ged.defense.gouv.ne,Connection timed out after 3001 milliseconds,none
ged.diplomatie.gouv.ne,Connection timed out after 3000 milliseconds,none
ged.douanes.gouv.ne,Could not resolve host: ged.douanes.gouv.ne,none
ged.education.gouv.ne,Connection timed out after 3002 milliseconds,none
ged.energie.gouv.ne,Could not resolve host: ged.energie.gouv.ne,none
ged.enseignementsup.gouv.ne,Connection timed out after 3002 milliseconds,none
ged.environnement.gouv.ne,Connection timed out after 3000 milliseconds,none
ged.equipement.gouv.ne,Connection timed out after 3002 milliseconds,none
ged.finances.gouv.ne,Connection timed out after 3000 milliseconds,none
ged.hcme.gouv.ne,Could not resolve host: ged.hcme.gouv.ne,none
ged.hydraulique.gouv.ne,Connection timed out after 3002 milliseconds,none
ged.impots.gouv.ne,Connection timed out after 3002 milliseconds,none
ged.interieur.gouv.ne,Connection timed out after 3002 milliseconds,none
ged.jeunesse.gouv.ne,Connection timed out after 3001 milliseconds,none
ged.justice.gouv.ne,Connection timed out after 3000 milliseconds,none
ged.magel.gouv.ne,Connection timed out after 3000 milliseconds,none
ged.mahgc.gouv.ne,SSL: no alternative certificate subject name matches target hostname 'ged.mahgc.gouv.ne',none
ged.mcnti.gouv.ne,Connection timed out after 3001 milliseconds,none
ged.mfpte.gouv.ne,Connection timed out after 3001 milliseconds,none
ged.mines.gouv.ne,SSL: no alternative certificate subject name matches target hostname 'ged.mines.gouv.ne',none
ged.petrole.gouv.ne,Connection timed out after 3000 milliseconds,none
ged.telecoms.gouv.ne,Connection timed out after 3001 milliseconds,none
ged.tourisme.gouv.ne,Connection timed out after 3000 milliseconds,none
ged.transports.gouv.ne,Could not resolve host: ged.transports.gouv.ne,none
ged.urbanisme.gouv.ne,Connection timed out after 3001 milliseconds,none
gouv.ne,Could not resolve host: gouv.ne,none
guce.gouv.ne,200,none
h5p.dela.education.gouv.ne,Failed to connect to h5p.dela.education.gouv.ne port 443 after 641 ms: Could not connect to server,none
hydraulique.gouv.ne,200,none
impots.gouv.ne,200,none
infosniger.commerce.gouv.ne,404,none
intranet.plan.gouv.ne,Connection timed out after 3000 milliseconds,none
kc.collecte.rsu.gouv.ne,Connection timed out after 3000 milliseconds,none
kc.dgsv.gouv.ne,404,none
kc.ds.gouv.ne,404,none
kf.collecte.rsu.gouv.ne,Connection timed out after 3000 milliseconds,none
kf.dgsv.gouv.ne,200,none
kf.ds.gouv.ne,200,none
labocel.gouv.ne,200,none
mail.gouv.ne,Could not resolve host: mail.gouv.ne,none
mail.mines.gouv.ne,Connection timed out after 3000 milliseconds,none
mcnti.gouv.ne,Operation timed out after 3000 milliseconds with 0 bytes received,10 email.gouv.ne.
