subdomain,mx
23rd.ncmm.gov.ng,none
abiagis.gov.ng,20 mx3-hosting.jellyfish.systems.; 10 mx2-hosting.jellyfish.systems.; 5 mx1-hosting.jellyfish.systems.
abiairs.gov.ng,0 abiairs.gov.ng.
abiastate.gov.ng,0 abiastate-gov-ng.mail.protection.outlook.com.
abidoye-hamzat.egbedore.os.gov.ng,none
abj-tp-vcs-ctrl1.cbn.gov.ng,none
abj-tp-vcs-ctrl2.cbn.gov.ng,dig error
abj-tp-vcs-exp.cbn.gov.ng,none
abj-tp-webex-meeting.cbn.gov.ng,dig error
abj-tp-webex-site.cbn.gov.ng,dig error
abj-tp-webex-srv.cbn.gov.ng,none
abj-wlc-1.cbn.gov.ng,dig error
abj-wlc-1.wifi.cbn.gov.ng,dig error
abj-wlc-2.cbn.gov.ng,dig error
abj-wlc-2.wifi.cbn.gov.ng,dig error
abj-wlc-ha.cbn.gov.ng,dig error
abj-wlc-ha.wifi.cbn.gov.ng,dig error
accessgateway.cbn.gov.ng,dig error
acd.gov.ng,none
adebayo-folake.egbedore.os.gov.ng,none
adegbenro-dada.egbedore.os.gov.ng,none
adeniran-bola.egbedore.os.gov.ng,none
adeniyi-japhet.egbedore.os.gov.ng,none
adigunsa.egbedore.os.gov.ng,none
admin.enugustate.gov.ng,none
advancedmicrochips.nnmda.gov.ng,none
africa-nepad.senate.gov.ng,none
agric.deltastate.gov.ng,none
agriculture.kwarastate.gov.ng,none
agriculture.senate.gov.ng,none
aib.gov.ng,10 mx3.aib.gov.ng.; 5 mx2.aib.gov.ng.; 0 mx1.aib.gov.ng.
air-force.senate.gov.ng,none
akande-ibraheem.egbedore.os.gov.ng,none
akeem-rauf.egbedore.os.gov.ng,none
akinrefon-akinropo.egbedore.os.gov.ng,none
akintaro-yomi.egbedore.os.gov.ng,none
aksaca.gov.ng,none
akwaibomstate.gov.ng,0 akwaibomstate-gov-ng.mail.protection.outlook.com.
anambrastate.gov.ng,0 anambrastate-gov-ng.mail.protection.outlook.com.
apapalgc.lg.gov.ng,none
api.nis.fedcivilservice.gov.ng,none
apply.npower.gov.ng,none
appropriation.senate.gov.ng,none
apps.firs.gov.ng,none
apps.smedan.gov.ng,none
armti.gov.ng,0 armti.gov.ng.
asmtl.gov.ng,0 asmtl.gov.ng.
assembly.kanostate.gov.ng,none
autodiscover.1-gnet.gov.ng,none
autodiscover.abiaigr.gov.ng,none
autodiscover.bpp.gov.ng,none
autodiscover.cbn.gov.ng,none
autodiscover.ceaplateau.gov.ng,none
autodiscover.cpn.gov.ng,none
autodiscover.crgia.crossriverstate.gov.ng,none
autodiscover.crossriverstate.gov.ng,none
autodiscover.dmo.gov.ng,none
autodiscover.dthrbn.gov.ng,none
autodiscover.edostate.gov.ng,none
autodiscover.ekitistatebpp.gov.ng,none
autodiscover.emdi.gov.ng,none
autodiscover.enugustate.gov.ng,none
autodiscover.fctseb.gov.ng,none
autodiscover.firs.gov.ng,none
autodiscover.fmf.gov.ng,none
autodiscover.fmti.gov.ng,none
autodiscover.houseofassembly.ab.gov.ng,none
autodiscover.ibejulekki.lg.gov.ng,none
autodiscover.ijedelcda.lg.gov.ng,none
autodiscover.imail.ncdmb.gov.ng,none
autodiscover.imofirstlady.gov.ng,none
autodiscover.internal.firs.gov.ng,none
autodiscover.lagosjudiciary.gov.ng,none
autodiscover.lagosjustice.lg.gov.ng,dig error
autodiscover.lagosresidents.gov.ng,none
autodiscover.lagosstate.gov.ng,none
autodiscover.lasrab.gov.ng,none
autodiscover.moh.yb.gov.ng,none
autodiscover.nass.gov.ng,none
autodiscover.nbrri.gov.ng,none
autodiscover.ncaa.gov.ng,none
autodiscover.ncat.gov.ng,0 mail.autodiscover.ncat.gov.ng.
autodiscover.ncc.gov.ng,none
autodiscover.ncdmb.gov.ng,none
autodiscover.ncwd.gov.ng,none
autodiscover.nddc.gov.ng,none
autodiscover.ndic.gov.ng,none
autodiscover.ngfcp.gov.ng,none
autodiscover.nmcn.gov.ng,none
autodiscover.nodec.gov.ng,none
autodiscover.ogfza.gov.ng,none
autodiscover.oot.lg.gov.ng,none
autodiscover.pefmb.gov.ng,none
autodiscover.rea.gov.ng,none
autodiscover.rmafc.gov.ng,none
autodiscover.rrslagos.gov.ng,none
autodiscover.sec.gov.ng,none
autodiscover.senate.gov.ng,none
autodiscover.specialduties.eb.gov.ng,none
autodiscovery.fmf.gov.ng,none
av.sec.gov.ng,none
aviation.senate.gov.ng,none
avicollect.ncaa.gov.ng,none
babatunde-rasaq.egbedore.os.gov.ng,none
backoffice.irs.kw.gov.ng,none
badagry.lg.gov.ng,none
badejoko-hameed.egbedore.os.gov.ng,none
balogun-omotayo.egbedore.os.gov.ng,none
banking.senate.gov.ng,none
basicedu.deltastate.gov.ng,none
bauchistate.gov.ng,none
bayelsa.gov.ng,none
beninowena.gov.ng,none
benueassembly.gov.ng,none
bir.ondostate.gov.ng,none
bir.pfm.yb.gov.ng,none
birs.bu.gov.ng,10 mxa.eu.mailgun.org.; 0 birs.bu.gov.ng.; 10 mxb.eu.mailgun.org.
birs.gov.ng,none
blog.itf.gov.ng,none
blog.npbs.gov.ng,none
booking.irs.kw.gov.ng,none
bornosirs.bo.gov.ng,none
bornostate.gov.ng,none
bosema.gov.ng,none
bpp.gov.ng,none
brisin.gov.ng,none
bsiec.be.gov.ng,none
bsp.ekitistate.gov.ng,none
budget.cr.gov.ng,none
budget.pfm.yb.gov.ng,none
burubali.pfm.yb.gov.ng,none
by.bayelsa.gov.ng,none
cac.gov.ng,none
capital-market.senate.gov.ng,none
careers.nigerstate.gov.ng,none
cas01.crossriverstate.gov.ng,none
cas02.crossriverstate.gov.ng,none
cbn.gov.ng,none
ccb.gov.ng,0 mx1.ccb.gov.ng.; 5 mx2.ccb.gov.ng.; 10 mx3.ccb.gov.ng.
ccms.cbn.gov.ng,dig error
cct.gov.ng,none
cenbank.gov.ng,none
cert.gov.ng,none
certreg.nodec.gov.ng,none
chat.fhamortgage.gov.ng,none
cip.smedan.gov.ng,none
citizensgate.lagosstate.gov.ng,none
cloud.nitda.gov.ng,none
cms.nimc.gov.ng,none
commerce.deltastate.gov.ng,none
communication.senate.gov.ng,none
compendium.nitda.gov.ng,none
conference.sdgs.be.gov.ng,none
copyright.gov.ng,none
corbon.gov.ng,none
cpanel.armti.gov.ng,none
cpanel.bauchistate.gov.ng,none
cpanel.beninowena.gov.ng,none
cpanel.bornosirs.bo.gov.ng,none
cpanel.bsiec.be.gov.ng,none
cpanel.ccb.gov.ng,none
cpanel.corbon.gov.ng,none
cpanel.cpn.gov.ng,none
cpanel.crossriversmartcity.gov.ng,none
cpanel.crsg-itm.gov.ng,none
cpanel.dtac.gov.ng,none
cpanel.dtechboard.gov.ng,none
cpanel.dthrbn.gov.ng,none
cpanel.edha.gov.ng,none
cpanel.edojudiciary.gov.ng,none
cpanel.emdi.gov.ng,none
cpanel.fctseb.gov.ng,none
cpanel.fhamortgage.gov.ng,none
cpanel.fmcjalingo.gov.ng,none
cpanel.fmtc.gov.ng,none
cpanel.fmti.gov.ng,none
cpanel.fnphbenin.gov.ng,none
cpanel.fnphyaba.gov.ng,none
cpanel.houseofassembly.ab.gov.ng,none
cpanel.houseofassembly.im.gov.ng,none
cpanel.ibejulekki.lg.gov.ng,none
cpanel.igandoikotunlcda.lg.gov.ng,none
cpanel.igbogbobayekulcda.lg.gov.ng,none
cpanel.ijedelcda.lg.gov.ng,none
cpanel.imofirstlady.gov.ng,none
cpanel.imostate.gov.ng,none
cpanel.investbayelsa.by.gov.ng,none
cpanel.investinbauchi.bu.gov.ng,none
cpanel.ipcr.gov.ng,none
cpanel.irs.kg.gov.ng,none
cpanel.irs.kw.gov.ng,none
cpanel.itf.gov.ng,none
cpanel.jigawastate.gov.ng,none
cpanel.katmowa.kt.gov.ng,none
cpanel.katsinastate.gov.ng,none
cpanel.kogistate.gov.ng,none
cpanel.kosipa.gov.ng,none
cpanel.lagoshoms.gov.ng,none
cpanel.lagosjustice.lg.gov.ng,none
cpanel.lagosresidents.gov.ng,none
cpanel.lasiec.gov.ng,none
cpanel.lasrab.gov.ng,none
cpanel.lrb.on.gov.ng,none
cpanel.moest.be.gov.ng,none
cpanel.moh.yb.gov.ng,none
cpanel.most.dl.gov.ng,none
cpanel.mst.gm.gov.ng,none
cpanel.nabda.gov.ng,none
cpanel.nacetem.gov.ng,none
cpanel.naptip.gov.ng,none
cpanel.nbrri.gov.ng,none
cpanel.ncac.gov.ng,none
cpanel.ncat.gov.ng,none
cpanel.ncne.gov.ng,none
