type,label,website,hostname,level
supreme_court,Abia State House of Assembly,https://www.abiastate.gov.ng/,abiastate.gov.ng,central-1
parliament,Abia State House of Assembly,https://www.abiastate.gov.ng/,abiastate.gov.ng,central-1
government_agency,"Embassy of Turkey, Abuja",https://abuja-emb.mfa.gov.tr,abuja-emb.mfa.gov.tr,central
government_agency,"Consulate General of Germany, Lagos",https://abuja.diplo.de/,abuja.diplo.de,
government_agency,"Embassy of the State of Qatar, Nigeria",https://abuja.embassy.qa,abuja.embassy.qa,central
government_agency,embassy of Brazil in Nigeria,http://abuja.itamaraty.gov.br,abuja.itamaraty.gov.br,central
government_agency,"Embassy of Romania, Abuja",https://abuja.mae.ro,abuja.mae.ro,central
government_agency,"Hungarian embassy, Abuja",https://abuja.mfa.gov.hu/,abuja.mfa.gov.hu,
government_agency,embassy of Serbia in Nigeria,http://www.abuja.mfa.gov.rs,abuja.mfa.gov.rs,central
government_agency,"Uganda High Commission, Abuja - Nigeria",http://www.abuja.mofa.go.ug/,abuja.mofa.go.ug,central
government_agency,ACReSAL,https://acresal.gov.ng/,acresal.gov.ng,local
government_agency,Adamawa State MINISTRY OF ENVIRONMENT AND NATURAL RESOURCES DEVELOPMENT,https://adspc.ad.gov.ng/ministry-of-environment-and-natural-resources-development/,adspc.ad.gov.ng,
ministry,Adamawa State MINISTRY OF ENVIRONMENT AND NATURAL RESOURCES DEVELOPMENT,https://adspc.ad.gov.ng/ministry-of-environment-and-natural-resources-development/,adspc.ad.gov.ng,
government_agency,"Lagos State Agency for Mass Literacy,Adult and Non formal Education",https://adulteducation.lagosstate.gov.ng/,adulteducation.lagosstate.gov.ng,
government_agency,"Ministry of Education, Science and Technology",https://agric.kdsg.gov.ng/,agric.kdsg.gov.ng,central
ministry,"Ministry of Education, Science and Technology",https://agric.kdsg.gov.ng/,agric.kdsg.gov.ng,
government_agency,Federal Ministry of Agriculture and Food Security,https://agriculture.gov.ng/,agriculture.gov.ng,central
government_agency,Lagos State Ministry of Agriculture and Cooperatives,http://www.agriculture.lagosstate.gov.ng/,agriculture.lagosstate.gov.ng,central-1
parliament,Akwa Ibom State House of Assembly,https://akwaibomstate.gov.ng/the-legislative/,akwaibomstate.gov.ng,central-1
supreme_court,Akwa Ibom State House of Assembly,https://akwaibomstate.gov.ng/the-legislative/,akwaibomstate.gov.ng,central-1
government_agency,embassy of Italy in Nigeria,https://ambabuja.esteri.it,ambabuja.esteri.it,central
government_agency,embassy of Burkina Faso in Nigeria,http://ambaburkina-ng.org,ambaburkina-ng.org,central
supreme_court,Anambra State House Of Assembly,https://anambrastate.gov.ng/legislature/,anambrastate.gov.ng,central-1
parliament,Anambra State House Of Assembly,https://anambrastate.gov.ng/legislature/,anambrastate.gov.ng,central-1
government_agency,"Ministry of Justice, Anambra State",https://anambrastate.gov.ng/ministry-of-justice/,anambrastate.gov.ng,central-1
government_agency,Agricultural Research Council of Nigeria,https://arcn.gov.ng/,arcn.gov.ng,
government_agency,Architects Registration Council of Nigeria,https://arconigeria.gov.ng/,arconigeria.gov.ng,
parliament,Bauchi State House of Assembly,https://www.bauchistate.gov.ng/the-legislative/,bauchistate.gov.ng,central-1
supreme_court,Bauchi State House of Assembly,https://www.bauchistate.gov.ng/the-legislative/,bauchistate.gov.ng,central-1
supreme_court,Bayelsa State House of Assembly,https://www.bayelsa.gov.ng/node/66,bayelsa.gov.ng,central-1
parliament,Bayelsa State House of Assembly,https://www.bayelsa.gov.ng/node/66,bayelsa.gov.ng,central-1
supreme_court,Benue State House of Assembly,https://benuestate.gov.ng/portfolio-type/assembly-members/,benuestate.gov.ng,central-1
parliament,Benue State House of Assembly,https://benuestate.gov.ng/portfolio-type/assembly-members/,benuestate.gov.ng,central-1
government_agency,Lagos State Blood Transfusion Service,https://bloodtransfusion.lagosstate.gov.ng/,bloodtransfusion.lagosstate.gov.ng,
government_agency,embassy of Austria in Nigeria,https://www.bmeia.gv.at/oeb-abuja/,bmeia.gv.at,central
government_agency,Lagos state building control agency,https://buildingcontrol.lagosstate.gov.ng,buildingcontrol.lagosstate.gov.ng,
government_agency,Corporate Affairs Commission,http://www.cac.gov.ng/,cac.gov.ng,
government_agency,High commission of Canada in Nigeria,https://www.canadainternational.gc.ca/nigeria/index.aspx,canadainternational.gc.ca,central
government_agency,Centre For Black And African Arts And Civilization,https://cbaac.org,cbaac.org,
government_agency,Lagos Central Business District,https://cbd.lagosstate.gov.ng/,cbd.lagosstate.gov.ng,local
government_agency,Central Bank of Nigeria,http://www.cbn.gov.ng/,cbn.gov.ng,
government_agency,Lagos State Christian Pilgrims Welfare Board,https://christianpilgrims.lagosstate.gov.ng/contact-us-2/,christianpilgrims.lagosstate.gov.ng,central-1
government_agency,Lagos State Civil Service,https://civilservice.lagosstate.gov.ng/,civilservice.lagosstate.gov.ng,local
government_agency,Centre for Management Development,https://www.cmd.gov.ng,cmd.gov.ng,
government_agency,Council for the Regulation of Engineering in Nigeria,http://coren.gov.ng/,coren.gov.ng,
government_agency,Fedral Prisons umauhia,http://www.corrections.gov.ng/,corrections.gov.ng,
supreme_court,Cross River State House of Assembly,http://www.crossriverstate.gov.ng/features/legislature,crossriverstate.gov.ng,central-1
parliament,Cross River State House of Assembly,http://www.crossriverstate.gov.ng/features/legislature,crossriverstate.gov.ng,central-1
government_agency,Nigerian Customs Service,https://www.customs.gov.ng,customs.gov.ng,
ministry,Nigerian Ministry of Defence,http://defence.gov.ng,defence.gov.ng,
government_agency,Nigerian Ministry of Defence,http://defence.gov.ng,defence.gov.ng,central
parliament,Delta State House of Assembly,https://www.deltastate.gov.ng/index.php/assembly,deltastate.gov.ng,central-1
supreme_court,Delta State House of Assembly,https://www.deltastate.gov.ng/index.php/assembly,deltastate.gov.ng,central-1
government_agency,Defence Intelligence Agency,http://www.dia.gov.ng/,dia.gov.ng,central
government_agency,high commission of South Africa in Nigeria,http://www.dirco.gov.za/abuja,dirco.gov.za,central
government_agency,Debt Management Office,https://dmo.gov.ng,dmo.gov.ng,
government_agency,Department of Petroleum Resources,https://dpr.gov.ng/index/,dpr.gov.ng,
supreme_court,Ebonyi State House of Assembly,http://www.ebonyistate.gov.ng/legislative.aspx,ebonyistate.gov.ng,central-1
parliament,Ebonyi State House of Assembly,http://www.ebonyistate.gov.ng/legislative.aspx,ebonyistate.gov.ng,central-1
government_agency,embassy of Switzerland in Nigeria,https://www.eda.admin.ch/abuja,eda.admin.ch,central
government_agency,Edo State Geographic Information Service,http://www.edogis.org/,edogis.org,
parliament,Edo State House of Assembly,http://www.edostate.gov.ng/house-of-assembly/,edostate.gov.ng,central-1
supreme_court,Edo State House of Assembly,http://www.edostate.gov.ng/house-of-assembly/,edostate.gov.ng,central-1
government_agency,Nigerian Federal Ministry of Education,https://education.gov.ng/,education.gov.ng,central
ministry,Nigerian Federal Ministry of Education,https://education.gov.ng/,education.gov.ng,
government_agency,"Ministry of Education, Science and Technology",https://education.kdsg.gov.ng/,education.kdsg.gov.ng,central
ministry,"Ministry of Education, Science and Technology",https://education.kdsg.gov.ng/,education.kdsg.gov.ng,
government_agency,Lagos State Ministry of Education,https://education.lagosstate.gov.ng,education.lagosstate.gov.ng,central-1
government_agency,Delegation of the European Union to Nigeria and ECOWAS,https://eeas.europa.eu/delegations/nigeria_en,eeas.europa.eu,central
government_agency,Economic and Financial Crimes Commission,https://www.efcc.gov.ng/,efcc.gov.ng,
government_agency,Environmental Health Council of Nigeria (EHCON),https://ehcon.gov.ng/,ehcon.gov.ng,
parliament,Ekiti State House of Assembly,https://ekitistate.gov.ng/administration/legislature/members-of-the-house-of-assembly/,ekitistate.gov.ng,central-1
ministry,Ekiti state Ministry of Agriculture and Food Security,https://www.ekitistate.gov.ng/executive-council/mdas/ministry-of-agriculture-and-rural-development,ekitistate.gov.ng,
government_agency,"Ministry of Women Affairs, Ado-Ekiti",https://www.ekitistate.gov.ng/executive-council/mdas/ministry-of-women-affairs-and-social-development,ekitistate.gov.ng,central-1
government_agency,Ekiti State Ministry of Environment and Natural Resources,https://www.ekitistate.gov.ng/executive-council/mdas/ministry-of-environment-and-natural-resources/#1683230132009-53b0a62a-ede2,ekitistate.gov.ng,
supreme_court,Ekiti State House of Assembly,https://ekitistate.gov.ng/administration/legislature/members-of-the-house-of-assembly/,ekitistate.gov.ng,central-1
ministry,Ekiti State Ministry of Environment and Natural Resources,https://www.ekitistate.gov.ng/executive-council/mdas/ministry-of-environment-and-natural-resources/#1683230132009-53b0a62a-ede2,ekitistate.gov.ng,
government_agency,Ekiti state Ministry of Agriculture and Food Security,https://www.ekitistate.gov.ng/executive-council/mdas/ministry-of-agriculture-and-rural-development,ekitistate.gov.ng,
government_agency,embassy of Mexico in Nigeria,https://embamex.sre.gob.mx/nigeria,embamex.sre.gob.mx,central
government_agency,embassy of Israel in Nigeria,https://embassies.gov.il/abuja,embassies.gov.il,central
government_agency,"Embassy of Saudi Arabia, Abuja",https://embassies.mofa.gov.sa/sites/Nigeria,embassies.mofa.gov.sa,central
government_agency,Energy Commission of Nigeria,https://www.energy.gov.ng,energy.gov.ng,
government_agency,embassy of Argentina in Nigeria,https://enige.cancilleria.gob.ar,enige.cancilleria.gob.ar,central
government_agency,Enugu Chamber of Commerce Industry Mines and Agriculture,https://enuguchamber.org,enuguchamber.org,
government_agency,Federal Ministry of Environment of Nigeria,http://environment.gov.ng/,environment.gov.ng,central
ministry,Federal Ministry of Environment of Nigeria,http://environment.gov.ng/,environment.gov.ng,
government_agency,Lagos State Ministry of Environment,https://environment.lagosstate.gov.ng/,environment.lagosstate.gov.ng,central-1
government_agency,Oyo State Ministry of Environment and Water Resources,https://environment.oyostate.gov.ng/,environment.oyostate.gov.ng,
ministry,Oyo State Ministry of Environment and Water Resources,https://environment.oyostate.gov.ng/,environment.oyostate.gov.ng,
government_agency,OYO STATE MINISTRY OF ENVIRONMENT AND NATURAL RESOURCES,https://environment.oyostate.gov.ng/,environment.oyostate.gov.ng,
ministry,OYO STATE MINISTRY OF ENVIRONMENT AND NATURAL RESOURCES,https://environment.oyostate.gov.ng/,environment.oyostate.gov.ng,
government_agency,Lagos state planning and environmental monitoring authority,https://environmentalmonitoring.lagosstate.gov.ng/,environmentalmonitoring.lagosstate.gov.ng,
government_agency,Lagos State Examination Board,http://examsboard.lagosstate.gov.ng/,examsboard.lagosstate.gov.ng,
government_agency,"Embassy of Spain, Abuja",http://www.exteriores.gob.es/Embajadas/Abuja,exteriores.gob.es,central
government_agency,Kwara State Council of Arts and Culture,https://www.facebook.com/share/1GtiF6vF5j/,facebook.com,
government_agency,High Court of the Federal Capital Territory,https://www.fcthighcourt.gov.ng,fcthighcourt.gov.ng,central-1
government_agency,Federal Polytechnic Ugep,https://www.fedpolyugep.edu.ng,fedpolyugep.edu.ng,
government_agency,Lagos State Ferry Services Corporation,https://ferryservices.lagosstate.gov.ng/,ferryservices.lagosstate.gov.ng,
government_agency,Federal Housing Authority,https://www.fha.gov.ng/,fha.gov.ng,
government_agency,Federal High Court of Nigeria,https://www.fhc.gov.ng,fhc.gov.ng,
government_agency,Lagos State Ministry of Finance,https://finance.lagosstate.gov.ng/,finance.lagosstate.gov.ng,central-1
government_agency,"Embassy of Finland, Abuja",https://finlandabroad.fi/web/nga,finlandabroad.fi,central
government_agency,Lagos State Fire Service,https://fireservice.lagosstate.gov.ng,fireservice.lagosstate.gov.ng,central-1
government_agency,Strategic Grains Reserve Department,http://www.fmard.gov.ng/strategic-grains-reserve,fmard.gov.ng,
ministry,Federal Ministry of Agriculture,http://fmard.gov.ng/,fmard.gov.ng,
government_agency,Nigeria Federal Department of Agriculture,https://fmard.gov.ng,fmard.gov.ng,
government_agency,Federal Ministry of Agriculture,http://fmard.gov.ng/,fmard.gov.ng,central
government_agency,Federal Mortgage Bank of Nigeria,https://www.fmbn.gov.ng/Home/index.html,fmbn.gov.ng,
government_agency,Federal Ministry of Communication and Digital Economy,https://fmcide.gov.ng/,fmcide.gov.ng,central
government_agency,Federal Ministry of Humanitarian Affairs and Poverty Reduction,https://fmhds.gov.ng/,fmhds.gov.ng,central
government_agency,"Federal Ministry of Industry, Trade and Investment",https://fmiti.gov.ng/,fmiti.gov.ng,
government_agency,Federal Ministry of Marine and Blue Economy,https://fmmbe.gov.ng/,fmmbe.gov.ng,
ministry,Federal Ministry of Special Duties & Intergovernmental Affairs,https://fmsdiga.gov.ng,fmsdiga.gov.ng,
government_agency,Federal Ministry of Special Duties & Intergovernmental Affairs,https://fmsdiga.gov.ng,fmsdiga.gov.ng,
government_agency,Lagos State Ministry of Foreign affairs,https://www.foreign.gov.bb,foreign.gov.bb,central-1
ministry,Ministry of Foreign Affairs of the Federal Republic of Nigeria,http://www.foreignaffairs.gov.ng/,foreignaffairs.gov.ng,
government_agency,Ministry of Foreign Affairs of the Federal Republic of Nigeria,http://www.foreignaffairs.gov.ng/,foreignaffairs.gov.ng,central
government_agency,Federal Road Safety Corps,http://frsc.gov.ng,frsc.gov.ng,
government_agency,"High Commission of Ghana, Abuja",https://ghanahighcommission-nigeria.com/,ghanahighcommission-nigeria.com,central
parliament,Gombe State House of Assembly,http://gombestate.gov.ng/house-of-assembly/,gombestate.gov.ng,central-1
supreme_court,Gombe State House of Assembly,http://gombestate.gov.ng/house-of-assembly/,gombestate.gov.ng,central-1
government_agency,Embassy of Poland in Abuja,https://www.gov.pl/web/nigeria,gov.pl,central
government_agency,"British High Commission, Abuja",https://www.gov.uk/government/world/organisations/british-high-commission-abuja,gov.uk,central
government_agency,high commission of India in Nigeria,https://hciabuja.gov.in,hciabuja.gov.in,central
government_agency,Federal Ministry of Health,https://health.gov.ng,health.gov.ng,central
ministry,Federal Ministry of Health,https://health.gov.ng,health.gov.ng,
government_agency,Lagos State Ministry of Health,https://health.lagosstate.gov.ng/,health.lagosstate.gov.ng,central-1
