subdomain,http_status
conami.gob.ni,"Could not resolve host: conami.gob.ni"
contingentes.mific.gob.ni,"Could not resolve host: contingentes.mific.gob.ni"
conferencia.migob.gob.ni,"Could not resolve host: conferencia.migob.gob.ni"
capacitaciones.migob.gob.ni,"403"
cornisland.gob.ni,"Could not resolve host: cornisland.gob.ni"
correo.intur.gob.ni,"Could not resolve host: correo.intur.gob.ni"
cornap.gob.ni,"Could not resolve host: cornap.gob.ni"
correo.enel.gob.ni,"Could not resolve host: correo.enel.gob.ni"
cpanel.alcaldiadegranada.gob.ni,"Could not resolve host: cpanel.alcaldiadegranada.gob.ni"
cpanel.alcaldiadematagalpa.gob.ni,"Could not resolve host: cpanel.alcaldiadematagalpa.gob.ni"
alcaldiadematagalpa.gob.ni,"403"
autodiscover.intur.gob.ni,"302"
bibliography.craccs.gob.ni,"Could not resolve host: bibliography.craccs.gob.ni"
bluefields.gob.ni,"Could not resolve host: bluefields.gob.ni"
alcaldiapalacaguina.gob.ni,"Could not resolve host: alcaldiapalacaguina.gob.ni"
alcaldiasandionisio.gob.ni,"Could not resolve host: alcaldiasandionisio.gob.ni"
computing.craccs.gob.ni,"Could not resolve host: computing.craccs.gob.ni"
alcaldiasebaco.gob.ni,"404"
autodiscover.almaemtrides.gob.ni,"406"
alcaldiadetola.gob.ni,"200"
cnpe.mific.gob.ni,"SSL certificate problem: unable to get local issuer certificate"
cpanel.alcaldiadeyalaguina.gob.ni,"Could not resolve host: cpanel.alcaldiadeyalaguina.gob.ni"
aseguradoras.policia.gob.ni,"Could not resolve host: aseguradoras.policia.gob.ni"
aplicaciones.inifom.gob.ni,"Could not resolve host: aplicaciones.inifom.gob.ni"
av.enel.gob.ni,"Could not resolve host: av.enel.gob.ni"
almaemtrides.gob.ni,"406"
ania.gob.ni,"200"
cpanel.cse.gob.ni,"Could not resolve host: cpanel.cse.gob.ni"
alcaldiapantasma.gob.ni,"SSL: no alternative certificate subject name matches target hostname 'alcaldiapantasma.gob.ni'"
appcontingentes.mific.gob.ni,"SSL certificate problem: unable to get local issuer certificate"
bcn.gob.ni,"200"
cpanel.alcaldiasomoto.gob.ni,"SSL: no alternative certificate subject name matches target hostname 'cpanel.alcaldiasomoto.gob.ni'"
alcaldiaocotal.gob.ni,"200"
cpanel.cgcn.gob.ni,"Could not resolve host: cpanel.cgcn.gob.ni"
alcaldiaelrama.gob.ni,"200"
cancilleria.gob.ni,"Could not resolve host: cancilleria.gob.ni"
cpanel.alcaldiapantasma.gob.ni,"SSL: no alternative certificate subject name matches target hostname 'cpanel.alcaldiapantasma.gob.ni'"
cinemateca.gob.ni,"SSL certificate problem: self-signed certificate"
cpanel.almaemtrides.gob.ni,"200"
cpanel.sanrafaeldelnorte.gob.ni,"Could not resolve host: cpanel.sanrafaeldelnorte.gob.ni"
cpanel.ania.gob.ni,"200"
cocibolca.d.cgr.gob.ni,"Could not resolve host: cocibolca.d.cgr.gob.ni"
cpanel.craccs.gob.ni,"200"
alcaldiadegranada.gob.ni,"Resolving timed out after 3000 milliseconds"
alcaldiaderivas.gob.ni,"Resolving timed out after 3000 milliseconds"
alcaldiadepuertocabeza.gob.ni,"Resolving timed out after 3000 milliseconds"
