subdomain,http_status
quarantinedeclaration.government.nl,"Could not resolve host: quarantinedeclaration.government.nl"
a-magazinesintern.government.nl,"Could not resolve host: a-magazinesintern.government.nl"
a-magazines.government.nl,"Could not resolve host: a-magazines.government.nl"
magazines.government.nl,"Could not resolve host: magazines.government.nl"
magazinesintern.government.nl,"Could not resolve host: magazinesintern.government.nl"
acc.quarantinedeclaration.government.nl,"Could not resolve host: acc.quarantinedeclaration.government.nl"
newsletter.government.nl,"Could not resolve host: newsletter.government.nl"
feeds.government.nl,"Could not resolve host: feeds.government.nl"
a-newsletter.government.nl,"Could not resolve host: a-newsletter.government.nl"
static.government.nl,"Could not resolve host: static.government.nl"
www.sdg.government.nl,"Could not resolve host: www.sdg.government.nl"
test.coronadashboard.government.nl,"Could not resolve host: test.coronadashboard.government.nl"
subscribe.government.nl,"Could not resolve host: subscribe.government.nl"
staging.coronadashboard.government.nl,"Could not resolve host: staging.coronadashboard.government.nl"
www.magazines.government.nl,"Could not resolve host: www.magazines.government.nl"
www.subscribe.government.nl,"Could not resolve host: www.subscribe.government.nl"
government.nl,"301"
www.coronadashboard.government.nl,"Could not resolve host: www.coronadashboard.government.nl"
coronadashboard.government.nl,"301"
opendata.government.nl,"404"
www.government.nl,"200"
sdg.government.nl,"200"
a-feeds.government.nl,"Connection timed out after 3002 milliseconds"
a-www.government.nl,"Connection timed out after 3002 milliseconds"
a-opendata.government.nl,"Connection timed out after 3001 milliseconds"
