hostname,score,sources,label,level
nfk.no,7,wikidata;wikidata,Board of the Nordland county municipality,central-1
oslo.kommune.no,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Gravferdsetaten i Oslo kommune | Oslo city government | Q11981507 | Q103826469 | Rådhusets forvaltningstjeneste | Q56405730 | Q19384867 | Q12008634 | Fornebubanen,central-1
bystyret.oslo.kommune.no,4,wikidata,Oslo City Council,central-1
farte.no,4,wikidata,Farte,central-1
frammr.no,4,wikidata,Fram,central-1
reisnordland.no,4,wikidata,Reis Nordland,central-1
skyss.no,4,wikidata,Skyss,central-1
snelandia.no,4,wikidata,Snelandia,central-1
bergen.kommune.no,7,wikidata;wikidata;wikidata,Bergen City Government | Bergen Kommune Byrådsavd for Helse og Omsorg | Bymiljøetaten,local
helsenordikt.no,4,wikidata,Northern Norway Regional Health Authority ICT Trust,local
lillehammer.kommune.no,4,wikidata,Lillehammer municipal council,local
lokalstyre.no,4,wikidata,Longyearbyen Community Council,local
nordkapp.kommune.no,4,wikidata,North Cape Municipality,local
trondheim.kommune.no,4,wikidata,Trondheim City Government,local
