domain,http_status,mx
ahus.no,301,
akkreditert.no,301,
anderdalennasjonalpark.no,HttpConnectTimeoutException: HTTP connect timed out,
arbeidstilsynet.no,301,
artsdatabanken.no,HttpConnectTimeoutException: HTTP connect timed out,
aurland-fjellstyre.no,301,
banenor.no,HttpConnectTimeoutException: HTTP connect timed out,
barneombudet.no,HttpConnectTimeoutException: HTTP connect timed out,
bioteknologiradet.no,200,
brreg.no,302,
bufetat.no,HttpConnectTimeoutException: HTTP connect timed out,
bvhn.no,HttpConnectTimeoutException: HTTP connect timed out,
carteblanche.no,200,
dagligvaretilsynet.no,301,
datatilsynet.no,301,
dfo.no,HttpConnectTimeoutException: HTTP connect timed out,
dibk.no,301,
digdir.no,301,
dirmin.no,200,
diskrimineringsnemnda.no,301,
distriktssenteret.no,308,
dmp.no,HttpConnectTimeoutException: HTTP connect timed out,
dnbe.no,HttpConnectTimeoutException: HTTP connect timed out,
dns.no,HttpConnectTimeoutException: HTTP connect timed out,
domstol.no,HttpConnectTimeoutException: HTTP connect timed out,
dovre-fjellstyre.no,301,
dsa.no,307,
dsb.no,301,
dss.dep.no,HttpConnectTimeoutException: HTTP connect timed out,
e18vestfold.no,308,
engerdal-fjellstyre.no,301,
enova.no,HttpConnectTimeoutException: HTTP connect timed out,
ffi.no,HttpConnectTimeoutException: HTTP connect timed out,
fhi.no,HttpConnectTimeoutException: HTTP connect timed out,
finanstilsynet.no,HttpConnectTimeoutException: HTTP connect timed out,
finnmarkssyskehuset.no,ConnectException,
fiskeridir.no,HttpConnectTimeoutException: HTTP connect timed out,
fjellinjen.no,HttpConnectTimeoutException: HTTP connect timed out,
fjellstyrene.no,HttpConnectTimeoutException: HTTP connect timed out,
fjellstyreneistjordal.no,HttpConnectTimeoutException: HTTP connect timed out,
folketrygdfondet.no,HttpConnectTimeoutException: HTTP connect timed out,
folldal-fjellstyre.no,HttpConnectTimeoutException: HTTP connect timed out,
forbrukerradet.no,301,
forbrukertilsynet.no,301,
forskningsetikk.no,HttpConnectTimeoutException: HTTP connect timed out,
forskningsradet.no,301,
forsvaret.no,307,
forsvarsbygg.no,HttpConnectTimeoutException: HTTP connect timed out,
forsvarshistoriskmuseum.no,301,
forsvarsombudet.no,HttpConnectTimeoutException: HTTP connect timed out,
fug.no,301,
fylkesmannen.no,301,
garantikassen.no,301,
gassnova.no,200,
generaladvokaten.no,ConnectException,
gjenopptakelse.no,301,
harmonien.no,200,
havtil.no,301,
hdo.no,301,
helgelandssykehuset.no,301,
helse-bergen.no,301,
helse-fonna.no,301,
helse-forde.no,301,
helse-midt.no,301,
helse-mr.no,301,
helse-nord.no,301,
helse-sorost.no,301,
helse-vest-ikt.no,301,
helse-vest.no,301,
helsedirektoratet.no,307,
helsetilsynet.no,301,
hemit.no,301,
hivolda.no,301,
hkdir.no,200,
hnt.no,301,
hol-fjellstyre.no,301,
hovedredningssentralen.no,301,
hvl.no,301,
imdi.no,301,
imr.no,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching imr.no found.,
inatur.no,301,
jomfrulandnasjonalpark.no,200,
justervesenet.no,301,
justismuseet.no,200,
kfir.no,200,
konfliktraadet.no,200,
kongehuset.no,307,
konkurransetilsynet.no,200,
koro.no,200,
kulturdirektoratet.no,302,
kulturminnefondet.no,200,
kulturtanken.no,301,
kunstfond.no,200,
kystverket.no,301,
landbruksdirektoratet.no,302,
lesja-fjellstyre.no,301,
lottstift.no,200,
luftambulanse.no,301,
luftfart.museum.no,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching luftfart.museum.no found.,
luftfartstilsynet.no,301,
mattilsynet.no,200,
medietilsynet.no,301,
mesterbrev.no,301,
met.no,301,
mil.no,SSLHandshakeException: Remote host terminated the handshake,
miljodirektoratet.no,301,
mpk.no,301,
nasjonalarkivet.no,301,
nasjonalparkstyre.no,301,
nationaltheatret.no,301,
nav.no,301,
nb.no,301,
nfi.no,301,
ngu.no,302,
nhri.no,301,
nibio.no,200,
nidarosdomen.no,301,
nidsenter.no,200,
nkom.no,200,
nokut.no,301,
norad.no,301,
norddal-fjellstyre.no,301,
nordlandssykehuset.no,301,
norec.no,308,
norla.no,200,
norskbergverksmuseum.no,200,
norskdekommisjonering.no,301,
norskfolkemuseum.no,200,
npe.no,200,
npweb.npolar.no,ConnectException,
nsia.no,200,
nsm.no,200,
nupi.no,301,
nve.no,301,
odin.dep.no,301,
ofo.no,200,
okokrim.no,301,
operaen.no,302,
osenfjellstyre.no,ConnectException,
oslo-universitetssykehus.no,301,
patentstyret.no,302,
politi.no,ConnectException,
politiet.no,308,
preusmuseum.no,200,
pst.politiet.no,HttpConnectTimeoutException: HTTP connect timed out,
ramsasen.no,200,
rdm.no,200,
regelradet.no,301,
regjeringsadvokaten.no,200,
riksadvokaten.no,301,
riksantikvaren.no,200,
riksmekleren.no,301,
riksrevisjonen.no,301,
riksteatret.no,302,
rogaland-teater.no,200,
romdirektoratet.no,200,
saemiensijte.no,200,
samediggi.no,301,
sdir.no,301,
sel-fjellstyre.no,301,
sismo.no,302,
siv.no,301,
sivilombudet.no,301,
sivilrett.no,302,
sjt.no,200,
skatteetaten.no,301,
skm.stat.no,301,
skogtiltaksfondet.no,301,
slottet.no,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,
snasafjellstyre.no,200,
sodir.no,301,
sprakradet.no,200,
ssb.no,301,
sshf.no,301,
sso.no,200,
stami.no,200,
statped.no,301,
statsforvalteren.no,301,
steinkjer-fjellstyre.no,301,
sthf.no,301,
stiftelsenpilar.no,200,
stolav.no,301,
sunnaas.no,301,
sus.no,302,
svalbardmuseum.no,200,
sykehusbygg.no,301,
sykehuset-innlandet.no,301,
sykehuset-ostfold.no,301,
sykehusinnkjop.no,301,
sykehuspartner.no,301,
sysselmesteren.no,301,
tekniskmuseum.no,301,
toll.no,302,
torpa-fjellstyre.no,301,
trygderetten.no,200,
tso.no,200,
udi.no,403,
udir.no,301,
ukom.no,200,
une.no,301,
unn.no,301,
vaga-fjellstyre.no,301,
valg.no,301,
vegamot.no,301,
vegfinans.no,308,
vegvesen.no,301,
vestre-slidre-fjellstyre.no,301,
vestreviken.no,301,
vetinst.no,302,
vetlis.no,200,
vitenparken.no,200,
