hostname,score,sources,label,level
khajurabajaar.com,6,wikidata;wikidata,Khajura Bajaar,
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Kathmandu",central
narc.org.np,4,wikidata,Nepal Agricultural Research Council,
nea.org.np,4,wikidata,Nepal Electricity Authority,
nncu.org.np,4,wikidata,Nepal National Commission for UNESCO,
np.usembassy.gov,4,wikidata,"Embassy of the United States, Kathmandu",central
nrb.org.np,4,wikidata,Nepal Rastra Bank,central
eeas.europa.eu,3,wikidata,Delegation of the European Union to Nepal,
finlandabroad.fi,3,wikidata,embassy of Finland in Nepal,central
kathmandu.diplo.de,3,wikidata,"Embassy of Germany, Kathmandu",central
nepal.mid.ru,3,wikidata,embassy of Russia in Nepal,central
norway.no,3,wikidata,"Embassy of Norway, Kathmandu",central
np.ambafrance.org,3,wikidata,"Embassy of France, Kathmandu",central
np.china-embassy.org,3,wikidata,"Embassy of the People's Republic of China, Kathmandu",central
welcomenepal.com,3,wikidata,Nepal Tourism Board,
