type,label,website,hostname,level
government_agency,Delegation of the European Union to Nepal,https://eeas.europa.eu/delegations/nepal_en,eeas.europa.eu,
government_agency,embassy of Finland in Nepal,https://finlandabroad.fi/web/npl,finlandabroad.fi,central
government_agency,"Embassy of Germany, Kathmandu",https://kathmandu.diplo.de/,kathmandu.diplo.de,central
government_agency,Khajura Bajaar,http://www.khajurabajaar.com/,khajurabajaar.com,
constitutional_court,Khajura Bajaar,http://www.khajurabajaar.com/,khajurabajaar.com,
government_agency,"Embassy of the United Arab Emirates, Kathmandu",https://www.mofaic.gov.ae/missions/UAE-Missions-Abroad/UAE-Missions-Abroad-Details?countryId=d6d8949a-e596-4fa0-8ac3-b3cc489963f3,mofaic.gov.ae,central
government_agency,Nepal Agricultural Research Council,http://www.narc.org.np/narc/index.php,narc.org.np,
government_agency,Nepal Electricity Authority,http://nea.org.np/,nea.org.np,
government_agency,embassy of Russia in Nepal,https://nepal.mid.ru,nepal.mid.ru,central
government_agency,Nepal National Commission for UNESCO,http://www.nncu.org.np/,nncu.org.np,
government_agency,"Embassy of Norway, Kathmandu",https://www.norway.no/nepal/,norway.no,central
government_agency,"Embassy of France, Kathmandu",https://np.ambafrance.org,np.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Kathmandu",http://np.china-embassy.org/,np.china-embassy.org,central
government_agency,"Embassy of the United States, Kathmandu",https://np.usembassy.gov/,np.usembassy.gov,central
government_agency,Nepal Rastra Bank,http://www.nrb.org.np/,nrb.org.np,central
government_agency,Nepal Tourism Board,https://www.welcomenepal.com/,welcomenepal.com,
