subdomain,parent_domain,http_status,mx
7726.govt.nz,govt.nz,308,none
a.tiles.data.linz.govt.nz,govt.nz,302,none
abs.parliament.govt.nz,govt.nz,Could not resolve host: abs.parliament.govt.nz,none
ac.waikatoregion.govt.nz,govt.nz,Could not resolve host: ac.waikatoregion.govt.nz,10 mail.waikatoregion.govt.nz.; 5 waikatoregion-govt-nz.mail.protection.outlook.com.
access.aucklandtransport.govt.nz,govt.nz,Could not resolve host: access.aucklandtransport.govt.nz,none
access.doc.govt.nz,govt.nz,Connection timed out after 3002 milliseconds,none
access.hcc.govt.nz,govt.nz,Connection timed out after 3002 milliseconds,none
access.mpi.govt.nz,govt.nz,Could not resolve host: access.mpi.govt.nz,none
access.msi.govt.nz,govt.nz,Connection timed out after 3001 milliseconds,none
access.nmhs.govt.nz,govt.nz,Could not resolve host: access.nmhs.govt.nz,none
access.npdc.govt.nz,govt.nz,Could not resolve host: access.npdc.govt.nz,none
access.pcc.govt.nz,govt.nz,Could not resolve host: access.pcc.govt.nz,none
access.rdc.govt.nz,govt.nz,Could not resolve host: access.rdc.govt.nz,none
accounts.data.linz.govt.nz,govt.nz,SSL: no alternative certificate subject name matches target hostname 'accounts.data.linz.govt.nz',none
accsg.aucklandcity.govt.nz,govt.nz,Connection timed out after 3001 milliseconds,none
acoustics.nzta.govt.nz,govt.nz,200,none
activesync.ccc.govt.nz,govt.nz,Could not resolve host: activesync.ccc.govt.nz,none
activesync.hcc.govt.nz,govt.nz,Connection timed out after 3002 milliseconds,none
activesync.lb.hcc.govt.nz,govt.nz,Could not resolve host: activesync.lb.hcc.govt.nz,none
actpt.nzta.govt.nz,govt.nz,Connection timed out after 3002 milliseconds,none
actrc.nzta.govt.nz,govt.nz,Connection timed out after 3002 milliseconds,none
actrg.nzta.govt.nz,govt.nz,Connection timed out after 3002 milliseconds,none
actst.nzta.govt.nz,govt.nz,Connection timed out after 3001 milliseconds,none
ad.dol.govt.nz,govt.nz,Could not resolve host: ad.dol.govt.nz,none
adc-mailbx1.tec.govt.nz,govt.nz,Could not resolve host: adc-mailbx1.tec.govt.nz,none
adc-mailsvc1.tec.govt.nz,govt.nz,Could not resolve host: adc-mailsvc1.tec.govt.nz,none
adc.govt.nz,govt.nz,Could not resolve host: adc.govt.nz,10 au-smtp-inbound-1.mimecast.com.; 10 au-smtp-inbound-2.mimecast.com.
adfs.maritimenz.govt.nz,govt.nz,Could not resolve host: adfs.maritimenz.govt.nz,none
adhb.govt.nz,govt.nz,SSL: no alternative certificate subject name matches target hostname 'adhb.govt.nz',0 adhb-govt-nz.mail.protection.outlook.com.
admin-console-dev.mobility.msd.govt.nz,govt.nz,Could not resolve host: admin-console-dev.mobility.msd.govt.nz,none
admin-console.mobility.msd.govt.nz,govt.nz,Could not resolve host: admin-console.mobility.msd.govt.nz,none
admin.fuelsaver.govt.nz,govt.nz,302,none
admin.jobs.minedu.govt.nz,govt.nz,Could not resolve host: admin.jobs.minedu.govt.nz,none
admin.police.govt.nz,govt.nz,Could not resolve host: admin.police.govt.nz,none
admin.safednz.govt.nz,govt.nz,Operation timed out after 3002 milliseconds with 0 bytes received,none
admin.treaties.mfat.govt.nz,govt.nz,Could not resolve host: admin.treaties.mfat.govt.nz,none
admin.waikato.health.govt.nz,govt.nz,Could not resolve host: admin.waikato.health.govt.nz,none
af.greydc.govt.nz,govt.nz,Could not resolve host: af.greydc.govt.nz,none
aftermail.boh.tepapa.govt.nz,govt.nz,Connection timed out after 3001 milliseconds,none
agency.fleetsafety.govt.nz,govt.nz,Could not resolve host: agency.fleetsafety.govt.nz,none
agent.nzta.govt.nz,govt.nz,Could not resolve host: agent.nzta.govt.nz,none
agentvpn.nzta.govt.nz,govt.nz,Connection timed out after 3001 milliseconds,none
aid.govt.nz,govt.nz,Could not resolve host: aid.govt.nz,15 smtpwln.aid.govt.nz.
air.nzta.govt.nz,govt.nz,200,none
airwatch.nzte.govt.nz,govt.nz,Could not resolve host: airwatch.nzte.govt.nz,none
aki2k123.med.govt.nz,govt.nz,Could not resolve host: aki2k123.med.govt.nz,none
aklarchive.nzte.govt.nz,govt.nz,Could not resolve host: aklarchive.nzte.govt.nz,none
aklcasarray.corp.nzte.govt.nz,govt.nz,Could not resolve host: aklcasarray.corp.nzte.govt.nz,none
aklcitrix.nzte.govt.nz,govt.nz,Could not resolve host: aklcitrix.nzte.govt.nz,none
akldrcas01.dia.govt.nz,govt.nz,Could not resolve host: akldrcas01.dia.govt.nz,none
aklexch10a.cfh.govt.nz,govt.nz,Could not resolve host: aklexch10a.cfh.govt.nz,none
aklnet.customs.govt.nz,govt.nz,Connection timed out after 3001 milliseconds,none
