type,label,website,hostname,level
government_agency,Ayub Agriculture Research Institute,http://www.aari.punjab.gov.pk/,aari.punjab.gov.pk,
government_agency,Crop Reporting Service,https://agripunjab.gov.pk/cropreportingservice,agripunjab.gov.pk,
parliament,Azad Jammu & Kashmir Legislative Assembly,http://www.ajk.gov.pk/index.php,ajk.gov.pk,central-1
supreme_court,Azad Jammu & Kashmir Legislative Assembly,http://www.ajk.gov.pk/index.php,ajk.gov.pk,central-1
government_agency,embassy of Italy in Pakistan,https://ambislamabad.esteri.it,ambislamabad.esteri.it,central
government_agency,Anti-Narcotics Force,http://www.anf.gov.pk/,anf.gov.pk,
government_agency,Aviation Division,http://aviation.gov.pk,aviation.gov.pk,
government_agency,Balochistan Police,http://www.balochistanpolice.gov.pk/,balochistanpolice.gov.pk,
government_agency,embassy of Bosnia and Herzegovina in Pakistan,http://www.bembassy.org,bembassy.org,central
government_agency,Bureau of Emigration and Overseas Employment,https://beoe.gov.pk,beoe.gov.pk,
government_agency,Balochistan High Court,https://bhc.gov.pk/,bhc.gov.pk,
government_agency,"Embassy of Austria, Islamabad",https://www.bmeia.gv.at/oeb-islamabad/,bmeia.gv.at,central
government_agency,Pakistan Civil Aviation Authority,http://www.caapakistan.com.pk,caapakistan.com.pk,
government_agency,Cabinet Division,https://cabinet.gov.pk/,cabinet.gov.pk,
government_agency,High commission of Canada in Pakistan,https://www.canadainternational.gc.ca/pakistan/index.aspx,canadainternational.gc.ca,central
government_agency,Competition Commission of Pakistan,http://www.cc.gov.pk/index.php?lang=en,cc.gov.pk,central
government_agency,Capital Development Authority,http://www.cda.gov.pk/,cda.gov.pk,
supreme_court,City District Government Peshawar,http://cdgpeshawar.gov.pk/,cdgpeshawar.gov.pk,local
parliament,City District Government Peshawar,http://cdgpeshawar.gov.pk/,cdgpeshawar.gov.pk,local
government_agency,"Children Hospital, Faisalabad",https://chf.edu.pk,chf.edu.pk,
government_agency,Council of Islamic Ideology,http://www.cii.gov.pk/,cii.gov.pk,
government_agency,Civil Defense of Pakistan,http://www.civildefence.gov.pk/,civildefence.gov.pk,central
ministry,Ministry of Commerce,https://www.commerce.gov.pk,commerce.gov.pk,central
government_agency,Ministry of Commerce,https://www.commerce.gov.pk,commerce.gov.pk,central
government_agency,Ministry of Communications,http://www.communication.gov.pk/,communication.gov.pk,central
ministry,Ministry of Communications,http://www.communication.gov.pk/,communication.gov.pk,central
government_agency,Defence Export Promotion Organization,http://depo.gov.pk/,depo.gov.pk,central
government_agency,"Honorary consulate of Ireland, Karachi",https://www.dfa.ie/embassies/irish-embassies-abroad/asia-and-oceania/pakistan/,dfa.ie,
government_agency,Directorate of Science and Technology,https://dost.kp.gov.pk,dost.kp.gov.pk,
government_agency,Ministry of Economic Affairs,http://www.ead.gov.pk,ead.gov.pk,central
