type,label,website,hostname
parliament,Municipal Corporation Multan,http://www.multan.gov.pk/,multan.gov.pk
parliament,Provincial Assembly of Sindh,http://www.pas.gov.pk/index.php/home/en,pas.gov.pk
parliament,Provincial Assembly of Balochistan,http://www.pabalochistan.gov.pk/index.php/home/en,pabalochistan.gov.pk
parliament,Municipal Corporation Gujranwala,http://www.gujranwala.gop.pk/,gujranwala.gop.pk
parliament,City District Government Peshawar,http://cdgpeshawar.gov.pk/,cdgpeshawar.gov.pk
parliament,Faisalabad Municipal Corporation,http://mc.faisalabad.gov.pk/,mc.faisalabad.gov.pk
parliament,Metropolitan Corporation Lahore,http://lahore.gop.pk/index.php,lahore.gop.pk
parliament,Rawalpindi Municipal Corporation,http://www.mcrawalpindi.org/,mcrawalpindi.org
parliament,Gilgit-Baltistan Legislative Assembly,http://www.gilgitbaltistan.gov.pk,gilgitbaltistan.gov.pk
parliament,Municipal Corporation of Bahawalpur,http://mcbahawalpur.gop.pk/,mcbahawalpur.gop.pk
parliament,Provincial Assembly of Punjab Province,http://www.pap.gov.pk/,pap.gov.pk
parliament,Provincial Assembly of Khyber Pakhtunkhwa Province,http://www.pakp.gov.pk/2018/,pakp.gov.pk
parliament,Islamabad Metropolitan Corporation,http://mci.gov.pk/,mci.gov.pk
parliament,Hyderabad Municipal Corporation,http://www.lgdsindh.gov.pk/,lgdsindh.gov.pk
parliament,Azad Jammu & Kashmir Legislative Assembly,http://www.ajk.gov.pk/index.php,ajk.gov.pk
parliament,Karachi Metropolitan Corporation,http://kmc.gos.pk,kmc.gos.pk
constitutional_court,Ministry of Foreign Affairs,http://www.mofa.gov.pk,mofa.gov.pk
supreme_court,Municipal Corporation Multan,http://www.multan.gov.pk/,multan.gov.pk
supreme_court,Provincial Assembly of Sindh,http://www.pas.gov.pk/index.php/home/en,pas.gov.pk
supreme_court,Provincial Assembly of Balochistan,http://www.pabalochistan.gov.pk/index.php/home/en,pabalochistan.gov.pk
supreme_court,Municipal Corporation Gujranwala,http://www.gujranwala.gop.pk/,gujranwala.gop.pk
supreme_court,City District Government Peshawar,http://cdgpeshawar.gov.pk/,cdgpeshawar.gov.pk
supreme_court,Faisalabad Municipal Corporation,http://mc.faisalabad.gov.pk/,mc.faisalabad.gov.pk
supreme_court,Metropolitan Corporation Lahore,http://lahore.gop.pk/index.php,lahore.gop.pk
supreme_court,Rawalpindi Municipal Corporation,http://www.mcrawalpindi.org/,mcrawalpindi.org
supreme_court,Gilgit-Baltistan Legislative Assembly,http://www.gilgitbaltistan.gov.pk,gilgitbaltistan.gov.pk
supreme_court,Municipal Corporation of Bahawalpur,http://mcbahawalpur.gop.pk/,mcbahawalpur.gop.pk
supreme_court,Provincial Assembly of Punjab Province,http://www.pap.gov.pk/,pap.gov.pk
supreme_court,Provincial Assembly of Khyber Pakhtunkhwa Province,http://www.pakp.gov.pk/2018/,pakp.gov.pk
supreme_court,Islamabad Metropolitan Corporation,http://mci.gov.pk/,mci.gov.pk
supreme_court,Hyderabad Municipal Corporation,http://www.lgdsindh.gov.pk/,lgdsindh.gov.pk
supreme_court,Azad Jammu & Kashmir Legislative Assembly,http://www.ajk.gov.pk/index.php,ajk.gov.pk
supreme_court,Karachi Metropolitan Corporation,http://kmc.gos.pk,kmc.gos.pk
