hostname,score,sources,label,level,http_status,mx
bn.org.pl,10,wikidata;wikidata;directory,National Library of Poland,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 bn-org-pl.mail.protection.outlook.com.
nbp.pl,10,wikidata;linkgraph;directory,Narodowy Bank Polski,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mx1c.nbp.pl.; 10 mx1r.nbp.pl.
policja.pl,10,wikidata;linkgraph;directory,Policja,,200,10 mxin.policja.gov.pl.
sn.pl,10,wikidata;directory,Supreme Court of Poland,central,301,10 sn-pl.mail.protection.outlook.com.
wojsko-polskie.pl,10,wikidata;wikidata;directory,Military Gendarmerie | Polish General Staff,,301,none
zus.pl,10,wikidata;linkgraph;directory,Zakład Ubezpieczeń Społecznych,,HttpConnectTimeoutException: HTTP connect timed out,10 mail1.zus.pl.; 1000 mail3.zus.pl.; 1000 mail4.zus.pl.; 10 mail2.zus.pl.
krs.pl,8,wikidata;directory,National Council of the Judiciary,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,15 krspl.home.pl.
pfron.org.pl,8,wikidata;directory,National Disabled Persons Rehabilitation Fund,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 smtp1.pfron.org.pl.
zditm.szczecin.pl,8,wikidata;linkgraph,ZDiTM Szczecin,,HttpConnectTimeoutException: HTTP connect timed out,10 zditm.szczecin.pl.
ahk.pl,7,wikidata;wikidata,Polish-German Chamber of Commerce and Industry,,302,10 ahk-pl.mail.protection.outlook.com.
bip.radom.pl,7,linkgraph,Linked from 35 public-sector domains,,200,none
dominikanie.pl,7,wikidata;wikidata,Polish Dominican Province,,200,0 mxg.dominikanie.pl.
edu.bydgoszcz.pl,7,linkgraph,Linked from 22 public-sector domains,,200,10 mail.um.bydgoszcz.pl.
franciszkanie.org.pl,7,wikidata;wikidata,Province of Our Lady of the Angels of the Friars Minor in Kraków,,301,10 mail.franciszkanie.org.pl.
lubuskie.pl,7,wikidata;wikidata,Zarząd Województwa Lubuskiego | Marshal's Office of Lubusz Voivodeship,central-1,200,20 mailguard-2.uz.zgora.pl.; 10 mailguard-1.uz.zgora.pl.
nid.pl,7,wikidata;wikidata,Narodowy Instytut Dziedzictwa,,200,10 nid-pl.mail.protection.outlook.com.
ore.edu.pl,7,linkgraph,Linked from 22 public-sector domains,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 aspmx2.googlemail.com.; 10 aspmx3.googlemail.com.; 5 alt2.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
panewniki.franciszkanie.pl,7,wikidata;wikidata,Province of the Assumption of the Blessed Virgin Mary of the Friars Minor in Katowice,,HttpConnectTimeoutException: HTTP connect timed out,0 panewniki.franciszkanie.pl.
pijarzy.pl,7,wikidata;wikidata,Piarist province of Poland,,200,10 poczta.pijarzy.pl.
um.szczecin.pl,7,linkgraph,Linked from 21 public-sector domains,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching um.szczecin.pl found.,20 d332736.a.ess.de.barracudanetworks.com.; 20 d332736.b.ess.de.barracudanetworks.com.
umwd.dolnyslask.pl,7,wikidata;wikidata,Marshal's Office of Lower Silesian Voivodeship | Lower Silesian Regional Assembly,central-1,200,10 mx01.dolnyslask.pl.; 10 mx02.dolnyslask.pl.
wroc.pl,7,linkgraph,Linked from 51 public-sector domains,,ConnectException,none
www.bialystok.pl,7,linkgraph,Linked from 22 public-sector domains,,200,0 mx.um.bialystok.pl.
www.bydgoszcz.pl,7,linkgraph,Linked from 33 public-sector domains,,200,10 mail.um.bydgoszcz.pl.
www.opole.pl,7,linkgraph,Linked from 20 public-sector domains,,301,20 mx2.zenbox.pl.; 10 mx1.zenbox.pl.; 30 mx3.zenbox.pl.
www.radom.pl,7,linkgraph,Linked from 20 public-sector domains,,200,10 www.radom.pl.
www.wroclaw.pl,7,linkgraph,Linked from 23 public-sector domains,,200,5 mail1.um.wroc.pl.
bernardyni.com,6,wikidata;wikidata,Bernardines (Franciscans),,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mx-1.dpoczta.pl.; 10 mx-2.dpoczta.pl.
cke.edu.pl,6,linkgraph,Linked from 10 public-sector domains,,ConnectException,5 cke-edu-pl.mail.protection.outlook.com.
diecezja.radom.pl,6,linkgraph,Linked from 10 public-sector domains,,200,10 diecezja.radom.pl.
edu.bialystok.pl,6,linkgraph,Linked from 19 public-sector domains,,301,0 edu-bialystok-pl.mail.protection.outlook.com.
