type,label,website,hostname,level
constitutional_court,Bernardines (Franciscans),http://www.bernardyni.com/,bernardyni.com,
constitutional_court,Polish Dominican Province,https://dominikanie.pl/,dominikanie.pl,
constitutional_court,Province of Saint Hedwig of Silesia of the Friars Minor in Wrocław,http://www.franciszkanie.com/,franciszkanie.com,
constitutional_court,Province of Saint Francis of the Friars Minor in Poznań,http://www.franciszkanie.net/,franciszkanie.net,
constitutional_court,Province of Our Lady of the Angels of the Friars Minor in Kraków,http://www.franciszkanie.org.pl/,franciszkanie.org.pl,
parliament,Lesser Poland Regional Assembly,http://www.malopolskie.pl/Sejmik/Informacje,malopolskie.pl,central-1
constitutional_court,Province of the Assumption of the Blessed Virgin Mary of the Friars Minor in Katowice,http://www.panewniki.franciszkanie.pl/,panewniki.franciszkanie.pl,
constitutional_court,Piarist province of Poland,https://www.pijarzy.pl,pijarzy.pl,
parliament,Podkarpackie Regional Assembly,http://www.sejmik.podkarpackie.pl,sejmik.podkarpackie.pl,central-1
parliament,Silesian Regional Assembly,http://sejmik.slaskie.pl/,sejmik.slaskie.pl,central-1
parliament,West Pomeranian Regional Assembly,https://sejmik.wzp.pl/,sejmik.wzp.pl,central-1
parliament,Lower Silesian Regional Assembly,https://umwd.dolnyslask.pl/index.php?id=sejmik,umwd.dolnyslask.pl,central-1
parliament,Opole Regional Assembly,http://umwo.opole.pl/serwis/index.php?id=75,umwo.opole.pl,central-1
constitutional_court,Q11828045,http://www.zakonfranciszkanów.pl/,zakonfranciszkanów.pl,
