qid,label
Q54150,Lower Silesian Voivodeship
Q54153,Kuyavian-Pomeranian Voivodeship
Q54155,Lublin Voivodeship
Q54157,Lubusz Voivodeship
Q54158,Łódź Voivodeship
Q54159,Lesser Poland Voivodeship
Q54169,Masovian Voivodeship
Q54171,Opole Voivodeship
Q54175,Podkarpackie Voivodeship
Q54177,Podlaskie Voivodeship
Q54180,Pomeranian Voivodeship
Q54181,Silesian Voivodeship
Q54183,Świętokrzyskie Voivodeship
Q54184,Warmian-Masurian Voivodeship
Q54187,Greater Poland Voivodeship
Q54188,West Pomeranian Voivodeship
