subdomain,mx
2021.uefiscdi.gov.ro,none
aaas.gov.ro,10 mail.aaas.gov.ro.
accelerate.gov.ro,10 mail5.uefiscdi.ro.
achizitiicentralizate.onac.gov.ro,none
achizitiipublice.gov.ro,10 mx1.stsmail.ro.; 10 mx2.stsmail.ro.
admin-sni.gov.ro,none
adr.gov.ro,10 mx2.stsmail.ro.; 10 mx1.stsmail.ro.
agregator.romania-durabila.gov.ro,none
ai.gov.ro,10 frontmail.ai.gov.ro.
aias.gov.ro,10 mx1.stsmail.ro.; 10 mx2.stsmail.ro.
aici.gov.ro,none
amcmsr.gov.ro,10 mail.amcmsr.gov.ro.
amepip.gov.ro,10 mx1.stsmail.ro.; 10 mx2.stsmail.ro.
ana.gov.ro,10 mx1.stsmail.ro.; 10 mx2.stsmail.ro.
anaf.mfinante.gov.ro,none
analytics.vaccinare-covid.gov.ro,none
anes.gov.ro,10 mx1.stsmail.ro.; 10 mx2.stsmail.ro.
anf.gov.ro,0 anf-gov-ro.mail.protection.outlook.com.
anfp.gov.ro,10 mail.anfp.gov.ro.
anmcs.gov.ro,10 mx1.stsmail.ro.; 10 mx2.stsmail.ro.
anp.gov.ro,10 mx2.stsmail.ro.; 10 mx1.stsmail.ro.
anpc.gov.ro,none
anuleuropean.patrimoniu.gov.ro,none
api.studyinromania.gov.ro,none
app2.anaf.mfinante.gov.ro,none
arf.gov.ro,10 mx1.stsmail.ro.; 10 mx2.stsmail.ro.
aspaas.gov.ro,20 fallbackmx.spamexperts.eu.; 10 mx.spamexperts.com.; 30 lastmx.spamexperts.net.
aurachain-mgmnt.e-gov.ro,none
autodiscover.dst-braila.gov.ro,none
autodiscover.email.gov.ro,none
av.gov.ro,none
aviz.gov.ro,none
azm.gov.ro,none
backend.achizitiicentralizate.onac.gov.ro,none
bbb.cncpic.mai.gov.ro,none
beta-forfetar-ua.gov.ro,none
bi.gov.ro,none
brainmap.gov.ro,10 mail5.uefiscdi.ro.
brokermap.gov.ro,10 mail5.uefiscdi.ro.
bucharestpp22.gov.ro,none
capesaro.gov.ro,none
cardeuropean.gov.ro,none
certificat-covid.gov.ro,none
cetatean.gov.ro,none
chat.vaccinare-covid.gov.ro,none
cias.gov.ro,none
cloud.mfe.gov.ro,none
cloud.research.gov.ro,none
cluster-edge.mai.gov.ro,none
cmi.email.gov.ro,none
cms-web.mai.gov.ro,none
cnas-pnc.gov.ro,none
cnas.gov.ro,10 mx2.stsmail.ro.; 10 mx1.stsmail.ro.
cncpic.mai.gov.ro,none
cne.research.gov.ro,none
cnecsdti.research.gov.ro,none
cnmrmc.insp.gov.ro,none
cnsisp-forum.insp.gov.ro,none
codsustenabilitate.gov.ro,none
col-expe.siieasc.mai.gov.ro,none
collab-edge.mai.gov.ro,none
collabora.research.gov.ro,none
colp-expe01.siieasc.mai.gov.ro,none
cols-expe01.siieasc.mai.gov.ro,none
competitie-pfe-cdi.research.gov.ro,none
competitie-pfecdi.research.gov.ro,none
comunicatii.gov.ro,10 mx2.stsmail.ro.; 10 mx1.stsmail.ro.
contribute.gov.ro,none
contulmeu.gov.ro,none
cp.mcid.gov.ro,none
cpanel.dst-braila.gov.ro,none
cpcalendars.dst-braila.gov.ro,none
cpcontacts.dst-braila.gov.ro,none
csu.prevenire.gov.ro,none
dashboardbi.gov.ro,none
data.gov.ro,none
davere2.mai.gov.ro,none
dev-future.research.gov.ro,none
dev01.research.gov.ro,none
devel.studyinromania.gov.ro,none
devfuture.research.gov.ro,none
dezvoltaredurabila.gov.ro,none
dgc.gov.ro,none
dialogsocial.gov.ro,10 mx2.stsmail.ro.; 10 mx1.stsmail.ro.
diana.gov.ro,none
diaspora.gov.ro,none
dingrijapentrucopii.gov.ro,none
druidapc.chatbot.pnrr.gov.ro,none
druidapc.test-chatbot.pnrr.gov.ro,none
druidapi.chatbot.pnrr.gov.ro,none
druidapi.test-chatbot.pnrr.gov.ro,none
druidbotapi.chatbot.pnrr.gov.ro,none
druidbotapi.test-chatbot.pnrr.gov.ro,none
druidbotapp.chatbot.pnrr.gov.ro,none
druidbotapp.test-chatbot.pnrr.gov.ro,none
druidbotservice.chatbot.pnrr.gov.ro,none
druidbotservice.test-chatbot.pnrr.gov.ro,none
druidendpoints.chatbot.pnrr.gov.ro,none
druidendpoints.test-chatbot.pnrr.gov.ro,none
dsp3.dspbihor.gov.ro,none
dspbihor.gov.ro,none
dst-braila.gov.ro,none
e-learning.economie.gov.ro,none
e-precursori.mai.gov.ro,none
economie.gov.ro,10 mx2.stsmail.ro.; 10 mx1.stsmail.ro.
edge-dacti1.mai.gov.ro,none
edge-dgcti.mai.gov.ro,none
edge-dgcti1.mai.gov.ro,none
edge.mai.gov.ro,none
edge1-dacti.mai.gov.ro,none
edge1-dgcti.mai.gov.ro,none
edge2.mai.gov.ro,none
edge3.mai.gov.ro,none
edu.gov.ro,none
eidas.gov.ro,none
elearning-screening-cardio.insp.gov.ro,none
elearning.aspaas.gov.ro,none
emsc-test.cnc.gov.ro,none
emsc.cnc.gov.ro,none
energie.gov.ro,none
erris.gov.ro,none
etool.euraxess.gov.ro,none
euraxess.gov.ro,10 mail5.uefiscdi.ro.
events.research.gov.ro,none
exploredata.gov.ro,none
expr-e-cominf.mai.gov.ro,none
fisepocu.mfe.gov.ro,none
forfetar-ua.gov.ro,none
forms.poc.research.gov.ro,none
frontmail.research.gov.ro,none
fs.email.gov.ro,none
future.gov.ro,none
galacercetarii.research.gov.ro,none
geo.salt.gov.ro,none
geoportal.gov.ro,10 mail.geoportal.gov.ro.
gov.ro,none
granturi.imm.gov.ro,none
gw.email.gov.ro,none
gwp.aaas.gov.ro,none
hartaautoritatilor.anap.gov.ro,none
helpdesk.peapc.gov.ro,none
hub.mai.gov.ro,none
iaso.insp.gov.ro,none
imm.gov.ro,none
ina.gov.ro,none
inf.mfinante.gov.ro,none
insp.gov.ro,none
inspire.insp.gov.ro,none
intranet.research.gov.ro,none
investitori.isc.gov.ro,none
ion.gov.ro,none
iosin.research.gov.ro,none
isc.gov.ro,0 isc-gov-ro.mail.protection.outlook.com.
ispmn.gov.ro,none
jabber.mai.gov.ro,none
jobs.research.gov.ro,none
join.mai.gov.ro,none
join2.mai.gov.ro,none
keycloak-test-bo.pnrr.gov.ro,none
lexforce.mfe.gov.ro,none
login.research.gov.ro,none
logincloud.research.gov.ro,none
lyncdiscover.gov.ro,none
m100.uefiscdi.gov.ro,none
mai.gov.ro,none
mail.dst-braila.gov.ro,none
mail.hub.mai.gov.ro,none
mail.insp.gov.ro,none
mail.ispmn.gov.ro,none
mail.patrimoniu.gov.ro,none
mail.research.gov.ro,none
mail.salt.gov.ro,none
map.research.gov.ro,none
mapp.studyinromania.gov.ro,none
mat.gov.ro,10 mx1.stsmail.ro.; 10 mx2.stsmail.ro.
mcid.gov.ro,none
media.gov.ro,none
mfamilie.gov.ro,none
mfe.gov.ro,10 mx2.stsmail.ro.; 10 mx1.stsmail.ro.
mfinante.gov.ro,none
mlpda.salt.gov.ro,none
mmuncii.gov.ro,none
moldova.research.gov.ro,none
mysmis2021.gov.ro,10 mail.mysmis2021.gov.ro.
ncp.uefiscdi.gov.ro,none
new.studyinromania.gov.ro,none
nextcloud.research.gov.ro,none
nextoffice.economie.gov.ro,none
notificari.aias.gov.ro,none
oipsi.gov.ro,none
olany.email.gov.ro,none
old.insp.gov.ro,none
old.research.gov.ro,none
old.studyinromania.gov.ro,none
oldeconomie.gov.ro,none
onjn.gov.ro,none
online.ina.gov.ro,none
open-science.gov.ro,none
openproject.research.gov.ro,none
oportunitati-ue.gov.ro,none
owncloud.salt.gov.ro,none
palg.gov.ro,none
patrimoniu.gov.ro,none
peapc.gov.ro,none
pensii.mai.gov.ro,none
platforma-aici.gov.ro,none
platforma.research.gov.ro,none
plf.gov.ro,none
pnrr.gov.ro,none
poc.research.gov.ro,none
pocu.mfe.gov.ro,none
portal.anad.gov.ro,none
portal.peapc.gov.ro,none
portal.servicii-sociale.gov.ro,none
portalgis.servicii-sociale.gov.ro,none
portaligi.mai.gov.ro,none
prefectura-arges.gov.ro,none
prefectura.ag.gov.ro,none
prefectura.mai.gov.ro,none
prefecturaarges.gov.ro,none
preprod-auth-bo.pnrr.gov.ro,none
preprod-bo.pnrr.gov.ro,none
preprod-certificat-covid.gov.ro,none
preprod-dgc.gov.ro,none
preprod-programare-api.vaccinare-covid.gov.ro,none
preprod-programare.vaccinare-covid.gov.ro,none
pres2019.economie.gov.ro,none
prevenire.gov.ro,none
profil.ithub.gov.ro,none
progoradea.dacti.mai.gov.ro,none
program-nucleu.research.gov.ro,none
programare-api.vaccinare-covid.gov.ro,none
programare.vaccinare-covid.gov.ro,none
programnucleu.research.gov.ro,none
proiect-pdp1.insp.gov.ro,none
ps-pdp.insp.gov.ro,none
radius.research.gov.ro,none
raportare.aspaas.gov.ro,none
rei.gov.ro,none
research.gov.ro,none
rmu.gov.ro,none
romania-durabila.gov.ro,none
romaniacreativa.gov.ro,none
rpc.research.gov.ro,none
rrir.gov.ro,none
salt.gov.ro,none
scholarships.new.studyinromania.gov.ro,none
scholarships.studyinromania.gov.ro,10 mail.uefiscdi-direct.ro.
scim.gov.ro,none
selecting-managers.research.gov.ro,none
selectingmanagers.research.gov.ro,none
servicii-sociale.gov.ro,none
setre.gov.ro,none
sgg.gov.ro,none
siieasc.mai.gov.ro,none
simplificare.gov.ro,none
sipoca393.research.gov.ro,none
sipoca592.research.gov.ro,none
sisop.mai.gov.ro,none
smi.email.gov.ro,none
sni.gov.ro,none
snir2020.anr.gov.ro,none
snmd.gov.ro,none
stagiari.aspaas.gov.ro,none
staging.rei.gov.ro,none
streaming.ina.gov.ro,none
studyinromania.gov.ro,none
tabloudebord.gov.ro,none
techbridge.gov.ro,10 frontmail.techbridge.gov.ro.
test-aici.gov.ro,none
test-apeluri.pnrr.gov.ro,none
test-auth.pnrr.gov.ro,none
test-bo.pnrr.gov.ro,none
test-coordonare.pnrr.gov.ro,none
test-depunere.pnrr.gov.ro,none
test-esmc.pnrr.gov.ro,none
test-granturi.imm.gov.ro,none
test-platforma.gov.ro,none
test-pnrr.gov.ro,none
test-programare-api.vaccinare-covid.gov.ro,none
test-programare.vaccinare-covid.gov.ro,none
test-proiecte.pnrr.gov.ro,none
training.ina.gov.ro,10 training.ina.gov.ro.
transfer.research.gov.ro,none
uefiscdi-direct.gov.ro,none
uefiscdi.gov.ro,none
vaccinare-covid.gov.ro,none
vaccinare.gov.ro,none
viogen.anes.gov.ro,none
voluntari.ithub.gov.ro,none
vpn.isc.gov.ro,none
vr.studyinromania.gov.ro,none
web.email.gov.ro,none
webac.email.gov.ro,none
webconf.gov.ro,none
webdisk.dst-braila.gov.ro,none
webex-register.research.gov.ro,none
webexadmin.research.gov.ro,none
webexconf.research.gov.ro,none
webexsrv.research.gov.ro,none
webmail.aspaas.gov.ro,none
webmail.dst-braila.gov.ro,none
webmail.mmuncii.gov.ro,none
websync.email.gov.ro,none
wifi.research.gov.ro,none
www.aaas.gov.ro,none
www.accelerate.gov.ro,none
www.adr.gov.ro,none
www.agregator.romania-durabila.gov.ro,none
www.ai.gov.ro,none
www.aias.gov.ro,none
www.aici.gov.ro,none
www.ana.gov.ro,none
