type,label,website,hostname,level
university,Commercial Academy of Satu Mare,http://www.academiacomerciala.ro/,academiacomerciala.ro,university
university,Alexandru Ioan Cuza Police Academy,http://www.academiadepolitie.ro,academiadepolitie.ro,university
university,Henri Coanda Air Force Academy,http://www.afahc.ro/,afahc.ro,university
government_agency,Romanian Railway Authority,http://www.afer.ro/,afer.ro,
government_agency,Administration of the Environment Fund,https://www.afm.ro/index.php,afm.ro,
government_agency,German-Romanian Chamber of Industry and Commerce,https://www.ahkrumaenien.ro/,ahkrumaenien.ro,
government_agency,German-Romanian Chamber of Industry and Commerce,https://www.ahkrumaenien.ro/ro/,ahkrumaenien.ro,
government_agency,embassy of Morocco in Romania,https://www.ambasadamaroc.ro,ambasadamaroc.ro,central
government_agency,National Agency of Fiscal Administration,https://www.anaf.ro/,anaf.ro,local
government_agency,"National Agency for Zootechnics ""Prof. Dr. G. K. Constantinescu""",https://www.anarz.eu,anarz.eu,
government_agency,Agenția Națională de Cadastru și Publicitate Imobiliară,https://www.ancpi.ro/,ancpi.ro,
government_agency,National Administration of Land Improvements,https://www.anif.ro/,anif.ro,
university,National Intelligence Academy,http://animv.ro/,animv.ro,university
university,Mircea cel Bătrân Naval Academy,https://www.anmb.ro/eng/,anmb.ro,university
university,Mircea cel Bătrân Naval Academy,https://www.anmb.ro/,anmb.ro,university
government_agency,National Authority for Consumer Protection of Romania,https://anpc.ro/,anpc.ro,
government_agency,Romanian Energy Regulatory Authority,https://www.anre.ro/,anre.ro,
government_agency,National Authority for Regulating Community Services Public Utilities,https://www.anrsc.ro/,anrsc.ro,
government_agency,"Romanian Sanitary, Veterinary and Food Safety Authority",https://www.ansvsa.ro/,ansvsa.ro,
government_agency,Agriculture Payments and Intervention Agency,http://www.apia.org.ro/,apia.org.ro,
government_agency,Romanian Agency for Quality Assurance in Pre-university Education,https://aracip.eu/,aracip.eu,
government_agency,ARACIS,https://www.aracis.ro/,aracis.ro,
government_agency,National Historical Central Archives,http://arhivelenationale.ro/site/despre_anr/organizare/serviciul-arhive-nationale-istorice-centrale/,arhivelenationale.ro,
government_agency,National Archives of Romania,http://arhivelenationale.ro,arhivelenationale.ro,
university,Nicolae Bălcescu Academy of Land Forces,http://www.armyacademy.ro/english/,armyacademy.ro,university
university,George Enescu University of Arts,http://www.arteiasi.ro/,arteiasi.ro,university
university,Bucharest University of Economic Studies,https://ase.ro,ase.ro,university
government_agency,Romanian Financial Supervisory Authority,https://www.asfromania.ro/,asfromania.ro,central
government_agency,"Embassy of Tunisia, Bucharest",http://atunisia.ro,atunisia.ro,central
government_agency,Direcția Generală de Poliție a Municipiului București,https://b.politiaromana.ro,b.politiaromana.ro,central-1
government_agency,embassy of Bulgaria in Romania,http://bgembassy-romania.org,bgembassy-romania.org,central
government_agency,National Library of Romania,http://www.bibnat.ro/,bibnat.ro,
university,Bioterra University,http://www.bioterra.ro,bioterra.ro,university
government_agency,National Bank of Romania,http://www.bnr.ro/,bnr.ro,
government_agency,embassy of Qatar in Romania,https://bucharest.embassy.qa/,bucharest.embassy.qa,central
government_agency,European Parliament Liaison Office in Romania,https://bucharest.europarl.europa.eu,bucharest.europarl.europa.eu,central
government_agency,embassy of Estonia in Bucharest,https://bucharest.mfa.ee,bucharest.mfa.ee,central
government_agency,embassy of Thailand in Romania,https://bucharest.thaiembassy.org,bucharest.thaiembassy.org,central
government_agency,"Hungarian embassy, Bucharest",https://bukarest.mfa.gov.hu/,bukarest.mfa.gov.hu,central
government_agency,"Embassy of Slovenia, Bucharest",http://bukaresta.veleposlanistvo.si/,bukaresta.veleposlanistvo.si,central
government_agency,Bucharest Court of Appeal,https://www.cab1864.eu/,cab1864.eu,
government_agency,Chamber of Commerce Industry and Agriculture Timisoara,http://www.cciat.ro/,cciat.ro,
government_agency,Constitutional Court of Romania,https://www.ccr.ro/,ccr.ro,central
government_agency,Chamber of Deputies of Romania,http://www.cdep.ro,cdep.ro,central
government_agency,"Embassy of the People's Republic of China, Bucharest",http://www.chinaembassy.org.ro,chinaembassy.org.ro,central
government_agency,National Heritage Institute,http://clasate.cimec.ro,clasate.cimec.ro,
government_agency,National Audiovisual Council,https://www.cna.ro/-English-.html,cna.ro,
government_agency,Romania’s National Road Infrastructure Administration Company (CNAIR),https://www.cnadnr.ro/,cnadnr.ro,
university,National College of Defence,https://cnap.unap.ro/index.html,cnap.unap.ro,university
government_agency,National University Research Council,http://www.cncsis.ro/English/home.php,cncsis.ro,
government_agency,National Council for Development and Innovation,http://www.cndi.ro/,cndi.ro,
government_agency,National House of Pensions and Other Social Insurance Rights,https://www.cnpp.ro/home,cnpp.ro,
government_agency,National Commission of Romania for UNESCO,https://www.cnr-unesco.ro/,cnr-unesco.ro,
government_agency,Q140800272,https://contragarantare.ro/,contragarantare.ro,
government_agency,Hungarian General Consulate in Miercurea Ciuc,https://csikszereda.mfa.gov.hu/,csikszereda.mfa.gov.hu,
ministry,Ministry of Culture,http://www.cultura.ro/,cultura.ro,
government_agency,Ministry of Culture,http://www.cultura.ro/,cultura.ro,central
government_agency,Craiova Court of Appeal,https://www.curteadeapelcraiova.eu/,curteadeapelcraiova.eu,
government_agency,Romanian Court of Accounts,http://www.curteadeconturi.ro,curteadeconturi.ro,
government_agency,Romanian Customs Authority,https://customs.ro,customs.ro,
government_agency,National Supervisory Authority for Personal Data Processing,http://www.dataprotection.ro/,dataprotection.ro,central
government_agency,Danube Delta Biosphere Reserve Authority,http://www.ddbra.ro,ddbra.ro,
government_agency,Direcția Generală de Protecție Internă,https://dgpi.ro/,dgpi.ro,
government_agency,Directorate for Investigating Organized Crime and Terrorism,https://www.diicot.ro/,diicot.ro,central
government_agency,National Anticorruption Directorate,https://www.dna.ro/,dna.ro,
government_agency,Q12720085,http://domeniilestatului.ro/,domeniilestatului.ro,
government_agency,Ministry of Education of Romania,https://www.edu.ro,edu.ro,central
ministry,Ministry of Education of Romania,https://www.edu.ro,edu.ro,
government_agency,embassy of Uruguay in Romania,http://www.embadeuruguay.ro,embadeuruguay.ro,central
government_agency,European Gendarmerie Force,http://www.eurogendfor.org,eurogendfor.org,
government_agency,embassy of Finland in Romania,https://finlandabroad.fi/web/rou,finlandabroad.fi,central
government_agency,Euromediterranean Province of the Jesuits,https://gesuiti.it/chi-siamo/,gesuiti.it,
constitutional_court,Euromediterranean Province of the Jesuits,https://gesuiti.it/chi-siamo/,gesuiti.it,
government_agency,German Consulate Sibiu,https://hermannstadt.diplo.de/,hermannstadt.diplo.de,
university,Hyperion University of Bucharest,http://www.hyperion.ro,hyperion.ro,university
government_agency,Institute of Biology Bucharest,https://www.ibiol.ro,ibiol.ro,
government_agency,Institute for Diagnosis and Animal Health,http://www.idah.ro/,idah.ro,
government_agency,Romanian General Inspectorate for Emergency Situations,http://www.igsu.ro,igsu.ro,
government_agency,Institutul Naţional de Cercetare-Dezvoltare in Construcţii Urbanism şi Dezvoltare Teritorială Durabilă,http://incd.ro/,incd.ro,
government_agency,Institutul Național de Cercetare - Dezvoltare în Turism,http://www.incdt.ro/index.pl/,incdt.ro,
government_agency,National Institute of Metrology,http://inm.ro,inm.ro,
government_agency,Institutul Naţional de Cercetare-Dezvoltare pentru Securitate Minieră şi Protecţie Antiexplozivă - INSEMEX,https://www.insemex.ro,insemex.ro,
government_agency,National Institute of Statistics,http://www.insse.ro/,insse.ro,central
government_agency,"Polish Institute, Bucharest",https://instytutpolski.pl/bucuresti/pl/,instytutpolski.pl,central
government_agency,National Integrity Agency,http://www.integritate.eu,integritate.eu,
government_agency,Institutul pentru Studii Politice de Apărare și Istorie Militara,https://ispaim.mapn.ro,ispaim.mapn.ro,
university,Iași University of Life Sciences,https://iuls.ro/,iuls.ro,university
government_agency,Gendarmerie,http://www.jandarmeriaromana.eu/en/,jandarmeriaromana.eu,
government_agency,Ministry of Justice,https://www.just.ro/,just.ro,central
ministry,Ministry of Justice,https://www.just.ro/,just.ro,
government_agency,embassy of Kazakhstan in Romania,https://kazembro.kz,kazembro.kz,central
government_agency,"Consulate General of Hungary, Cluj-Napoca",https://kolozsvar.mfa.gov.hu/,kolozsvar.mfa.gov.hu,
government_agency,Ministry of Agriculture and Rural Development of Romania,https://www.madr.ro/,madr.ro,central
ministry,Ministry of Agriculture and Rural Development of Romania,https://www.madr.ro/,madr.ro,
government_agency,Ministry of Foreign Affairs of Romania,http://www.mae.ro,mae.ro,central
ministry,Ministry of Foreign Affairs of Romania,http://www.mae.ro,mae.ro,
government_agency,Direcţia Generală Anticorupţie,http://www.mai-dga.ro/,mai-dga.ro,
ministry,Ministry of National Defense,https://mapn.ro,mapn.ro,
government_agency,Ministry of National Defense,https://mapn.ro,mapn.ro,central
government_agency,Ministry of Communications and Information Society,http://www.mcsi.ro,mcsi.ro,central
ministry,Ministry of Communications and Information Society,http://www.mcsi.ro,mcsi.ro,
ministry,"Ministry for Development, Public Works and Administration",https://www.mdlpa.ro/,mdlpa.ro,
government_agency,"Ministry for Development, Public Works and Administration",https://www.mdlpa.ro/,mdlpa.ro,central
government_agency,Administraţia Naţionala de Meteorologie,http://www.meteoromania.ro/anm/?lang=ro_ro,meteoromania.ro,
