hostname,score,sources,label,level
akzs.ru,7,wikidata;wikidata,Altai Krai Legislative Assembly,central-1
culture.volgograd.ru,7,wikidata;wikidata,Committee of Culture of the Volgograd Oblast,central-1
digital.tatarstan.ru,7,wikidata;wikidata,"Ministry of Digitalization of Public Administration, Information Technologies and Communications of the Republic of Tatarstan",central-1
duma.mos.ru,7,wikidata;wikidata;wikidata,Moscow City Duma,central-1
duma72.ru,7,wikidata;wikidata,Tyumen Oblast Duma,central-1
dumahmao.ru,7,wikidata;wikidata,Duma of Khanty-Mansi Autonomous Okrug — Yugra,central-1
eco.tatarstan.ru,7,wikidata;wikidata,Ministry of Ecology and Natural Resources for the Republic of Tatarstan,central-1
egov-buryatia.ru,7,wikidata;wikidata;wikidata,People's Khural of the Republic of Buryatia,central-1
gossov.tatarstan.ru,7,wikidata;wikidata;wikidata,State Council of the Republic of Tatarstan,central-1
goszakupki.tatarstan.ru,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Q97231060,central-1
gshra.ru,7,wikidata;wikidata,State Council of the Republic of Adygea,central-1
gsrb.ru,7,wikidata;wikidata,State Assembly of Bashkortostan,central-1
gsrk.ru,7,wikidata;wikidata,State Council of the Komi Republic,central-1
hural-buryatia.ru,7,wikidata;wikidata;wikidata,People's Khural of the Republic of Buryatia,central-1
huralrk.ru,7,wikidata;wikidata;wikidata,People's Khural of Kalmykia,central-1
iltumen.ru,7,wikidata;wikidata,State Assembly of the Sakha Republic,central-1
karelia-zs.ru,7,wikidata;wikidata,Legislative Assembly of the Republic of Karelia,central-1
kt.tatarstan.ru,7,wikidata;wikidata;wikidata,Republic of Tatarstan Tariffs State Сommittee,central-1
mert.tatarstan.ru,7,wikidata;wikidata,Republic of Tatarstan Ministry of Economy,central-1
mincult.tatarstan.ru,7,wikidata;wikidata,Ministry of Culture of the Republic of Tatarstan,central-1
minfin.bashkortostan.ru,7,wikidata;wikidata,Ministry of Finance,central-1
minkult-rb.ru,7,wikidata;wikidata,Ministry of Culture of the Republic of Bashkortostan,central-1
minmol.tatarstan.ru,7,wikidata;wikidata,Ministry of youth affairs of the Republic of Tatarstan,central-1
minobr.rkomi.ru,7,wikidata;wikidata,Ministry of Education and Youth Policy of the Republic of Komi,central-1
minzdrav.tatarstan.ru,7,wikidata;wikidata,Ministry of Health of the Republic of Tatarstan,central-1
mon.tatarstan.ru,7,wikidata;wikidata;wikidata;wikidata,Ministry of Education and Science of the Republic of Tatarstan,central-1
morb.ru,7,wikidata;wikidata,Ministry of Education,central-1
mosoblduma.ru,7,wikidata;wikidata,Moscow Oblast Duma,central-1
mpr.rkomi.ru,7,wikidata;wikidata,Ministry of Natural Resources and Environmental Protection of the Komi Republic,central-1
mpt.tatarstan.ru,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Republic of Tatarstan Ministry of Trade and Industry,central-1
mtsz.tatarstan.ru,7,wikidata;wikidata,"Ministry of Labour, Employment and Social Services of the Republic of Tatarstan",central-1
mzio.tatarstan.ru,7,wikidata;wikidata,Ministry of Land and Property Relations,central-1
nsrd.ru,7,wikidata;wikidata,People's Assembly of the Republic of Dagestan,central-1
ojm.tatarstan.ru,7,wikidata;wikidata;wikidata;wikidata,State Committee of the Republic of Tatarstan for Biological Resources,central-1
parlamentchr.ru,7,wikidata;wikidata,Parliament of the Chechen Republic,central-1
parlamentri.ru,7,wikidata;wikidata,People's Assembly of the Republic of Ingushetia,central-1
udmgossovet.ru,7,wikidata;wikidata,State Council of the Udmurt Republic,central-1
udmurt.ru,7,wikidata;wikidata,Q25686230,central-1
volgograd.ru,7,wikidata;wikidata,administration of the Volgograd oblast,central-1
zaksob.ru,7,wikidata;wikidata,Legislative Assembly of Orenburg Oblast,central-1
zskaluga.ru,7,wikidata;wikidata;wikidata,Regional parliament of Kaluga,central-1
zsso.ru,7,wikidata;wikidata,Legislative Assembly of Sverdlovsk Oblast,central-1
23.мвд.рф,6,wikidata;wikidata,Krasnodar Krai Police,central-1
50.мвд.рф,6,wikidata;wikidata,Moscow Oblast Police,central-1
52.мвд.рф,6,wikidata;wikidata,Nizhny Novgorod Oblast Police,central-1
khural.org,6,wikidata;wikidata;wikidata,Great Khural of Tuva,central-1
petrovka-38.org,6,wikidata;wikidata,Moscow City Police,central-1
gov.admhmao.ru,5,wikidata,Government of the Khanty-Mansiysk Autonomous Okrug - Ugra,central-1
gov.cap.ru,5,wikidata,State Council of the Chuvash Republic,central-1
parliament.mari.ru,5,wikidata,State Assembly of the Mari El Republic,central-1
21.mvd.ru,4,wikidata,Ministry of Internal Affairs of Chuvashia,central-1
41.mvd.ru,4,wikidata,Kamchatka Krai Police,central-1
82.mvd.ru,4,wikidata,Ministry of Interior in the Republic of Crimea,central-1
92.mvd.ru,4,wikidata,Sevastopol Police,central-1
agro.tatarstan.ru,4,wikidata,Q52732615,central-1
assembly.spb.ru,4,wikidata,Legislative Assembly of Saint Petersburg,central-1
astroblduma.ru,4,wikidata,Duma of the Astrakhan Region,central-1
dit.mos.ru,4,wikidata,Department of Information Technology in Moscow,central-1
duma.chukotka.ru,4,wikidata,Duma of Chukotka Autonomous Okrug,central-1
duma.khv.ru,4,wikidata,Legislative Duma of Khabarovsk Krai,central-1
duma.murman.ru,4,wikidata,Murmansk Oblast Duma,central-1
duma.tomsk.ru,4,wikidata,Legislative Duma of Tomsk Oblast,central-1
duma.yar.ru,4,wikidata,Yaroslavl Oblast Duma,central-1
duma32.ru,4,wikidata,Bryansk Oblast Duma,central-1
duma39.ru,4,wikidata,Legislative Assembly of Kaliningrad Oblast,central-1
dumasakhalin.ru,4,wikidata,Sakhalin Oblast Duma,central-1
dumask.ru,4,wikidata,Regional Parliament of Stavropol Krai,central-1
elkurultay.ru,4,wikidata,State Assembly of the Altai Republic,central-1
gsrm.ru,4,wikidata,State Assembly of the Republic of Mordovia,central-1
kosoblduma.ru,4,wikidata,Kostroma Oblast Duma,central-1
kubzsk.ru,4,wikidata,Legislative Assembly of Krasnodar Krai,central-1
kurskduma.ru,4,wikidata,Kursk Oblast Duma,central-1
lenoblzaks.ru,4,wikidata,Legislative Assembly of Leningrad Oblast,central-1
magoblduma.ru,4,wikidata,Magadan Oblast Duma,central-1
minobr.permkrai.ru,4,wikidata,Ministry of Education and Science of Perm Region,central-1
minstroy.tatarstan.ru,4,wikidata,"Ministry of Construction, Architecture and Housing and Communal Services of the Republic of Tatarstan",central-1
nasledie.volgograd.ru,4,wikidata,Q109475246,central-1
new.novoblduma.ru,4,wikidata,Novgorod Oblast Duma,central-1
oblsovet.ru,4,wikidata,Lipetsk Oblast Council of Deputies,central-1
omsk-parlament.ru,4,wikidata,Legislative Assembly of Omsk Oblast,central-1
oreloblsovet.ru,4,wikidata,Oryol Oblast Council of People's Deputies,central-1
parlament.kbr.ru,4,wikidata,Parliament of the Kabardino-Balkar Republic,central-1
parlament09.ru,4,wikidata,People's Assembly of the Karachay-Cherkess Republic,central-1
samgd.ru,4,wikidata,Samara Regional Duma,central-1
sdnao.ru,4,wikidata,Assembly of Deputies of the Nenets Autonomous Okrug,central-1
sevzakon.ru,4,wikidata,Legislative Assembly of Sevastopol,central-1
smoloblduma.ru,4,wikidata,Smolensk Oblast Duma,central-1
sobranie.pskov.ru,4,wikidata,Pskov Oblast Assembly of Deputies,central-1
srd.ru,4,wikidata,Saratov Oblast Duma,central-1
tambovoblduma.ru,4,wikidata,Tambov Oblast Duma,central-1
volgoduma.ru,4,wikidata,Volgograd Oblast Duma,central-1
vologdazso.ru,4,wikidata,Legislative Assembly of Vologda Oblast,central-1
vrnoblduma.ru,4,wikidata,Voronezh Oblast Duma,central-1
vskhakasia.ru,4,wikidata,Supreme Council of Khakassia,central-1
zaksobr.kamchatka.ru,4,wikidata,Legislative Assembly of Kamchatka Krai,central-1
zs.yanao.ru,4,wikidata,Legislative Assembly of the Yamalo-Nenets Autonomous Okrug,central-1
zs74.ru,4,wikidata,Legislative Assembly of Chelyabinsk Oblast,central-1
zsamur.ru,4,wikidata,Legislative Assembly of Amur Oblast,central-1
zseao.ru,4,wikidata,Legislative Assembly of the Jewish Autonomous Oblast,central-1
zsko.ru,4,wikidata,Legislative Assembly of Kirov Region,central-1
zskuzbass.ru,4,wikidata,Legislative Assembly of Kemerovo Oblast,central-1
zsnso.ru,4,wikidata,Legislative Assembly of Novosibirsk Oblast,central-1
zsperm.ru,4,wikidata,Legislative Assembly of Perm Krai,central-1
zspo.ru,4,wikidata,Legislative Assembly of Penza Oblast,central-1
zsro.ru,4,wikidata,Legislative Assembly of Rostov Oblast,central-1
zsto.ru,4,wikidata,Legislative Assembly of Tver Oblast,central-1
zsvo.ru,4,wikidata,Legislative Assembly of Vladimir Oblast,central-1
sobranie.info,3,wikidata,Legislative Assembly of Krasnoyarsk Krai,central-1
admgor.nnov.ru,7,wikidata;wikidata,Municipal government of Nizhny Novgorod,local
admsurgut.ru,7,wikidata;wikidata,Q125644768 | Q136404675,local
duma-perm.ru,7,wikidata;wikidata,Q86669640,local
duma-vologda.ru,7,wikidata;wikidata;wikidata,Vologda City Duma,local
duma.tyumen-city.ru,7,wikidata;wikidata,Tyumen City Duma,local
dumasurgut.ru,7,wikidata;wikidata,Q124784902,local
gorsovetnsk.ru,7,wikidata;wikidata,Q19916561,local
irkduma.ru,7,wikidata;wikidata,Q97369227,local
izh.ru,7,wikidata;wikidata,City Duma of Izhevsk,local
ras.ru,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Department of Global Issues and International Relations | Department of Agricultural Sciences | Department of Medical Sciences | Regional Research Centres | Department of Social Sciences | Department of Biological Sciences | Department of Mathematical Sciences | Computer Equipment and Technologies Department of RAS | Division of Historical and Philological Sciences | Department of Earth Sciences | Department of Physiological Sciences,local
tyumen-city.ru,7,wikidata;wikidata,Q57605222 | Town hall in Tyumen,local
volgsovet.ru,7,wikidata;wikidata;wikidata,Volgograd City Duma,local
armgov.ru,4,wikidata,Armyansk municipality council,local
atmr.ru,4,wikidata,Q57604906,local
dumatlt.ru,4,wikidata,Tolyatti City Council,local
alushta.info,3,wikidata,Alushta city council,local
petrosovet.info,3,wikidata,Petroskoin kaupunginvaltuusto,local
