hostname,score,sources,label,level
government.ru,10,un_desa;wikidata;wikidata,Government of Russia | UN/DESA national portal,central
19.mvd.ru,7,wikidata;wikidata,Ministry of Internal Affairs of Khakassia | Ministry of Internal Affairs of Komi Republic,
arbitr.ru,7,wikidata;wikidata,Q4068672 | Supreme Court of Arbitration of Russia,central
cikrf.ru,7,wikidata;wikidata,Central Election Commission of Russia,central
customs.ru,7,wikidata;wikidata,Federal Customs Service of Russia,
en.sledcom.ru,7,wikidata;wikidata,Investigative Committee of Russia,central
fedsfm.ru,7,wikidata;wikidata,Rosfinmonitoring,
fsb.ru,7,wikidata;wikidata;wikidata;wikidata,Federal Security Service | Q4503984 | Central Archive of the Federal Security Service of Russia,central
fstec.ru,7,wikidata;wikidata,Federal Service for Technical and Export Control,
gambiaembassy.ru,7,wikidata;wikidata,embassy of the Gambia in Russia,central
gorduma-voronezh.ru,7,wikidata;wikidata,Voronezh City Duma,
gosnadzor.ru,7,wikidata;wikidata,Rostekhnadzor,
minecon.bashkortostan.ru,7,wikidata;wikidata,Ministry of Economic Development,central
prlib.ru,7,wikidata;wikidata,Boris Yeltsin Presidential Library,
roscosmos.ru,7,wikidata;wikidata,Roscosmos State Corporation,
rospotrebnadzor.ru,7,wikidata;wikidata,Federal Service for the Oversight of Consumer Protection and Welfare,
rsl.ru,7,wikidata;wikidata,Russian State Library,
saamisups.ucoz.ru,7,wikidata;wikidata,Sami Parliament of Russia,
sledcom.ru,7,wikidata;wikidata,Investigative Committee of Russia,central
udprf.ru,7,wikidata;wikidata,Administrative Directorate of the President of the Russian Federation,central
russland.ahk.de,6,wikidata;wikidata,German-Russian Chamber of Commerce Abroad,
xn--b1aew.xn--p1ai,6,wikidata;wikidata,Q4530598 | Q4339429,
гибдд.рф,6,wikidata;wikidata,General Administration for Traffic Safety,
гут.мвд.рф,6,wikidata;wikidata,Q94116873,central
мвд.рф,6,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Q93242996 | Q16642424 | Q4376075 | Ministry of Internal Affairs of the Russian Federation | Q4476355 | Interpol National Central Bureau of the Ministry of Internal Affairs of Russia,central
01.mvd.ru,4,wikidata,Ministry of Internal Affairs of Adygea,
06.mvd.ru,4,wikidata,Ministry of Internal Affairs,
07.mvd.ru,4,wikidata,Ministry of Internal Affairs of Kabardino-Balkaria,
08.mvd.ru,4,wikidata,Ministry of Internal Affairs of Kalmykia,
09.mvd.ru,4,wikidata,Ministry of Internal Affairs of Karachay-Cherkessia,
10.mvd.ru,4,wikidata,Ministry of Internal Affairs of the Republic of Karelia,
12.mvd.ru,4,wikidata,Ministry of Internal Affairs of Mari El,
13.mvd.ru,4,wikidata,Ministry of Internal Affairs of Mordovia,
14.mvd.ru,4,wikidata,Ministry of Internal Affairs of Sakha Republic,
15.mvd.ru,4,wikidata,Ministry of Internal Affairs of North Ossetia-Alania,
16.mvd.ru,4,wikidata,Ministry of Internal Affairs in the Republic of Tatarstan,
18.mvd.ru,4,wikidata,Ministry of Internal Affairs of Udmurtia,
22.mvd.ru,4,wikidata,Altai Krai Police,
79.mvd.ru,4,wikidata,Directorate for Internal Affairs,
algerianembassy.ru,4,wikidata,"Embassy of Algeria, Moscow",central
ambacam.ru,4,wikidata,"Embassy of Cameroon, Moscow",central
ambamadagascar.ru,4,wikidata,"Embassy of Madagascar, Moscow",central
ambassenmos.ru,4,wikidata,"Embassy of Senegal, Moscow",central
ambmaroc.ru,4,wikidata,"Embassy of Morocco, Moscow",central
angolarussia.ru,4,wikidata,"Embassy of Angola, Moscow",central
archive06.ru,4,wikidata,Q130488281,
arheologpskov.ru,4,wikidata,"State Budgetary Institution of Culture of Pskov Oblast ""Archaeological Center of Pskov Oblast""",
azembassy.msk.ru,4,wikidata,"Embassy of Azerbaijan, Moscow",central
bangladeshembassy.ru,4,wikidata,"Embassy of Bangladesh, Moscow",central
bolivia-rusia.ru,4,wikidata,"Embassy of Bolivia, Moscow",central
burundiemb.ru,4,wikidata,"Embassy of Burundi, Moscow",central
cbr.ru,4,wikidata,Central Bank of Russia,central
center-albreht.ru,4,wikidata,Federal Scientific Center for the Rehabilitation of the Disabled by G.A. Albrecht of the Ministry of Labor and Social Protection of the Russian Federation,
chem.ras.ru,4,wikidata,Department of Chemistry and Material Sciences,
chinaconsulate.khb.ru,4,wikidata,Consulate General of PRC in Vladivostok,
chkalovsky.svd.sudrf.ru,4,wikidata,Chkalovsky Districtional Court (Yekaterinburg),
cons-ua.ru,4,wikidata,Consulate-General of Ukraine in Saint Petersburg,
cspfmba.ru,4,wikidata,"Federal State Budgetary Institution ""Centre for Strategic Planning and Management of Biomedical Health Risks"" of the Federal Medical and Biological Agency",
culture.gov-murman.ru,4,wikidata,Q126485196,
dagminobr.ru,4,wikidata,Q21641675,
emb-abkhazia.ru,4,wikidata,"Embassy of Abkhazia, Moscow",central
embaguate.ru,4,wikidata,"Embassy of Guatemala, Moscow",central
embajadadom.ru,4,wikidata,embassy of the Dominican Republic in Russia,central
embapanamarusia.ru,4,wikidata,embassy of Panama in Russia,central
embapar.ru,4,wikidata,"Embassy of Paraguay, Moscow",central
embassybel.ru,4,wikidata,"Embassy of Belarus, Moscow",central
english.gpntb.ru,4,wikidata,Russian National Public Library for Science and Technology,
faprid.ru,4,wikidata,"Federal Agency for Legal Protection of Military Results, Special and Dual Purpose",
fgup-ohrana.ru,4,wikidata,Federal State Unitary Enterprise Guard (Russia),
frccsc.ru,4,wikidata,Federal Research Center “Computer Science and Control” of the Russian Academy of Sciences,
gorduma.nnov.ru,4,wikidata,Nizhny Novgorod City Duma,
gpad.ac.ru,4,wikidata,Physical Sciences Division,
grants.extech.ru,4,wikidata,Council for Grants of the President of the Russian Federation,
gs.sev.sudrf.ru,4,wikidata,Q48941903,
hamovnichesky.msk.sudrf.ru,4,wikidata,Khamovniki Districtional Court of Moscow,
health.bashkortostan.ru,4,wikidata,Ministry of Health (Bashkortostan),
igps.ru,4,wikidata,Federal state educational institution of higher professional education of the Saint-Petersburg University of State fire service of EMERCOM of Russia,
jekatyerinburg.mfa.gov.hu,4,wikidata,"Consulate General of Hungary, Yekaterinburg",
kbs.spb.sudrf.ru,4,wikidata,Kuibyshevsky districtional court,
kenemb.ru,4,wikidata,"Embassy of Kenya, Moscow",central
kgv.spb.sudrf.ru,4,wikidata,Q104774086,
kirovsky.svd.sudrf.ru,4,wikidata,Kirovsky Districtional Court of Yekaterinburg,
kitaphane.tatarstan.ru,4,wikidata,National Library of the Republic of Tatarstan,
klp.spb.sudrf.ru,4,wikidata,Kolpinsky districtional court,
