hostname,score,sources,label,level,http_status,mx
government.ru,10,un_desa;wikidata;wikidata,Government of Russia | UN/DESA national portal,central,HttpConnectTimeoutException: HTTP connect timed out,5 mx4.gov.ru.
19.mvd.ru,7,wikidata;wikidata,Ministry of Internal Affairs of Khakassia | Ministry of Internal Affairs of Komi Republic,,HttpConnectTimeoutException: HTTP connect timed out,none
akzs.ru,7,wikidata;wikidata,Altai Krai Legislative Assembly,central-1,200,10 mx.alregn.ru.
arbitr.ru,7,wikidata;wikidata,Q4068672 | Supreme Court of Arbitration of Russia,central,200,5 mx1.arbitr.ru.
cikrf.ru,7,wikidata;wikidata,Central Election Commission of Russia,central,HttpConnectTimeoutException: HTTP connect timed out,10 mail.cikrf.ru.
culture.volgograd.ru,7,wikidata;wikidata,Committee of Culture of the Volgograd Oblast,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
customs.ru,7,wikidata;wikidata,Federal Customs Service of Russia,,HttpConnectTimeoutException: HTTP connect timed out,10 mg2.customs.ru.; 40 mg.customs.ru.; 40 mg5.customs.ru.; 40 mg3.customs.ru.; 40 mg6.customs.ru.; 20 edata.customs.ru.; 10 mg4.customs.ru.
dagminobr.ru,7,wikidata;wikidata,Q21641675,,200,20 mx.yandex.net.; 10 mail.dagminobr.ru.
digital.tatarstan.ru,7,wikidata;wikidata,"Ministry of Digitalization of Public Administration, Information Technologies and Communications of the Republic of Tatarstan",central-1,HttpConnectTimeoutException: HTTP connect timed out,none
duma.mos.ru,7,wikidata;wikidata;wikidata,Moscow City Duma,central-1,ConnectException,20 mgate01.mgd.mos.ru.; 10 mgate02.mgd.mos.ru.
duma72.ru,7,wikidata;wikidata,Tyumen Oblast Duma,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mx.duma72.ru.
dumahmao.ru,7,wikidata;wikidata,Duma of Khanty-Mansi Autonomous Okrug — Yugra,central-1,200,5 mx1.dumahmao.ru.; 20 mx.dumahmao.ru.; 5 mx2.dumahmao.ru.; 20 ironport.dumahmao.ru.; 30 mail.dumahmao.ru.
eco.tatarstan.ru,7,wikidata;wikidata,Ministry of Ecology and Natural Resources for the Republic of Tatarstan,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
egov-buryatia.ru,7,wikidata;wikidata;wikidata,People's Khural of the Republic of Buryatia,central-1,200,10 smtp.govrb.ru.
en.sledcom.ru,7,wikidata;wikidata,Investigative Committee of Russia,central,403,none
fedsfm.ru,7,wikidata;wikidata,Rosfinmonitoring,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 smtp1.fedsfm.ru.; 20 smtp2.fedsfm.ru.
fsb.ru,7,wikidata;wikidata;wikidata;wikidata,Federal Security Service | Q4503984 | Central Archive of the Federal Security Service of Russia,central,HttpConnectTimeoutException: HTTP connect timed out,10 mail10.fsb.ru.; 20 mail20.fsb.ru.
fstec.ru,7,wikidata;wikidata,Federal Service for Technical and Export Control,,HttpConnectTimeoutException: HTTP connect timed out,10 mx01.nicmail.ru.; 5 mx02.nicmail.ru.; 20 mx03.nicmail.ru.
gambiaembassy.ru,7,wikidata;wikidata,embassy of the Gambia in Russia,central,200,20 mx03.nicmail.ru.; 10 mx01.nicmail.ru.; 5 mx02.nicmail.ru.
gorduma-voronezh.ru,7,wikidata;wikidata,Voronezh City Duma,,200,none
gosnadzor.ru,7,wikidata;wikidata,Rostekhnadzor,,SSLHandshakeException: Remote host terminated the handshake,20 mail7.gosnadzor.ru.; 30 r7-mail.gosnadzor.ru.; 10 mail5.gosnadzor.ru.
gossov.tatarstan.ru,7,wikidata;wikidata;wikidata,State Council of the Republic of Tatarstan,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mx1.gossov.tatarstan.ru.; 20 mx2.gossov.tatarstan.ru.
goszakupki.tatarstan.ru,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Q97231060,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
gshra.ru,7,wikidata;wikidata,State Council of the Republic of Adygea,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mail.gshra.ru.; 20 mail.gshra.ru.
gsrb.ru,7,wikidata;wikidata,State Assembly of Bashkortostan,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mail.gsrb.ru.
gsrk.ru,7,wikidata;wikidata,State Council of the Komi Republic,central-1,HttpConnectTimeoutException: HTTP connect timed out,20 mx03.nicmail.ru.; 10 mx01.nicmail.ru.; 5 mx02.nicmail.ru.
hural-buryatia.ru,7,wikidata;wikidata;wikidata,People's Khural of the Republic of Buryatia,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mx1.timeweb.ru.; 10 mx2.timeweb.ru.
huralrk.ru,7,wikidata;wikidata;wikidata,People's Khural of Kalmykia,central-1,HttpConnectTimeoutException: HTTP connect timed out,dig error
iltumen.ru,7,wikidata;wikidata,State Assembly of the Sakha Republic,central-1,200,10 mx.yandex.net.
karelia-zs.ru,7,wikidata;wikidata,Legislative Assembly of the Republic of Karelia,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mx.yandex.net.
kt.tatarstan.ru,7,wikidata;wikidata;wikidata,Republic of Tatarstan Tariffs State Сommittee,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
mert.tatarstan.ru,7,wikidata;wikidata,Republic of Tatarstan Ministry of Economy,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
mincult.tatarstan.ru,7,wikidata;wikidata,Ministry of Culture of the Republic of Tatarstan,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
