type,label,website,hostname,level
government_agency,Ministry of Internal Affairs of Adygea,http://01.mvd.ru/,01.mvd.ru,
government_agency,Ministry of Internal Affairs,http://06.mvd.ru,06.mvd.ru,
government_agency,Ministry of Internal Affairs of Kabardino-Balkaria,http://07.mvd.ru/,07.mvd.ru,
government_agency,Ministry of Internal Affairs of Kalmykia,http://www.08.mvd.ru/,08.mvd.ru,
government_agency,Ministry of Internal Affairs of Karachay-Cherkessia,http://www.09.mvd.ru/,09.mvd.ru,
government_agency,Ministry of Internal Affairs of the Republic of Karelia,http://10.mvd.ru/,10.mvd.ru,
government_agency,Ministry of Internal Affairs of Mari El,http://12.mvd.ru/,12.mvd.ru,
government_agency,Ministry of Internal Affairs of Mordovia,http://13.mvd.ru/,13.mvd.ru,
government_agency,Ministry of Internal Affairs of Sakha Republic,http://14.mvd.ru/,14.mvd.ru,
government_agency,Ministry of Internal Affairs of North Ossetia-Alania,http://15.mvd.ru/,15.mvd.ru,
government_agency,Ministry of Internal Affairs in the Republic of Tatarstan,http://www.16.mvd.ru/,16.mvd.ru,
government_agency,Ministry of Internal Affairs of Udmurtia,http://18.mvd.ru/,18.mvd.ru,
government_agency,Ministry of Internal Affairs of Khakassia,http://19.mvd.ru/,19.mvd.ru,
government_agency,Ministry of Internal Affairs of Komi Republic,http://19.mvd.ru/,19.mvd.ru,
university,First Pavlov State Medical University of St. Petersburg,https://www.1spbgmu.ru/,1spbgmu.ru,university
government_agency,Ministry of Internal Affairs of Chuvashia,http://21.mvd.ru,21.mvd.ru,central-1
government_agency,Altai Krai Police,http://22.mvd.ru/,22.mvd.ru,
government_agency,Krasnodar Krai Police,https://23.мвд.рф/,23.мвд.рф,central-1
constitutional_court,Krasnodar Krai Police,https://23.мвд.рф/,23.мвд.рф,central-1
government_agency,Kamchatka Krai Police,http://41.mvd.ru,41.mvd.ru,central-1
government_agency,Moscow Oblast Police,https://50.мвд.рф/,50.мвд.рф,central-1
constitutional_court,Moscow Oblast Police,https://50.мвд.рф/,50.мвд.рф,central-1
constitutional_court,Nizhny Novgorod Oblast Police,https://52.мвд.рф/,52.мвд.рф,central-1
government_agency,Nizhny Novgorod Oblast Police,https://52.мвд.рф/,52.мвд.рф,central-1
government_agency,Moscow Criminal Investigations Department,https://77.xn--b1aew.xn--p1ai/,77.xn--b1aew.xn--p1ai,
government_agency,Directorate for Internal Affairs,http://79.mvd.ru,79.mvd.ru,
government_agency,Ministry of Interior in the Republic of Crimea,http://www.82.mvd.ru/,82.mvd.ru,central-1
government_agency,Sevastopol Police,https://92.mvd.ru/,92.mvd.ru,central-1
university,Russian Federation Security Guard Service Federal Academy,http://academ.msk.rsnet.ru/,academ.msk.rsnet.ru,university
university,Academy of the Federal Security Service of the Russian Federation,http://academy.fsb.ru/,academy.fsb.ru,university
constitutional_court,Municipal government of Nizhny Novgorod,https://admgor.nnov.ru/,admgor.nnov.ru,local
government_agency,Municipal government of Nizhny Novgorod,https://admgor.nnov.ru/,admgor.nnov.ru,local
government_agency,Q125644768,https://admsurgut.ru/rubric/335/Biografiya,admsurgut.ru,local
government_agency,Q136404675,https://admsurgut.ru/,admsurgut.ru,local
university,Arctic State Agrotechnological University,http://www.agatu.ru/,agatu.ru,university
government_agency,Q52732615,https://agro.tatarstan.ru/,agro.tatarstan.ru,central-1
parliament,Altai Krai Legislative Assembly,http://www.akzs.ru,akzs.ru,central-1
supreme_court,Altai Krai Legislative Assembly,http://www.akzs.ru,akzs.ru,central-1
government_agency,"Embassy of Algeria, Moscow",http://www.algerianembassy.ru,algerianembassy.ru,central
university,Altai State Pedagogical University,https://www.altspu.ru,altspu.ru,university
government_agency,Alushta city council,http://www.alushta.info/,alushta.info,local
government_agency,"Embassy of Cameroon, Moscow",http://ambacam.ru,ambacam.ru,central
government_agency,Consulate-General of France in Saint Petersburg,http://www.ambafrance-ru.org/-Saint-Petersbourg-,ambafrance-ru.org,
government_agency,"Embassy of Madagascar, Moscow",http://www.ambamadagascar.ru/,ambamadagascar.ru,central
government_agency,"Embassy of Senegal, Moscow",https://ambassenmos.ru/,ambassenmos.ru,central
government_agency,"Embassy of Morocco, Moscow",http://www.ambmaroc.ru/,ambmaroc.ru,central
university,Amur State University,http://www.amursu.ru/,amursu.ru,university
government_agency,"Embassy of Angola, Moscow",https://angolarussia.ru/,angolarussia.ru,central
university,Angarsk State Technical University,http://angtu.ru,angtu.ru,university
government_agency,Ministry of Defense of the Russian Federation,http://ar.mil.ru,ar.mil.ru,central
constitutional_court,Ministry of Defense of the Russian Federation,http://ar.mil.ru,ar.mil.ru,central
ministry,Ministry of Defense of the Russian Federation,http://ar.mil.ru,ar.mil.ru,
university,Peoples' Friendship University of Russia,https://ar.rudn.ru/,ar.rudn.ru,university
government_agency,Q4068672,http://www.arbitr.ru/,arbitr.ru,
government_agency,Supreme Court of Arbitration of Russia,http://arbitr.ru/,arbitr.ru,central
government_agency,Q130488281,https://archive06.ru/,archive06.ru,
government_agency,"State Budgetary Institution of Culture of Pskov Oblast ""Archaeological Center of Pskov Oblast""",http://arheologpskov.ru,arheologpskov.ru,
government_agency,Armyansk municipality council,http://armgov.ru/,armgov.ru,local
university,Altai State Agrarian University,http://www.asau.ru,asau.ru,university
university,Altai State Medical University,http://www.asmurussia.com,asmurussia.com,university
parliament,Legislative Assembly of Saint Petersburg,http://www.assembly.spb.ru,assembly.spb.ru,central-1
university,Astrakhan State Medical University,http://astgmu.ru,astgmu.ru,university
parliament,Duma of the Astrakhan Region,http://www.astroblduma.ru/,astroblduma.ru,central-1
university,Astrakhan State Technical University,https://www.astu.org/,astu.org,university
university,Astrakhan State Technical University,https://www.astu.org/en,astu.org,university
university,Altai State Technical University,http://astu.secna.ru/,astu.secna.ru,university
university,Astrakhan State University,https://asu-edu.ru/,asu-edu.ru,university
government_agency,Q57604906,https://atmr.ru/,atmr.ru,local
university,F.F. Ushakov State Maritime University,http://www.aumsu.ru/,aumsu.ru,university
government_agency,"Embassy of Azerbaijan, Moscow",http://www.azembassy.msk.ru/,azembassy.msk.ru,central
government_agency,"Embassy of Bangladesh, Moscow",https://bangladeshembassy.ru/,bangladeshembassy.ru,central
university,Bashkir State Medical University,http://www.bashgmu.ru/,bashgmu.ru,university
university,Bryansk State Engineering Technological University,http://www.bgita.ru,bgita.ru,university
university,Blagoveshchensk State Pedagogical University,http://www.bgpu.ru/,bgpu.ru,university
university,Bryansk State Agrarian University,http://www.bgsha.com/,bgsha.com,university
university,Baikal State University,http://bgu.ru,bgu.ru,university
university,Baikal State University,https://bgu.ru/mng/,bgu.ru,university
university,Baikal State University,http://bgu.ru/eng/,bgu.ru,university
university,Baikal State University,https://bgu.ru/chi/,bgu.ru,university
university,Bauman Moscow State Technical University,https://bmstu.ru/,bmstu.ru,university
government_agency,"Embassy of Bolivia, Moscow",http://bolivia-rusia.ru,bolivia-rusia.ru,central
university,Bryansk State University,http://www.brgu.ru/,brgu.ru,university
university,Bratsk State University,http://www.brstu.ru/,brstu.ru,university
university,Bratsk State University,https://brstu.ru,brstu.ru,university
university,Belgorod State Agricultural University,http://www.bsaa.edu.ru/,bsaa.edu.ru,university
university,Bashkir State Agrarian University,http://www.bsau.ru/,bsau.ru,university
university,Bashkir State Pedagogical University,http://www.bspu.ru/,bspu.ru,university
university,Buryat State University,http://www.bsu.ru/,bsu.ru,university
university,Belgorod State University,https://bsuedu.ru/en/,bsuedu.ru,university
university,"Belgorod University of Cooperation, Economics and Law",http://www.bukep.ru,bukep.ru,university
government_agency,"Embassy of Burundi, Moscow",http://burundiemb.ru/,burundiemb.ru,central
university,Baltic Naval Institute,https://bvvmu.mil.ru/,bvvmu.mil.ru,university
government_agency,Central Bank of Russia,https://cbr.ru/,cbr.ru,central
government_agency,Federal Scientific Center for the Rehabilitation of the Disabled by G.A. Albrecht of the Ministry of Labor and Social Protection of the Russian Federation,http://www.center-albreht.ru/,center-albreht.ru,
university,V.I. Vernadsky Crimean Federal University,https://cfuv.ru,cfuv.ru,university
university,South Ural State Medical University,http://www.chelsma.ru/,chelsma.ru,university
government_agency,Department of Chemistry and Material Sciences,http://www.chem.ras.ru/,chem.ras.ru,
university,Kadyrov Chechen State University,http://www.chesu.ru,chesu.ru,university
government_agency,Consulate General of PRC in Vladivostok,http://www.chinaconsulate.khb.ru/rus,chinaconsulate.khb.ru,
university,Chita State Medical Academy,https://chitgma.ru/,chitgma.ru,university
government_agency,Chkalovsky Districtional Court (Yekaterinburg),http://chkalovsky.svd.sudrf.ru,chkalovsky.svd.sudrf.ru,
university,Yakovlev Chuvash State Pedagogical University,https://chuvgpu.ru/,chuvgpu.ru,university
university,Chuvash State University,http://www.chuvsu.ru/,chuvsu.ru,university
university,Military University of Radioelectronics,https://chvviure.mil.ru/About/Istoriya,chvviure.mil.ru,university
government_agency,Central Election Commission of Russia,http://cikrf.ru/,cikrf.ru,central
government_agency,Central Election Commission of Russia,http://cikrf.ru/eng/,cikrf.ru,central
university,Peoples' Friendship University of Russia,https://cn.rudn.ru/,cn.rudn.ru,university
university,Ukhta State Technical University,https://cn.ugtu.net/,cn.ugtu.net,university
university,Saint Petersburg State University of Economics,https://cn.unecon.ru/,cn.unecon.ru,university
government_agency,Consulate-General of Ukraine in Saint Petersburg,http://www.cons-ua.ru/,cons-ua.ru,
university,Crimea State Medical University named after S. I. Georgievsky,http://www.csmu.edu.ua/,csmu.edu.ua,university
government_agency,"Federal State Budgetary Institution ""Centre for Strategic Planning and Management of Biomedical Health Risks"" of the Federal Medical and Biological Agency",https://www.cspfmba.ru,cspfmba.ru,
university,South Ural State Humanitarian Pedagogical University,http://www.cspu.ru/,cspu.ru,university
university,Chelyabinsk State University,http://www.csu.ru/,csu.ru,university
university,Q140812516,https://cu.ru/,cu.ru,university
university,Central University,https://cu.ru/,cu.ru,university
government_agency,Q126485196,https://culture.gov-murman.ru/,culture.gov-murman.ru,
constitutional_court,Committee of Culture of the Volgograd Oblast,https://culture.volgograd.ru,culture.volgograd.ru,central-1
government_agency,Committee of Culture of the Volgograd Oblast,https://culture.volgograd.ru,culture.volgograd.ru,central-1
government_agency,Federal Customs Service of Russia,http://www.customs.ru/en/,customs.ru,
constitutional_court,Federal Customs Service of Russia,http://www.customs.ru/en/,customs.ru,
government_agency,Q21641675,http://www.dagminobr.ru,dagminobr.ru,
university,Far East State Agrarian University,https://www.dalgau.ru/,dalgau.ru,university
university,Far East State Technical Fisheries University,http://www.dalrybvtuz.ru/,dalrybvtuz.ru,university
university,Dagestan State Medical University,https://www.dgmu.ru/,dgmu.ru,university
university,Dagestan State Pedagogical University,https://www.dgpu.net/ru/,dgpu.net,university
university,Dagestan State University,http://www.dgu.ru,dgu.ru,university
university,Dagestan State University of National Economy,https://dgunh.ru/,dgunh.ru,university
government_agency,"Ministry of Digitalization of Public Administration, Information Technologies and Communications of the Republic of Tatarstan",https://digital.tatarstan.ru/,digital.tatarstan.ru,central-1
government_agency,Department of Information Technology in Moscow,http://dit.mos.ru/,dit.mos.ru,central-1
university,Donbass State University of Justice,https://donbassla.ru/,donbassla.ru,university
university,Don State Agrarian University,http://www.dongau.ru,dongau.ru,university
university,Dagestan State Technical University,https://www.dstu.ru/,dstu.ru,university
government_agency,Q86669640,http://duma-perm.ru/,duma-perm.ru,local
parliament,Q86669640,http://duma-perm.ru/,duma-perm.ru,local
parliament,Vologda City Duma,https://www.duma-vologda.ru,duma-vologda.ru,local
supreme_court,Vologda City Duma,https://www.duma-vologda.ru,duma-vologda.ru,local
government_agency,Vologda City Duma,https://www.duma-vologda.ru,duma-vologda.ru,local
parliament,Duma of Chukotka Autonomous Okrug,http://duma.chukotka.ru,duma.chukotka.ru,central-1
parliament,Legislative Duma of Khabarovsk Krai,http://duma.khv.ru,duma.khv.ru,central-1
supreme_court,Moscow City Duma,http://duma.mos.ru/,duma.mos.ru,central-1
parliament,Moscow City Duma,http://duma.mos.ru/,duma.mos.ru,central-1
government_agency,Moscow City Duma,http://duma.mos.ru/,duma.mos.ru,central-1
parliament,Murmansk Oblast Duma,http://www.duma.murman.ru/,duma.murman.ru,central-1
parliament,Legislative Duma of Tomsk Oblast,http://duma.tomsk.ru/,duma.tomsk.ru,central-1
parliament,Tyumen City Duma,http://www.duma.tyumen-city.ru/,duma.tyumen-city.ru,local
government_agency,Tyumen City Duma,http://www.duma.tyumen-city.ru/,duma.tyumen-city.ru,local
parliament,Yaroslavl Oblast Duma,http://www.duma.yar.ru,duma.yar.ru,central-1
parliament,Bryansk Oblast Duma,https://duma32.ru,duma32.ru,central-1
parliament,Legislative Assembly of Kaliningrad Oblast,http://www.duma39.ru/,duma39.ru,central-1
supreme_court,Tyumen Oblast Duma,http://www.duma72.ru/,duma72.ru,central-1
parliament,Tyumen Oblast Duma,http://www.duma72.ru/,duma72.ru,central-1
parliament,Duma of Khanty-Mansi Autonomous Okrug — Yugra,http://dumahmao.ru,dumahmao.ru,central-1
supreme_court,Duma of Khanty-Mansi Autonomous Okrug — Yugra,http://dumahmao.ru,dumahmao.ru,central-1
parliament,Sakhalin Oblast Duma,http://www.dumasakhalin.ru/,dumasakhalin.ru,central-1
parliament,Regional Parliament of Stavropol Krai,http://www.dumask.ru/,dumask.ru,central-1
parliament,Q124784902,https://dumasurgut.ru,dumasurgut.ru,local
government_agency,Q124784902,https://dumasurgut.ru,dumasurgut.ru,local
parliament,Tolyatti City Council,http://dumatlt.ru/,dumatlt.ru,
university,Far Eastern Federal University,https://www.dvfu.ru/,dvfu.ru,university
university,Far Eastern State Transport University,https://www.dvgups.ru/,dvgups.ru,university
government_agency,Ministry of Ecology and Natural Resources for the Republic of Tatarstan,https://eco.tatarstan.ru/,eco.tatarstan.ru,central-1
university,Siberian State University of Engineering and Biotechnology,https://edubiotech.ru/,edubiotech.ru,university
university,State University of Education,https://eduprosvet.ru/,eduprosvet.ru,university
university,Technical University of UMMC,https://eduugmk.com/,eduugmk.com,university
government_agency,Delegation of the European Union to Russia,https://eeas.europa.eu/delegations/russia_en,eeas.europa.eu,
supreme_court,People's Khural of the Republic of Buryatia,http://egov-buryatia.ru/index.php?id=247,egov-buryatia.ru,central-1
government_agency,People's Khural of the Republic of Buryatia,http://egov-buryatia.ru/index.php?id=247,egov-buryatia.ru,central-1
parliament,People's Khural of the Republic of Buryatia,http://egov-buryatia.ru/index.php?id=247,egov-buryatia.ru,central-1
