type,label,website,hostname,level
government_agency,Aviation Accident and Incident Investigation Directorate - Rwanda,https://aaidportal.mininfra.gov.rw/,aaidportal.mininfra.gov.rw,
government_agency,AgDF  Agaciro Corporate Trust Ltd,https://www.agaciro.rw/,agaciro.rw,
government_agency,National Bank of Rwanda,http://www.bnr.rw/,bnr.rw,
government_agency,Rwanda Civil Aviation Authority,https://caa.gov.rw/index.php?id=2,caa.gov.rw,
government_agency,Rwanda Capital Market Authority CMA,https://www.cma.rw/,cma.rw,
government_agency,National Cyber Security Authority,https://www.cyber.gov.rw,cyber.gov.rw,
parliament,East African Legislative Assembly,http://www.eala.org/,eala.org,local
government_agency,Delegation of the European Union to Rwanda,https://eeas.europa.eu/delegations/rwanda_en,eeas.europa.eu,
ministry,Ministry of Environment,https://www.environment.gov.rw/,environment.gov.rw,
government_agency,Ministry of Environment,https://www.environment.gov.rw/,environment.gov.rw,
government_agency,FIC  Financial Intelligence Center,https://www.fic.gov.rw/,fic.gov.rw,
government_agency,British High Commission Kigali,https://www.gov.uk/world/organisations/british-high-commission-kigali,gov.uk,central
government_agency,Q132472718,http://www.greatervirunga.org/,greatervirunga.org,
government_agency,"High Commission of India, Kigali",https://hcikigali.gov.in/index.php,hcikigali.gov.in,central
government_agency,Higher Education Council of Rwanda,https://www.hec.gov.rw/general-higher-education-quality-standards-department,hec.gov.rw,
government_agency,SGF  Special Guarantee Fund,https://www.ikigega.rw/,ikigega.rw,
government_agency,Supreme Court of Rwanda,https://www.judiciary.gov.rw/,judiciary.gov.rw,
government_agency,"High Commission of Kenya, Kigali",https://kenyahighcomkigali.org/,kenyahighcomkigali.org,central
government_agency,"Embassy of Turkey, Kigali",https://kigali-be.mfa.gov.tr,kigali-be.mfa.gov.tr,central
government_agency,"Embassy of Germany, Kigali",https://kigali.diplo.de/,kigali.diplo.de,central
government_agency,RLMUA  Rwanda Land Management and Use Authority,https://www.lands.rw/home,lands.rw,
government_agency,Rwanda Meteorological Service,http://www.meteorwanda.gov.rw/,meteorwanda.gov.rw,
ministry,Ministry of Public Service and Labour,https://www.mifotra.gov.rw/,mifotra.gov.rw,
government_agency,Ministry of Public Service and Labour,https://www.mifotra.gov.rw/,mifotra.gov.rw,central
government_agency,Ministry of Gender and Family Promotion,https://www.migeprof.gov.rw/,migeprof.gov.rw,central
ministry,Ministry of Gender and Family Promotion,https://www.migeprof.gov.rw/,migeprof.gov.rw,
ministry,Ministry of Foreign Affairs and International Cooperation of the Republic of Rwanda,https://www.minaffet.gov.rw/,minaffet.gov.rw,
government_agency,Ministry of Foreign Affairs and International Cooperation of the Republic of Rwanda,https://www.minaffet.gov.rw/,minaffet.gov.rw,central
government_agency,Rwandan Ministry of Agricultural,https://www.minagri.gov.rw,minagri.gov.rw,central
