type,label,website,hostname,level
government_agency,AgDF  Agaciro Corporate Trust Ltd,https://www.agaciro.rw/,agaciro.rw,
university,African Leadership University,https://www.alueducation.com/,alueducation.com,university
university,African Leadership University,https://www.alueducation.com,alueducation.com,university
government_agency,National Bank of Rwanda,http://www.bnr.rw/,bnr.rw,
university,Kigali Institute of Education,https://ce.ur.ac.rw/,ce.ur.ac.rw,university
government_agency,Rwanda Capital Market Authority CMA,https://www.cma.rw/,cma.rw,
university,Catholic University of Rwanda,https://www.cur.ac.rw/,cur.ac.rw,university
parliament,East African Legislative Assembly,http://www.eala.org/,eala.org,local
government_agency,Delegation of the European Union to Rwanda,https://eeas.europa.eu/delegations/rwanda_en,eeas.europa.eu,
government_agency,Q132472718,http://www.greatervirunga.org/,greatervirunga.org,
university,University of Gitwe,https://home.uog.ac.rw/,home.uog.ac.rw,university
government_agency,SGF  Special Guarantee Fund,https://www.ikigega.rw/,ikigega.rw,
university,IPRC Musanze,https://www.iprcmusanze.rp.ac.rw/,iprcmusanze.rp.ac.rw,university
university,Integrated Polytechnic Regional College Ngoma,https://www.iprcngoma.rp.ac.rw/,iprcngoma.rp.ac.rw,university
government_agency,"High Commission of Kenya, Kigali",https://kenyahighcomkigali.org/,kenyahighcomkigali.org,central
government_agency,"Embassy of Germany, Kigali",https://kigali.diplo.de/,kigali.diplo.de,central
university,KIM University,http://www.kimuniversity.ac.rw/,kimuniversity.ac.rw,university
university,Kibogora Polytechnic,https://www.kp.ac.rw/,kp.ac.rw,university
government_agency,RLMUA  Rwanda Land Management and Use Authority,https://www.lands.rw/home,lands.rw,
university,"Mahatma Gandhi University, Kigali",http://www.mgu.ac.rw/,mgu.ac.rw,university
university,Mount Kigali University,https://mkur.ac.rw/,mkur.ac.rw,university
government_agency,"Embassy of the United Arab Emirates, Kigali",https://www.mofaic.gov.ae/en/missions/uae-missions-abroad/uae-missions-abroad-details?countryId=226ac632-0ed6-4736-9a6f-013d86874b59,mofaic.gov.ae,central
university,North Gate University,http://www.northgateuniversity.com/,northgateuniversity.com,university
government_agency,Rwanda Atomic Energy Board,https://raeb.prod.risa.rw/,raeb.prod.risa.rw,
government_agency,Rwanda Development Board,http://www.rdb.rw/home.html/,rdb.rw,
government_agency,Q136509270,https://www.rfa.rw/,rfa.rw,
government_agency,RP  Rwanda Polytechnic,https://www.rp.ac.rw/,rp.ac.rw,
government_agency,Rwanda Peace Academy,https://www.rpa.ac.rw/,rpa.ac.rw,
government_agency,Rwanda Social Security Board,https://www.rssb.rw/,rssb.rw,
government_agency,Rwanda Utilities Regulatory Authority,https://rura.rw,rura.rw,
government_agency,"Embassy of France, Kigali",https://rw.ambafrance.org/,rw.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Kigali",http://rw.china-embassy.org/eng/,rw.china-embassy.org,central
government_agency,"Embassy of the United States, Kigali",https://rw.usembassy.gov/,rw.usembassy.gov,central
government_agency,"Embassy of Russia, Kigali",https://rwanda.mid.ru,rwanda.mid.ru,central
government_agency,Rwanda Water Resources Board,https://www.rwb.rw/,rwb.rw,
government_agency,"Embassy of Sweden, Kigali",https://www.swedenabroad.se/sv/utlandsmyndigheter/rwanda-kigali/,swedenabroad.se,central
university,University of Global Health Equity,http://ughe.org/,ughe.org,university
university,Kigali Independent University ULK,https://ulk.ac.rw/,ulk.ac.rw,university
government_agency,Rwanda National Commission for UNESCO,https://unesco.rw/,unesco.rw,
university,University of Rwanda,https://ur.ac.rw/,ur.ac.rw,university
university,UNIVERSITY OF TOURISM,https://www.utb.ac.rw/,utb.ac.rw,university
