type,label,website,hostname,level
government_agency,Agricultural Development Fund of Saudi Arabia,https://adf.gov.sa/en/,adf.gov.sa,
government_agency,Aviation Investigation Bureau,https://www.aib.gov.sa/,aib.gov.sa,
government_agency,Permanent Committee for Scholarly Research and Ifta,https://www.alifta.gov.sa/,alifta.gov.sa,
government_agency,embassy of Cameroon in Saudi Arabia,http://www.ambacamsaudi.org/,ambacamsaudi.org,central
government_agency,"Embassy of Albania, Riyadh",https://ambasadat.gov.al/saudi-arabia/,ambasadat.gov.al,central
government_agency,"Embassy of Kosovo, Riyadh",https://ambasadat.net/arabi-saudite/,ambasadat.net,central
government_agency,embassy of Italy in Saudi Arabia,https://ambriad.esteri.it/ambasciata_riad/,ambriad.esteri.it,central
government_agency,embassy of Côte d'Ivoire in Saudi Arabia,https://arabiesaoudite.diplomatie.gouv.ci/,arabiesaoudite.diplomatie.gouv.ci,central
government_agency,"Embassy of Bangladesh, Riyadh",http://www.bangladeshembassy.org.sa,bangladeshembassy.org.sa,central
government_agency,"Embassy of Austria, Riyadh",https://www.bmeia.gv.at/oeb-riyadh/,bmeia.gv.at,central
government_agency,Bureau of Experts at the Saudi Council of Ministers,http://www.boe.gov.sa,boe.gov.sa,central
government_agency,Q12182845,http://www.bog.gov.sa,bog.gov.sa,
government_agency,"Embassy of Canada, Riyadh",https://www.canadainternational.gc.ca/saudi_arabia-arabie_saoudite/index.aspx,canadainternational.gc.ca,central
government_agency,Embassy of Chile in Saudi Arabia,https://www.chile.gob.cl/arabia-saudita/,chile.gob.cl,central
government_agency,"Consulate General of Turkey, Jeddah",https://cidde-bk.mfa.gov.tr,cidde-bk.mfa.gov.tr,
government_agency,"Commucication, Space and Technology Commission",http://www.citc.gov.sa,citc.gov.sa,
government_agency,Capital Market Authority,http://www.cma.org.sa,cma.org.sa,central
government_agency,"Algerian Consulate General in Jeddah, Saudi Arabia",https://consalg-jeddah.com/,consalg-jeddah.com,
government_agency,Public Health Authority,https://covid19.cdc.gov.sa/,covid19.cdc.gov.sa,
government_agency,Darah,https://www.darah.org.sa/,darah.org.sa,
government_agency,Digital Government Authority,https://dga.gov.sa/,dga.gov.sa,
government_agency,"Embassy of Tunisia, Riyadh",https://www.diplomatie.gov.tn/nc/mission/etranger/ambassade-de-tunisie-a-riyad-arabie-saoudite/,diplomatie.gov.tn,central
government_agency,Consulate General of France in Jeddah,https://djeddah.consulfrance.org/,djeddah.consulfrance.org,
government_agency,"Consulate General of Germany, Jeddah",https://djidda.diplo.de,djidda.diplo.de,
government_agency,"Embassy of Argentina, Riyadh",https://earab.cancilleria.gob.ar/,earab.cancilleria.gob.ar,central
government_agency,"Embassy of Switzerland, Riyadh",http://www.eda.admin.ch/riad,eda.admin.ch,central
government_agency,"Delegation of the European Union to Bahrain, Oman, and Saudi Arabia",https://eeas.europa.eu/delegations/saudi-arabia_en,eeas.europa.eu,central
government_agency,"Embassy of Mexico, Riyadh",http://embamex.sre.gob.mx/arabiasaudita/,embamex.sre.gob.mx,central
government_agency,"Embassy of India, Riyadh",https://www.eoiriyadh.gov.in/,eoiriyadh.gov.in,central
government_agency,National Center for Sustainable Agriculture Research and Development,https://estidamah.gov.sa/ar/Pages/default.aspx,estidamah.gov.sa,
government_agency,"Embassy of Spain, Riyadh",https://www.exteriores.gob.es/Embajadas/riad,exteriores.gob.es,central
government_agency,Q85876167,https://fashion.moc.gov.sa/,fashion.moc.gov.sa,
government_agency,Saudi Arabian Border Guards,http://www.fg.gov.sa/,fg.gov.sa,
government_agency,"Embassy of Finland, Riyadh",https://finlandabroad.fi/web/sau/,finlandabroad.fi,central
government_agency,General Authority of Civil Aviation,http://www.gaca.gov.sa,gaca.gov.sa,
government_agency,"Zakat, Tax and Customs Authority",https://www.gazt.gov.sa/en,gazt.gov.sa,
government_agency,General Entertainment Authority,https://www.gea.gov.sa/en/,gea.gov.sa,central
government_agency,embassy of Ghana in Saudi Arabia,https://ghanaembassy-saudiarabia.com/,ghanaembassy-saudiarabia.com,central
government_agency,General Intelligence Presidency,http://www.gip.gov.sa,gip.gov.sa,
government_agency,General Authority of Media Regulation,https://gmedia.gov.sa/,gmedia.gov.sa,
government_agency,embassy of Peru in Saudi Arabia,https://www.gob.pe/embajada-del-peru-en-arabia-saudita,gob.pe,central
government_agency,GOSI,http://www.gosi.gov.sa,gosi.gov.sa,
government_agency,Embassy of Kazakhstan in Riyadh,https://www.gov.kz/memleket/entities/mfa-riyadh,gov.kz,central
government_agency,"Embassy of Poland, Riyadh",https://www.gov.pl/web/arabiasaudyjska,gov.pl,central
government_agency,British Consulate General Jeddah,https://www.gov.uk/world/organisations/british-consulate-general-jeddah,gov.uk,
government_agency,British Embassy Riyadh,https://www.gov.uk/world/organisations/british-embassy-riyadh,gov.uk,central
ministry,Ministry of Hajj and Umrah (Saudi Arabia),https://www.haj.gov.sa,haj.gov.sa,
government_agency,Ministry of Hajj and Umrah,https://www.haj.gov.sa,haj.gov.sa,central
ministry,Ministry of Education,http://he.moe.gov.sa/en/default.aspx,he.moe.gov.sa,
government_agency,Ministry of Education,http://he.moe.gov.sa/en/default.aspx,he.moe.gov.sa,central
government_agency,"Consulate of Canada in Jeddah, Saudi Arabia",https://www.international.gc.ca/country-pays/saudi_arabia-arabie_saoudite/jeddah-djeddah.aspx?lang=eng,international.gc.ca,
government_agency,embassy of Ireland in Saudi Arabia,https://www.ireland.ie/en/saudiarabia/riyadh/,ireland.ie,central
government_agency,"Philippine Consulate General, Jeddah",https://jeddahpcg.dfa.gov.ph,jeddahpcg.dfa.gov.ph,
government_agency,Saudi Patent Office,https://www.kacst.edu.sa/eng/IndustInnov/SPO/Pages/spo.aspx,kacst.edu.sa,
government_agency,Q137555839,https://kapl.org.sa/Restoration-center,kapl.org.sa,
government_agency,"consulate general of Indonesia, Jeddah",https://kemlu.go.id/jeddah,kemlu.go.id,local
government_agency,"embassy of Indonesia, Riyadh",https://kemlu.go.id/riyadh,kemlu.go.id,central
government_agency,embassy of Kenya in Saudi Arabia,http://kenyaembassy.org.sa,kenyaembassy.org.sa,central
government_agency,King Fahd Medical Research Center,https://kfmrc.kau.edu.sa/Default-141-AR,kfmrc.kau.edu.sa,
government_agency,King Fahd National Library,http://www.kfnl.gov.sa/,kfnl.gov.sa,
government_agency,"Embassy of Malaysia, Riyadh",https://www.kln.gov.my/web/sau_riyadh,kln.gov.my,central
government_agency,"Consulate General of Malaysia, Jeddah",https://www.kln.gov.my/web/sau_jeddah,kln.gov.my,
government_agency,"Embassy of Japan, Riyadh",https://www.ksa.emb-japan.go.jp,ksa.emb-japan.go.jp,central
government_agency,King Salman Global Academy for Arabic Language,https://ksaa.gov.sa,ksaa.gov.sa,
government_agency,Q132472730,https://www.ksrelief.org/,ksrelief.org,
government_agency,"The Literature, Publishing & Translation Commission",https://lpt.moc.gov.sa/,lpt.moc.gov.sa,
government_agency,"Embassy of Maldives, Riyadh",https://maldivesembassy.sa,maldivesembassy.sa,central
government_agency,"embassy of Mauritius, Riyadh",https://mauritius-riyadh.govmu.org,mauritius-riyadh.govmu.org,central
government_agency,Ministry of Commerce,https://mc.gov.sa,mc.gov.sa,central
ministry,Ministry of Commerce,https://mc.gov.sa,mc.gov.sa,
ministry,Ministry of Communications and Information Technology,http://www.mcit.gov.sa/,mcit.gov.sa,
government_agency,Ministry of Communications and Information Technology,http://www.mcit.gov.sa/,mcit.gov.sa,central
ministry,Ministry of Media,https://www.media.gov.sa/en,media.gov.sa,
