subdomain,http_status,mx
7100.moiat.gov.sd,Resolving timed out after 3000 milliseconds,dig error
aapc.gov.sd,Resolving timed out after 3000 milliseconds,dig error
aciu.gov.sd,Resolving timed out after 3001 milliseconds,dig error
admin.agrinorthern.gov.sd,Resolving timed out after 3000 milliseconds,dig error
adminno.agrinorthern.gov.sd,Resolving timed out after 3000 milliseconds,none
afaq-mofa.gov.sd,Resolving timed out after 3000 milliseconds,dig error
afaq.mofa.gov.sd,Resolving timed out after 3000 milliseconds,dig error
agri-khs.gov.sd,Resolving timed out after 3001 milliseconds,dig error
agrinorthern.gov.sd,Resolving timed out after 3002 milliseconds,dig error
aitc.nmsf.gov.sd,Resolving timed out after 3000 milliseconds,none
algolid.gov.sd,Resolving timed out after 3003 milliseconds,dig error
aman.mlsd.gov.sd,Could not resolve host: aman.mlsd.gov.sd,none
autodiscover.ciasa.gov.sd,Resolving timed out after 3001 milliseconds,none
autodiscover.gafe.gov.sd,Resolving timed out after 3001 milliseconds,none
autodiscover.halalsudan.gov.sd,Resolving timed out after 3000 milliseconds,dig error
autodiscover.moj.gov.sd,400,none
autodiscover.ogs.gov.sd,Resolving timed out after 3001 milliseconds,dig error
autodiscover.rsf.gov.sd,Resolving timed out after 3000 milliseconds,none
autodiscover.rssa.gov.sd,Resolving timed out after 3000 milliseconds,dig error
autodiscover.sgcrtvt.gov.sd,Resolving timed out after 3002 milliseconds,none
autodiscover.smsb.gov.sd,Resolving timed out after 3000 milliseconds,dig error
autodiscover.sudamin.gov.sd,Resolving timed out after 3001 milliseconds,dig error
autodiscover.union.gov.sd,SSL: no alternative certificate subject name matches target hostname 'autodiscover.union.gov.sd',dig error
autodiscover.zakat-chamber.gov.sd,400,none
autodiscover.zakatcompanies.gov.sd,Resolving timed out after 3001 milliseconds,none
autodiscover.zakatkassala.gov.sd,Resolving timed out after 3000 milliseconds,dig error
bahry.gov.sd,Resolving timed out after 3000 milliseconds,dig error
bara.gov.sd,Resolving timed out after 3001 milliseconds,dig error
barawest.gov.sd,Resolving timed out after 3002 milliseconds,dig error
barracuda.moj.gov.sd,Resolving timed out after 3002 milliseconds,none
bgaim.gov.sd,Resolving timed out after 3000 milliseconds,none
blog.moj.gov.sd,SSL certificate problem: certificate has expired,none
bluenilestate.gov.sd,Resolving timed out after 3001 milliseconds,dig error
box.moj.gov.sd,Resolving timed out after 3000 milliseconds,none
cabinet.gov.sd,Resolving timed out after 3000 milliseconds,dig error
cabinetdiscussion.gov.sd,Resolving timed out after 3000 milliseconds,dig error
cbos.gov.sd,200,10 smfw.cbos.gov.sd.
center.ogs.gov.sd,Resolving timed out after 3002 milliseconds,none
ciasa.gov.sd,Resolving timed out after 3001 milliseconds,dig error
community.moj.gov.sd,Resolving timed out after 3000 milliseconds,none
cpanel.agrinorthern.gov.sd,Resolving timed out after 3000 milliseconds,none
cpanel.bgaim.gov.sd,Resolving timed out after 3000 milliseconds,dig error
cpanel.ciasa.gov.sd,Could not resolve host: cpanel.ciasa.gov.sd,none
cpanel.diu.gov.sd,Could not resolve host: cpanel.diu.gov.sd,dig error
cpanel.gafe.gov.sd,Resolving timed out after 3000 milliseconds,dig error
cpanel.halalsudan.gov.sd,Resolving timed out after 3000 milliseconds,dig error
cpanel.kassalamfi.gov.sd,Resolving timed out after 3001 milliseconds,none
cpanel.kibfsudan.gov.sd,Resolving timed out after 3001 milliseconds,dig error
cpanel.merowedam.gov.sd,Resolving timed out after 3001 milliseconds,dig error
cpanel.nmpb.gov.sd,Resolving timed out after 3001 milliseconds,none
cpanel.nmsf.gov.sd,Resolving timed out after 3001 milliseconds,none
cpanel.ocewc.gov.sd,Resolving timed out after 3001 milliseconds,dig error
cpanel.ogs.gov.sd,Resolving timed out after 3001 milliseconds,none
cpanel.roseiresdam.gov.sd,Resolving timed out after 3000 milliseconds,none
cpanel.rsf.gov.sd,Connection timed out after 3006 milliseconds,none
cpanel.rssa.gov.sd,Resolving timed out after 3000 milliseconds,none
cpanel.sgcrtvt.gov.sd,Resolving timed out after 3000 milliseconds,none
cpanel.smsb.gov.sd,Resolving timed out after 3000 milliseconds,none
cpanel.sudamin.gov.sd,Resolving timed out after 3000 milliseconds,dig error
cpanel.union.gov.sd,SSL: no alternative certificate subject name matches target hostname 'cpanel.union.gov.sd',dig error
cpanel.zakat-chamber.gov.sd,Could not resolve host: cpanel.zakat-chamber.gov.sd,0 mail.zakat-chamber.gov.sd.
cpanel.zakatalgadarif.gov.sd,Resolving timed out after 3002 milliseconds,none
cpanel.zakatcompanies.gov.sd,Resolving timed out after 3001 milliseconds,0 mail.zakatcompanies.gov.sd.
cpanel.zakatkassala.gov.sd,Resolving timed out after 3002 milliseconds,dig error
cpcalendars.kassalamfi.gov.sd,Resolving timed out after 3001 milliseconds,dig error
cpcalendars.rssa.gov.sd,SSL: no alternative certificate subject name matches target hostname 'cpcalendars.rssa.gov.sd',dig error
cpcalendars.sgcrtvt.gov.sd,Resolving timed out after 3001 milliseconds,dig error
cpcalendars.union.gov.sd,SSL: no alternative certificate subject name matches target hostname 'cpcalendars.union.gov.sd',dig error
cpcalendars.zakat-chamber.gov.sd,503,dig error
cpcontacts.kassalamfi.gov.sd,Resolving timed out after 3001 milliseconds,dig error
cpcontacts.rssa.gov.sd,Resolving timed out after 3001 milliseconds,dig error
cpcontacts.sgcrtvt.gov.sd,SSL: no alternative certificate subject name matches target hostname 'cpcontacts.sgcrtvt.gov.sd',dig error
cpcontacts.union.gov.sd,Resolving timed out after 3001 milliseconds,none
cpcontacts.zakat-chamber.gov.sd,503,none
cspc.gov.sd,Resolving timed out after 3001 milliseconds,dig error
das.gov.sd,Resolving timed out after 3001 milliseconds,dig error
dialin.smsb.gov.sd,Resolving timed out after 3001 milliseconds,none
diaspora.smsb.gov.sd,Resolving timed out after 3002 milliseconds,none
dinder.gov.sd,Resolving timed out after 3003 milliseconds,none
diu.gov.sd,Resolving timed out after 3002 milliseconds,none
edf.gov.sd,Resolving timed out after 3001 milliseconds,none
edukh.gov.sd,Resolving timed out after 3001 milliseconds,dig error
ejckh.gov.sd,Resolving timed out after 3000 milliseconds,none
elgabalinnile.gov.sd,Resolving timed out after 3000 milliseconds,dig error
email.moj.gov.sd,SSL certificate problem: certificate has expired,none
eservices.motrb.gov.sd,Resolving timed out after 3000 milliseconds,dig error
eservices.ntc.gov.sd,Could not resolve host: eservices.ntc.gov.sd,none
eservices.tpra.gov.sd,Resolving timed out after 3001 milliseconds,none
esudan.gov.sd,Resolving timed out after 3000 milliseconds,dig error
exinfo.gov.sd,Could not resolve host: exinfo.gov.sd,none
f03-web01.nic.gov.sd,Resolving timed out after 3000 milliseconds,none
f03-web04.nic.gov.sd,Could not resolve host: f03-web04.nic.gov.sd,none
f05-web03.nic.gov.sd,Could not resolve host: f05-web03.nic.gov.sd,none
familymedicine.gov.sd,Resolving timed out after 3001 milliseconds,dig error
fcpu.gov.sd,Resolving timed out after 3000 milliseconds,dig error
ffamc.gov.sd,Resolving timed out after 3001 milliseconds,dig error
fgc.gov.sd,Resolving timed out after 3000 milliseconds,dig error
fiu.gov.sd,Resolving timed out after 3000 milliseconds,10 mail.fiu.gov.sd.
fmoh.gov.sd,302,10 mail.fmoh.gov.sd.
forum.moj.gov.sd,SSL certificate problem: certificate has expired,none
forums.moj.gov.sd,SSL certificate problem: certificate has expired,none
ftp.moj.gov.sd,SSL certificate problem: certificate has expired,none
fw.smsb.gov.sd,Could not resolve host: fw.smsb.gov.sd,none
gabra.gov.sd,Resolving timed out after 3000 milliseconds,dig error
gadarifstate.gov.sd,Resolving timed out after 3000 milliseconds,dig error
gafe.com.gafe.gov.sd,SSL certificate problem: self-signed certificate,none
gafe.gov.sd,SSL certificate problem: self-signed certificate,0 gafe.gov.sd.
gateway.moj.gov.sd,SSL certificate problem: certificate has expired,none
genswed.moj.gov.sd,SSL certificate problem: certificate has expired,none
gezirainvest.gov.sd,Resolving timed out after 3001 milliseconds,dig error
gmoe.gov.sd,200,0 gmoe.gov.sd.
gov.sd,ConnectException,none
guide.agrinorthern.gov.sd,Could not resolve host: guide.agrinorthern.gov.sd,none
halalsudan.gov.sd,Resolving timed out after 3000 milliseconds,none
hcsp.gov.sd,Could not resolve host: hcsp.gov.sd,none
hermes.moj.gov.sd,SSL certificate problem: certificate has expired,none
his.gov.sd,Resolving timed out after 3000 milliseconds,dig error
hlp.fmoh.gov.sd,Could not resolve host: hlp.fmoh.gov.sd,none
hped.smsb.gov.sd,Could not resolve host: hped.smsb.gov.sd,none
hpedc.smsb.gov.sd,Could not resolve host: hpedc.smsb.gov.sd,none
identity-us.www.moj.gov.sd,Could not resolve host: identity-us.www.moj.gov.sd,none
imap.moj.gov.sd,SSL certificate problem: certificate has expired,none
imap1.sji.gov.sd,SSL certificate problem: certificate has expired,dig error
imap2.sji.gov.sd,SSL certificate problem: certificate has expired,none
ipsudan.gov.sd,SSL certificate problem: certificate has expired,10 mail.ipsudan.gov.sd.
irsec.gov.sd,Could not resolve host: irsec.gov.sd,dig error
irshad.gov.sd,Resolving timed out after 3001 milliseconds,dig error
isd.gov.sd,Resolving timed out after 3001 milliseconds,dig error
jowda.tpra.gov.sd,Resolving timed out after 3002 milliseconds,dig error
kassalamfi.gov.sd,Could not resolve host: kassalamfi.gov.sd,dig error
kassalamof.gov.sd,Resolving timed out after 3001 milliseconds,dig error
kassalatv.gov.sd,Could not resolve host: kassalatv.gov.sd,none
khartoum.gov.sd,Resolving timed out after 3001 milliseconds,dig error
khbuilding.gov.sd,Resolving timed out after 3001 milliseconds,dig error
khplan.gov.sd,Resolving timed out after 3001 milliseconds,dig error
kibfsudan.gov.sd,Could not resolve host: kibfsudan.gov.sd,none
kobo.cbs.gov.sd,Resolving timed out after 3001 milliseconds,dig error
kssc.gov.sd,Resolving timed out after 3002 milliseconds,dig error
lcons.gov.sd,Resolving timed out after 3001 milliseconds,dig error
lms.smsb.gov.sd,Could not resolve host: lms.smsb.gov.sd,none
lync.smsb.gov.sd,Could not resolve host: lync.smsb.gov.sd,none
lyncdiscover.smsb.gov.sd,Could not resolve host: lyncdiscover.smsb.gov.sd,none
mail.agrinorthern.gov.sd,Could not resolve host: mail.agrinorthern.gov.sd,none
mail.bgaim.gov.sd,Could not resolve host: mail.bgaim.gov.sd,none
mail.cabinet.gov.sd,Resolving timed out after 3002 milliseconds,dig error
mail.ciasa.gov.sd,Could not resolve host: mail.ciasa.gov.sd,none
mail.das.gov.sd,Could not resolve host: mail.das.gov.sd,none
mail.diu.gov.sd,Could not resolve host: mail.diu.gov.sd,none
mail.ejckh.gov.sd,Could not resolve host: mail.ejckh.gov.sd,none
mail.exinfo.gov.sd,Could not resolve host: mail.exinfo.gov.sd,dig error
mail.gafe.gov.sd,SSL certificate problem: self-signed certificate,0 gafe.gov.sd.
mail.gmoe.gov.sd,Could not resolve host: mail.gmoe.gov.sd,0 gmoe.gov.sd.
mail.halalsudan.gov.sd,Resolving timed out after 3001 milliseconds,none
mail.ipsudan.gov.sd,Could not resolve host: mail.ipsudan.gov.sd,none
mail.kassalamfi.gov.sd,Could not resolve host: mail.kassalamfi.gov.sd,none
mail.kassalatv.gov.sd,Could not resolve host: mail.kassalatv.gov.sd,none
mail.kibfsudan.gov.sd,Could not resolve host: mail.kibfsudan.gov.sd,none
mail.merowedam.gov.sd,Could not resolve host: mail.merowedam.gov.sd,none
mail.mfa.gov.sd,Could not resolve host: mail.mfa.gov.sd,none
mail.mga.gov.sd,Resolving timed out after 3001 milliseconds,dig error
mail.mofa.gov.sd,Could not resolve host: mail.mofa.gov.sd,none
mail.moj.gov.sd,Could not resolve host: mail.moj.gov.sd,none
mail.motrb.gov.sd,Resolving timed out after 3001 milliseconds,dig error
mail.ncgld.gov.sd,Could not resolve host: mail.ncgld.gov.sd,none
mail.nmpb.gov.sd,Could not resolve host: mail.nmpb.gov.sd,0 nmpb.gov.sd.
mail.nmsf.gov.sd,Could not resolve host: mail.nmsf.gov.sd,none
mail.ocewc.gov.sd,Resolving timed out after 3001 milliseconds,none
mail.ogs.gov.sd,301,0 ogs.gov.sd.
mail.policetraining.gov.sd,Could not resolve host: mail.policetraining.gov.sd,none
mail.presidency.gov.sd,Could not resolve host: mail.presidency.gov.sd,none
mail.roseiresdam.gov.sd,Could not resolve host: mail.roseiresdam.gov.sd,none
mail.rsf.gov.sd,Could not resolve host: mail.rsf.gov.sd,0 rsf.gov.sd.
mail.rssa.gov.sd,SSL: no alternative certificate subject name matches target hostname 'mail.rssa.gov.sd',none
mail.sgcrtvt.gov.sd,Could not resolve host: mail.sgcrtvt.gov.sd,none
mail.sji.gov.sd,200,none
mail.smsb.gov.sd,Could not resolve host: mail.smsb.gov.sd,none
mail.social-affairs-rs.gov.sd,Could not resolve host: mail.social-affairs-rs.gov.sd,none
mail.sri.gov.sd,Resolving timed out after 3001 milliseconds,dig error
mail.sudamin.gov.sd,Resolving timed out after 3001 milliseconds,none
mail.tpra.gov.sd,SSL: no alternative certificate subject name matches target hostname 'mail.tpra.gov.sd',none
mail.union.gov.sd,SSL: no alternative certificate subject name matches target hostname 'mail.union.gov.sd',none
mail.webmail.moj.gov.sd,Could not resolve host: mail.webmail.moj.gov.sd,none
mail.westdarfur.gov.sd,SSL: no alternative certificate subject name matches target hostname 'mail.westdarfur.gov.sd',none
mail.wki.gov.sd,Could not resolve host: mail.wki.gov.sd,none
mail.www.moj.gov.sd,Could not resolve host: mail.www.moj.gov.sd,none
mail.www.sji.gov.sd,Could not resolve host: mail.www.sji.gov.sd,none
mail.zakat-chamber.gov.sd,Operation timed out after 3001 milliseconds with 0 bytes received,none
mail.zakatalgadarif.gov.sd,Could not resolve host: mail.zakatalgadarif.gov.sd,none
mail.zakatcompanies.gov.sd,Could not resolve host: mail.zakatcompanies.gov.sd,none
mail.zakatkassala.gov.sd,Resolving timed out after 3002 milliseconds,none
mail01.moj.gov.sd,SSL certificate problem: certificate has expired,none
mail1.sji.gov.sd,SSL certificate problem: certificate has expired,none
mail2.moj.gov.sd,Could not resolve host: mail2.moj.gov.sd,none
mail3.moj.gov.sd,SSL certificate problem: certificate has expired,none
mail3.sji.gov.sd,SSL certificate problem: certificate has expired,none
mail4.moj.gov.sd,SSL certificate problem: certificate has expired,none
mail9.moj.gov.sd,SSL certificate problem: certificate has expired,none
mailbox.moj.gov.sd,SSL certificate problem: certificate has expired,none
mailer.moj.gov.sd,SSL certificate problem: certificate has expired,none
mailgate.sji.gov.sd,SSL certificate problem: certificate has expired,none
mailout.moj.gov.sd,Could not resolve host: mailout.moj.gov.sd,none
mailrelay.moj.gov.sd,SSL certificate problem: certificate has expired,none
mailx.moj.gov.sd,SSL certificate problem: certificate has expired,none
mailx.sji.gov.sd,SSL certificate problem: certificate has expired,none
maps.pttracking.gov.sd,Connection timed out after 3002 milliseconds,none
mcit.gov.sd,Resolving timed out after 3000 milliseconds,none
medanilocality.gov.sd,Resolving timed out after 3000 milliseconds,dig error
meet.smsb.gov.sd,Could not resolve host: meet.smsb.gov.sd,none
mepd.gov.sd,Resolving timed out after 3000 milliseconds,none
merowedam.gov.sd,Could not resolve host: merowedam.gov.sd,none
mga.gov.sd,Resolving timed out after 3000 milliseconds,none
mgsd-krt.gov.sd,Could not resolve host: mgsd-krt.gov.sd,none
moc.gov.sd,Resolving timed out after 3000 milliseconds,dig error
mocmtns.gov.sd,Resolving timed out after 3000 milliseconds,dig error
mod-api.mod.gov.sd,Could not resolve host: mod-api.mod.gov.sd,none
mod.gov.sd,Could not resolve host: mod.gov.sd,10 mail.mod.gov.sd.
moendarfur.gov.sd,Resolving timed out after 3000 milliseconds,none
mofa.gov.sd,Resolving timed out after 3000 milliseconds,none
moj.gov.sd,200,10 mail.moj.gov.sd.
motrb.gov.sd,Resolving timed out after 3000 milliseconds,dig error
ms.moj.gov.sd,SSL certificate problem: certificate has expired,none
mx0.moj.gov.sd,SSL certificate problem: certificate has expired,none
mx0.sji.gov.sd,SSL certificate problem: certificate has expired,none
mx01.moj.gov.sd,SSL certificate problem: certificate has expired,none
mx10.moj.gov.sd,SSL certificate problem: certificate has expired,none
mx2.sji.gov.sd,SSL certificate problem: certificate has expired,none
