subdomain,mx
7100.moiat.gov.sd,dig error
aapc.gov.sd,dig error
aciu.gov.sd,dig error
admin.agrinorthern.gov.sd,dig error
adminno.agrinorthern.gov.sd,none
afaq-mofa.gov.sd,dig error
afaq.mofa.gov.sd,dig error
agri-khs.gov.sd,dig error
agrinorthern.gov.sd,dig error
aitc.nmsf.gov.sd,none
algolid.gov.sd,dig error
aman.mlsd.gov.sd,none
autodiscover.ciasa.gov.sd,none
autodiscover.gafe.gov.sd,none
autodiscover.halalsudan.gov.sd,dig error
autodiscover.moj.gov.sd,none
autodiscover.ogs.gov.sd,dig error
autodiscover.rsf.gov.sd,none
autodiscover.rssa.gov.sd,dig error
autodiscover.sgcrtvt.gov.sd,none
autodiscover.smsb.gov.sd,dig error
autodiscover.sudamin.gov.sd,dig error
autodiscover.union.gov.sd,dig error
autodiscover.zakat-chamber.gov.sd,none
autodiscover.zakatcompanies.gov.sd,none
autodiscover.zakatkassala.gov.sd,dig error
bahry.gov.sd,dig error
bara.gov.sd,dig error
barawest.gov.sd,dig error
barracuda.moj.gov.sd,none
bgaim.gov.sd,none
blog.moj.gov.sd,none
bluenilestate.gov.sd,dig error
box.moj.gov.sd,none
cabinet.gov.sd,dig error
cabinetdiscussion.gov.sd,dig error
cbos.gov.sd,10 smfw.cbos.gov.sd.
center.ogs.gov.sd,none
ciasa.gov.sd,dig error
community.moj.gov.sd,none
cpanel.agrinorthern.gov.sd,none
cpanel.bgaim.gov.sd,dig error
cpanel.ciasa.gov.sd,none
cpanel.diu.gov.sd,dig error
cpanel.gafe.gov.sd,dig error
cpanel.halalsudan.gov.sd,dig error
cpanel.kassalamfi.gov.sd,none
cpanel.kibfsudan.gov.sd,dig error
cpanel.merowedam.gov.sd,dig error
cpanel.nmpb.gov.sd,none
cpanel.nmsf.gov.sd,none
cpanel.ocewc.gov.sd,dig error
cpanel.ogs.gov.sd,none
cpanel.roseiresdam.gov.sd,none
cpanel.rsf.gov.sd,none
cpanel.rssa.gov.sd,none
cpanel.sgcrtvt.gov.sd,none
cpanel.smsb.gov.sd,none
cpanel.sudamin.gov.sd,dig error
cpanel.union.gov.sd,dig error
cpanel.zakat-chamber.gov.sd,0 mail.zakat-chamber.gov.sd.
cpanel.zakatalgadarif.gov.sd,none
cpanel.zakatcompanies.gov.sd,0 mail.zakatcompanies.gov.sd.
cpanel.zakatkassala.gov.sd,dig error
cpcalendars.kassalamfi.gov.sd,dig error
cpcalendars.rssa.gov.sd,dig error
cpcalendars.sgcrtvt.gov.sd,dig error
cpcalendars.union.gov.sd,dig error
cpcalendars.zakat-chamber.gov.sd,dig error
cpcontacts.kassalamfi.gov.sd,dig error
cpcontacts.rssa.gov.sd,dig error
cpcontacts.sgcrtvt.gov.sd,dig error
cpcontacts.union.gov.sd,none
cpcontacts.zakat-chamber.gov.sd,none
cspc.gov.sd,dig error
das.gov.sd,dig error
dialin.smsb.gov.sd,none
diaspora.smsb.gov.sd,none
dinder.gov.sd,none
diu.gov.sd,none
edf.gov.sd,none
edukh.gov.sd,dig error
ejckh.gov.sd,none
elgabalinnile.gov.sd,dig error
email.moj.gov.sd,none
eservices.motrb.gov.sd,dig error
eservices.ntc.gov.sd,none
eservices.tpra.gov.sd,none
esudan.gov.sd,dig error
exinfo.gov.sd,none
f03-web01.nic.gov.sd,none
f03-web04.nic.gov.sd,none
f05-web03.nic.gov.sd,none
familymedicine.gov.sd,dig error
fcpu.gov.sd,dig error
ffamc.gov.sd,dig error
fgc.gov.sd,dig error
fiu.gov.sd,10 mail.fiu.gov.sd.
fmoh.gov.sd,10 mail.fmoh.gov.sd.
forum.moj.gov.sd,none
forums.moj.gov.sd,none
ftp.moj.gov.sd,none
fw.smsb.gov.sd,none
gabra.gov.sd,dig error
gadarifstate.gov.sd,dig error
gafe.com.gafe.gov.sd,none
gafe.gov.sd,0 gafe.gov.sd.
gateway.moj.gov.sd,none
genswed.moj.gov.sd,none
gezirainvest.gov.sd,dig error
gmoe.gov.sd,0 gmoe.gov.sd.
gov.sd,none
guide.agrinorthern.gov.sd,none
halalsudan.gov.sd,none
hcsp.gov.sd,none
hermes.moj.gov.sd,none
his.gov.sd,dig error
hlp.fmoh.gov.sd,none
hped.smsb.gov.sd,none
hpedc.smsb.gov.sd,none
identity-us.www.moj.gov.sd,none
imap.moj.gov.sd,none
imap1.sji.gov.sd,dig error
imap2.sji.gov.sd,none
ipsudan.gov.sd,10 mail.ipsudan.gov.sd.
irsec.gov.sd,dig error
irshad.gov.sd,dig error
isd.gov.sd,dig error
jowda.tpra.gov.sd,dig error
kassalamfi.gov.sd,dig error
kassalamof.gov.sd,dig error
kassalatv.gov.sd,none
khartoum.gov.sd,dig error
khbuilding.gov.sd,dig error
khplan.gov.sd,dig error
kibfsudan.gov.sd,none
kobo.cbs.gov.sd,dig error
kssc.gov.sd,dig error
lcons.gov.sd,dig error
lms.smsb.gov.sd,none
lync.smsb.gov.sd,none
lyncdiscover.smsb.gov.sd,none
mail.agrinorthern.gov.sd,none
mail.bgaim.gov.sd,none
mail.cabinet.gov.sd,dig error
mail.ciasa.gov.sd,none
mail.das.gov.sd,none
mail.diu.gov.sd,none
mail.ejckh.gov.sd,none
mail.exinfo.gov.sd,dig error
mail.gafe.gov.sd,0 gafe.gov.sd.
mail.gmoe.gov.sd,0 gmoe.gov.sd.
mail.halalsudan.gov.sd,none
mail.ipsudan.gov.sd,none
mail.kassalamfi.gov.sd,none
mail.kassalatv.gov.sd,none
mail.kibfsudan.gov.sd,none
mail.merowedam.gov.sd,none
mail.mfa.gov.sd,none
mail.mga.gov.sd,dig error
mail.mofa.gov.sd,none
mail.moj.gov.sd,none
mail.motrb.gov.sd,dig error
mail.ncgld.gov.sd,none
mail.nmpb.gov.sd,0 nmpb.gov.sd.
mail.nmsf.gov.sd,none
mail.ocewc.gov.sd,none
mail.ogs.gov.sd,0 ogs.gov.sd.
mail.policetraining.gov.sd,none
mail.presidency.gov.sd,none
mail.roseiresdam.gov.sd,none
mail.rsf.gov.sd,0 rsf.gov.sd.
mail.rssa.gov.sd,none
mail.sgcrtvt.gov.sd,none
mail.sji.gov.sd,none
mail.smsb.gov.sd,none
mail.social-affairs-rs.gov.sd,none
mail.sri.gov.sd,dig error
mail.sudamin.gov.sd,none
mail.tpra.gov.sd,none
mail.union.gov.sd,none
mail.webmail.moj.gov.sd,none
mail.westdarfur.gov.sd,none
mail.wki.gov.sd,none
mail.www.moj.gov.sd,none
mail.www.sji.gov.sd,none
mail.zakat-chamber.gov.sd,none
mail.zakatalgadarif.gov.sd,none
mail.zakatcompanies.gov.sd,none
mail.zakatkassala.gov.sd,none
mail01.moj.gov.sd,none
mail1.sji.gov.sd,none
mail2.moj.gov.sd,none
mail3.moj.gov.sd,none
mail3.sji.gov.sd,none
mail4.moj.gov.sd,none
mail9.moj.gov.sd,none
mailbox.moj.gov.sd,none
mailer.moj.gov.sd,none
mailgate.sji.gov.sd,none
mailout.moj.gov.sd,none
mailrelay.moj.gov.sd,none
mailx.moj.gov.sd,none
mailx.sji.gov.sd,none
maps.pttracking.gov.sd,none
mcit.gov.sd,none
medanilocality.gov.sd,dig error
meet.smsb.gov.sd,none
mepd.gov.sd,none
merowedam.gov.sd,none
mga.gov.sd,none
mgsd-krt.gov.sd,none
moc.gov.sd,dig error
mocmtns.gov.sd,dig error
mod-api.mod.gov.sd,none
mod.gov.sd,10 mail.mod.gov.sd.
moendarfur.gov.sd,none
mofa.gov.sd,none
moj.gov.sd,10 mail.moj.gov.sd.
motrb.gov.sd,dig error
ms.moj.gov.sd,none
mx0.moj.gov.sd,none
mx0.sji.gov.sd,none
mx01.moj.gov.sd,none
mx10.moj.gov.sd,none
mx2.sji.gov.sd,none
