type,label,website,hostname,level
government_agency,embassy of Italy in Sudan,https://ambkhartoum.esteri.it,ambkhartoum.esteri.it,central
government_agency,Animal Production Research Center,https://www.aprc.sd,aprc.sd,
government_agency,embassy of Canada in Sudan,https://www.canadainternational.gc.ca/sudan-soudan,canadainternational.gc.ca,central
government_agency,embassy of Brazil in Sudan,http://cartum.itamaraty.gov.br,cartum.itamaraty.gov.br,central
government_agency,Bank of Sudan,http://www.cbos.gov.sd/en,cbos.gov.sd,
government_agency,Central Bureau of Statistics,http://cbs.gov.sd/,cbs.gov.sd,central
government_agency,Council of States,http://www.councilofstates.gov.sd/en/,councilofstates.gov.sd,central
government_agency,embassy of South Africa in Sudan,http://www.dirco.gov.za/Khartoum,dirco.gov.za,central
government_agency,embassy of Switzerland in Sudan,https://www.eda.admin.ch/khartoum,eda.admin.ch,central
government_agency,Delegation of the European Union to Sudan,https://eeas.europa.eu/delegations/sudan_en,eeas.europa.eu,
government_agency,"Embassy of Saudi Arabia, Khartoum",https://embassies.mofa.gov.sa/sites/sudan,embassies.mofa.gov.sa,central
government_agency,"Embassy of India, Khartoum",http://www.eoikhartoum.gov.in,eoikhartoum.gov.in,central
government_agency,Sudan Meteorological Authority,http://www.ersad.gov.sd/,ersad.gov.sd,
government_agency,"Embassy of Spain, Sudan",http://www.exteriores.gob.es/Embajadas/JARTUM,exteriores.gob.es,central
government_agency,British Embassy Khartoum,https://www.gov.uk/world/organisations/british-embassy-khartoum,gov.uk,central
government_agency,"embassy of Indonesia, Khartoum",https://kemlu.go.id/khartoum,kemlu.go.id,central
government_agency,"Embassy of Turkey, Khartoum",https://khartoum-emb.mfa.gov.tr,khartoum-emb.mfa.gov.tr,central
government_agency,embassy of Romania in Sudan,http://khartoum.mae.ro,khartoum.mae.ro,central
government_agency,"Embassy of Germany, Khartoum",https://khartum.diplo.de/,khartum.diplo.de,central
government_agency,Sudan Meteorological Authority,https://meteosudan.sd/,meteosudan.sd,
ministry,Ministry of Foreign Affairs of the Republic of Sudan,http://www.mfa.gov.sd/,mfa.gov.sd,
government_agency,Ministry of Foreign Affairs of the Republic of Sudan,http://www.mfa.gov.sd/,mfa.gov.sd,central
constitutional_court,Ministry of Foreign Affairs of the Republic of Sudan,http://www.mfa.gov.sd/,mfa.gov.sd,central
ministry,Ministry of Information,https://mininfo.gov.sd,mininfo.gov.sd,
government_agency,Ministry of Information,https://mininfo.gov.sd,mininfo.gov.sd,
government_agency,Ministry of Education,https://www.moe.gov.sd,moe.gov.sd,
ministry,Ministry of Education,https://www.moe.gov.sd,moe.gov.sd,
government_agency,Ministry of Finance,http://www.mof.gov.sd/,mof.gov.sd,central
ministry,Ministry of Finance,http://www.mof.gov.sd/,mof.gov.sd,
government_agency,Ministry of Higher Education and Scientific Research,http://www.mohe.gov.sd/index.php/en/,mohe.gov.sd,central
ministry,Ministry of Higher Education and Scientific Research,http://www.mohe.gov.sd/index.php/en/,mohe.gov.sd,
government_agency,Ministry of Energy and Petroleum (Sudan),http://www.mop.gov.sd/,mop.gov.sd,central
ministry,Ministry of Energy and Petroleum (Sudan),http://www.mop.gov.sd/,mop.gov.sd,
government_agency,"Embassy of Norway, Khartoum",https://www.norway.no/en/sudan,norway.no,central
government_agency,National Assembly,http://www.parliament.gov.sd,parliament.gov.sd,central
government_agency,National Assembly,http://www.parliament.gov.sd/en/index.php/site,parliament.gov.sd,central
government_agency,"Embassy of France, Khartoum",https://sd.ambafrance.org/,sd.ambafrance.org,central
government_agency,embassy of Japan in Sudan,https://www.sdn.emb-japan.go.jp,sdn.emb-japan.go.jp,central
government_agency,embassy of Russia in Sudan,https://sudan.mid.ru,sudan.mid.ru,central
government_agency,SudaPost,http://sudapost.sd,sudapost.sd,
government_agency,"Embassy of Sweden, Khartoum",https://www.swedenabroad.se/sv/utlandsmyndigheter/sudan-khartoum/,swedenabroad.se,central
government_agency,Telecommunications and Post Regulatory Authority,https://tpra.gov.sd/en,tpra.gov.sd,
government_agency,Telecommunications and Post Regulatory Authority,http://tpra.gov.sd/,tpra.gov.sd,
