hostname,score,sources,label,level
assemblee-nationale.sn,7,wikidata;wikidata,National Assembly,central
education.sn,7,wikidata;wikidata,Ministry of National Education of Senegal,central
mctn.sn,7,wikidata;wikidata,Ministry of Telecommunications and Digital Affairs of Senegal,central
escolapiesinstitutions.org,6,wikidata;wikidata,Piarist province of West Africa,
anacim.sn,4,wikidata,Agence Nationale de l'Aviation Civile du Sénégal,
ansd.sn,4,wikidata,Agence Nationale de la Statistique et de la Démographie,central
cena.sn,4,wikidata,National Autonomous Electoral Commission,central
conseilconstitutionnel.sn,4,wikidata,Q2993691,
dge.sn,4,wikidata,Q140275459,
douanes.sn,4,wikidata,Q140315305,
gendarmerie.sn,4,wikidata,Gendarmerie of Senegal,
hcct.sn,4,wikidata,Q121668717,
international.gouv.qc.ca,4,wikidata,general delegation of Quebec in Dakar,
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Dakar",central
onas.sn,4,wikidata,National Office for Sanitation of Senegal,
sip.sn,4,wikidata,Commune de Matam,
sn.usembassy.gov,4,wikidata,"Embassy of the United States, Dakar",central
statsenegal.sn,4,wikidata,Système Statistique National du Sénégal,
amba-senegal.ga,3,wikidata,Gabonese Embassy in Senegal,central
ambaburkina-sn.org,3,wikidata,embassy of Burkina Faso in Senegal,central
ambadak.org,3,wikidata,embassy of Madagascar in Senegal,central
ambasadat.net,3,wikidata,"Embassy of Kosovo, Dakar",central
bceao.int,3,wikidata,Central Bank of West African States,
cnls-senegal.org,3,wikidata,Conseil National de Lutte contre le sida du Sénégal,
dakar.diplo.de,3,wikidata,"Embassy of Germany, Dakar",central
dakar.mae.lu,3,wikidata,Q101444757,central
dakar.mae.ro,3,wikidata,"Embassy of Romania, Dakar",central
eeas.europa.eu,3,wikidata,Delegation of the European Union to Senegal,
exteriors.gencat.cat,3,wikidata,"Government Delegation of Catalonia, Dakar",central
facebook.com,3,wikidata,"Embassy of Malaysia, Dakar",central
finlandabroad.fi,3,wikidata,"Embassy of Finland, Dakar",central
gambiahcsenegal.com,3,wikidata,embassy of the Gambia in Senegal,central
grandemurailleverte.org,3,wikidata,Agence sénégalaise de la reforestation et de la Grande muraille verte,
mfa.gr,3,wikidata,embassy of Greece in Senegal,central
mzv.cz,3,wikidata,Embassy of the Czech Republic in Senegal,central
senegal.mid.ru,3,wikidata,embassy of Russia in Senegal,central
sn.ambafrance.org,3,wikidata,"Embassy of France, Dakar",central
mesrisenegal.sn,2,wikidata;wikidata;wikidata,"Ministry of Higher Education, Research and Innovation of Senegal | Q139297158",central
