subdomain,mx
2fa.hpb.gov.sg,none
access.ida.gov.sg,none
access.medinet.gov.sg,none
accessmsf.ida.gov.sg,none
account.cube.gov.sg,none
aceonline.mom.gov.sg,none
aceqbj.ace.gov.sg,none
aceqportal.ace.gov.sg,none
acra.gov.sg,60 mx3.sgict.gov.sg.; 20 mx1.sgict.gov.sg.; 50 mx4.sgict.gov.sg.; 10 mx2.sgict.gov.sg.
adfs.mccy.gov.sg,none
adfs.msf.gov.sg,none
admin.am4u.gov.sg,none
admin.cube.gov.sg,none
admin.pmo.gov.sg,none
admin.sites.cube.gov.sg,none
admin.sps.gov.sg,none
admin.stb.gov.sg,none
aduser.apadmin.gov.sg,none
aduser.uat-apadmin.gov.sg,none
aem.moe.gov.sg,none
aep.nac.gov.sg,none
afm-hcl-portal.sgnet.gov.sg,none
afm-ncs-itsm.sgnet.gov.sg,none
afm-ncs-portal.sgnet.gov.sg,none
afm-nec-itsm.sgnet.gov.sg,none
afm-nec-portal.sgnet.gov.sg,none
afm-nec-rdss.sgnet.gov.sg,none
agc.gov.sg,60 mx4.sgict.gov.sg.; 50 mx3.sgict.gov.sg.; 20 mx2.sgict.gov.sg.; 10 mx1.sgict.gov.sg.
agcvldb.agc.gov.sg,none
agd.gov.sg,60 mx3.sgict.gov.sg.; 20 mx1.sgict.gov.sg.; 10 mx2.sgict.gov.sg.; 50 mx4.sgict.gov.sg.
ago.gov.sg,10 mx1.sgict.gov.sg.; 60 mx4.sgict.gov.sg.; 50 mx3.sgict.gov.sg.; 20 mx2.sgict.gov.sg.
ahprs.moh.gov.sg,none
alternate-stg.ica.gov.sg,none
alternate.ica.gov.sg,none
alumni.scp.gov.sg,none
am4u.gov.sg,none
ams-stg.mfa.gov.sg,none
ams.mfa.gov.sg,none
ams.sgmfa.gov.sg,none
analytics.mci.gov.sg,none
analytics.sport.gov.sg,none
antispam.csit.gov.sg,none
apadmin.gov.sg,none
api.gov.sg,none
api.moe.gov.sg,none
