subdomain,http_status
api.iresource.gov.sb,Could not resolve host: api.iresource.gov.sb
app.customs.gov.sb,Failed to connect to app.customs.gov.sb port 443 after 651 ms: Could not connect to server
autodiscover.mof.gov.sb,Failed to connect to autodiscover.mof.gov.sb port 443 after 407 ms: Could not connect to server
autodiscover.mwycfa.gov.sb,Failed to connect to autodiscover.mwycfa.gov.sb port 443 after 393 ms: Could not connect to server
autodiscover.ntf.gov.sb,SSL: no alternative certificate subject name matches target hostname 'autodiscover.ntf.gov.sb'
autodiscover.parliament.gov.sb,302
autodiscover.reddplussolomonislands.gov.sb,Could not resolve host: autodiscover.reddplussolomonislands.gov.sb
autodiscover.sieiti.gov.sb,400
autodiscover.sig.gov.sb,Failed to connect to autodiscover.sig.gov.sb port 443 after 598 ms: Could not connect to server
autodiscover.sima.gov.sb,Failed to connect to autodiscover.sima.gov.sb port 443 after 106 ms: Could not connect to server
biosecurity.gov.sb,301
caasi.gov.sb,200
citrix.sig.gov.sb,404
commerce.gov.sb,200
cpanel.mwycfa.gov.sb,Could not resolve host: cpanel.mwycfa.gov.sb
cpanel.ntf.gov.sb,SSL: no alternative certificate subject name matches target hostname 'cpanel.ntf.gov.sb'
cpanel.reddplussolomonislands.gov.sb,200
cpanel.sieiti.gov.sb,200
cpanel.sima.gov.sb,200
cpcalendars.mwycfa.gov.sb,Could not resolve host: cpcalendars.mwycfa.gov.sb
cpcalendars.ntf.gov.sb,SSL: no alternative certificate subject name matches target hostname 'cpcalendars.ntf.gov.sb'
cpcalendars.reddplussolomonislands.gov.sb,503
cpcalendars.sieiti.gov.sb,503
cpcalendars.sima.gov.sb,301
cpcontacts.mwycfa.gov.sb,Could not resolve host: cpcontacts.mwycfa.gov.sb
cpcontacts.ntf.gov.sb,SSL: no alternative certificate subject name matches target hostname 'cpcontacts.ntf.gov.sb'
cpcontacts.reddplussolomonislands.gov.sb,503
cpcontacts.sieiti.gov.sb,503
cpcontacts.sima.gov.sb,301
customs.gov.sb,200
digital.iresource.gov.sb,Could not resolve host: digital.iresource.gov.sb
discuss.iresource.gov.sb,Could not resolve host: discuss.iresource.gov.sb
dspace.iresource.gov.sb,Could not resolve host: dspace.iresource.gov.sb
egate.sima.gov.sb,200
etax.ird.gov.sb,200
fisheries.gov.sb,SSL: no alternative certificate subject name matches target hostname 'fisheries.gov.sb'
gp.sisnet.gov.sb,TLS connect error: error:0A000152:SSL routines::unsafe legacy renegotiation disabled
hgw1.sisnet.gov.sb,TLS connect error: error:0A000152:SSL routines::unsafe legacy renegotiation disabled
investsolomon.gov.sb,Could not resolve host: investsolomon.gov.sb
investsolomons.gov.sb,302
ird.gov.sb,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
iresource.gov.sb,SSL certificate problem: self-signed certificate
labour.gov.sb,301
lands.gov.sb,301
lawreform.gov.sb,301
link.sima.gov.sb,Could not resolve host: link.sima.gov.sb
mail.mwycfa.gov.sb,Could not resolve host: mail.mwycfa.gov.sb
mail.ntf.gov.sb,SSL: no alternative certificate subject name matches target hostname 'mail.ntf.gov.sb'
mail.parliament.gov.sb,302
mail.reddplussolomonislands.gov.sb,Could not resolve host: mail.reddplussolomonislands.gov.sb
mail.sieiti.gov.sb,200
mail.sig.gov.sb,Could not resolve host: mail.sig.gov.sb
mail.sima.gov.sb,Could not resolve host: mail.sima.gov.sb
mailserver.mof.gov.sb,Could not resolve host: mailserver.mof.gov.sb
mailserver.pmc.gov.sb,Could not resolve host: mailserver.pmc.gov.sb
