hostname,http_status,mx
ambalgserbia.rs,301,0 ambalgserbia.rs.
angolaembassy.org.rs,403,none
apv-nauka.ns.ac.rs,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching apv-nauka.ns.ac.rs found.,none
arhivsrbije.rs,200,10 smtp.gov.rs.
belgrad.diplo.de,200,10 mx2.bund.de.; 10 mx1.bund.de.
belgrad.mae.ro,503,none
belgrad.mfa.gov.hu,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
belgrade.embassy.qa,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
belgrade.embassy.si,SSLHandshakeException: Remote host terminated the handshake,none
bezbednost.org,200,10 bezbednost-org.mail.protection.outlook.com.
cpn.rs,301,1 SMTP.GOOGLE.COM.
csrns.org.rs,301,10 mailgw.mts.rs.
dmdm.rs,ConnectException,10 mail.dmdm.rs.; 10 mail-dmdm.dmdm.rs.
drcongo-embassy.rs,403,none
eeas.europa.eu,200,10 mxa-00338601.gslb.pphosted.com.; 10 mxb-00338601.gslb.pphosted.com.
finlandabroad.fi,301,10 mail.valtori.fi.
inovacionifond.rs,302,10 mail.inovacionifond.rs.
institutjosifpancic.rs,200,0 institutjosifpancic.rs.
instytutpolski.pl,IOException: Received RST_STREAM: Internal error,10 mx1.instytutpolski.pl.
ipn.bg.ac.rs,301,0 ipn.bg.ac.rs.
isj.sanu.ac.rs,HttpConnectTimeoutException: HTTP connect timed out,10 afrodita.rcub.bg.ac.rs.
isusovci.hr,301,1 ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.
mfa.bg,302,0 mfa-bg.mail.protection.outlook.com.
mfa.gr,403,10 mailhost.mfa.gr.
mofaic.gov.ae,IOException: HTTP/1.1 header parser received no bytes,10 smartmail1.fednet.gov.ae.; 20 smartmail2.fednet.gov.ae.
mzv.cz,302,50 mzvczemta05.mzv.cz.; 10 mzvczemta06.mzv.cz.
mzv.sk,301,10 mail.gov.sk.
nb.rs,200,10 mail.nb.rs.
nbleskovac.rs,301,0 nbleskovac.rs.
nbs.rs,302,50 mailgw.mts.rs.
norway.no,301,0 mx.domeneshop.no.
orderofmalta.org.rs,429,1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
plovput.rs,200,0 plovput.rs.
ratel.rs,308,10 gateway1.ratel.rs.
rs.ambafrance.org,301,none
rs.chineseembassy.org,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching rs.chineseembassy.org found.,none
rs.mvep.hr,ConnectException,none
serbia.mid.ru,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
serbien.ahk.de,302,none
serbien.um.dk,301,none
smatsa.rs,200,5 mail.smatsa.rs.; 10 maill.smatsa.rs.
solidarnost.org.rs,500,none
swedenabroad.com,301,none
tok.jt.rs,200,10 smtp.gov.rs.
up.sud.rs,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 smtp.gov.rs.
upravacarina.rs,HttpConnectTimeoutException: HTTP connect timed out,10 beg-fw1.upravacarina.rs.
ustavni.sud.rs,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 smtp.gov.rs.
vip.org.rs,301,none
vk.sud.rs,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 smtp.gov.rs.
vs.rs,200,10 mail.vs.rs.
zjz.org.rs,301,0 zjz.org.rs.
zzps.rs,200,10 mailgw.mts.rs.
