subdomain,http_status
cpcalendars.usaf.gov.ss,"Could not resolve host: cpcalendars.usaf.gov.ss"
cpanel.modva.gov.ss,"Could not resolve host: cpanel.modva.gov.ss"
autodiscover.usaf.gov.ss,"Failed to connect to autodiscover.usaf.gov.ss port 443 after 143 ms: Could not connect to server"
autodiscover.meaca.gov.ss,"Could not resolve host: autodiscover.meaca.gov.ss"
cpcalendars.modva.gov.ss,"Could not resolve host: cpcalendars.modva.gov.ss"
cpanel.meaca.gov.ss,"Could not resolve host: cpanel.meaca.gov.ss"
app.eservices.gov.ss,"302"
autodiscover.modva.gov.ss,"Could not resolve host: autodiscover.modva.gov.ss"
app.nra.gov.ss,"200"
cpcalendars.mohest.gov.ss,"Could not resolve host: cpcalendars.mohest.gov.ss"
cpcalendars.meaca.gov.ss,"Could not resolve host: cpcalendars.meaca.gov.ss"
cpcontacts.meaca.gov.ss,"Could not resolve host: cpcontacts.meaca.gov.ss"
cpcontacts.modva.gov.ss,"Could not resolve host: cpcontacts.modva.gov.ss"
aims.mofp.gov.ss,"Could not resolve host: aims.mofp.gov.ss"
business.eservices.gov.ss,"500"
eservices.gov.ss,"Could not resolve host: eservices.gov.ss"
ecustoms.nra.gov.ss,"302"
bossp.eservices.gov.ss,"SSL certificate problem: certificate has expired"
fiu.eservices.gov.ss,"Could not resolve host: fiu.eservices.gov.ss"
autodiscover.ssnbs.gov.ss,"Failed to connect to autodiscover.ssnbs.gov.ss port 443 after 395 ms: Could not connect to server"
etax.nra.gov.ss,"200"
cpcalendars.ssnbs.gov.ss,"Could not resolve host: cpcalendars.ssnbs.gov.ss"
design.mwct.gov.ss,"200"
cpanel.mwct.gov.ss,"200"
cpcontacts.mohest.gov.ss,"401"
immigration.eservices.gov.ss,"Could not resolve host: immigration.eservices.gov.ss"
api1.aims.mofp.gov.ss,"Could not resolve host: api1.aims.mofp.gov.ss"
ftp.mwct.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'ftp.mwct.gov.ss'"
autodiscover.mohest.gov.ss,"400"
immigration2.eservices.gov.ss,"Could not resolve host: immigration2.eservices.gov.ss"
companies.mol.gov.ss,"SSL certificate problem: unable to get local issuer certificate"
api.sscaa.eservices.gov.ss,"SSL certificate problem: certificate has expired"
cpanel.nc-ph-5332.nec.gov.ss,"Could not resolve host: cpanel.nc-ph-5332.nec.gov.ss"
cms.nra.gov.ss,"200"
cpanel.sspf.gov.ss,"Could not resolve host: cpanel.sspf.gov.ss"
cpcontacts.usaf.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'cpcontacts.usaf.gov.ss'"
cpanel.usaf.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'cpanel.usaf.gov.ss'"
cpcontacts.sspf.gov.ss,"Could not resolve host: cpcontacts.sspf.gov.ss"
mail.meaca.gov.ss,"Could not resolve host: mail.meaca.gov.ss"
aimsapi.mofp.gov.ss,"200"
cpanel.mohest.gov.ss,"200"
autodiscover.statehouse.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.statehouse.gov.ss'"
mail.modva.gov.ss,"Could not resolve host: mail.modva.gov.ss"
accounts.eservices.gov.ss,"200"
mail.mictps.gov.ss,"301"
cpanel.statehouse.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'cpanel.statehouse.gov.ss'"
careers.nca.gov.ss,"302"
cpcalendars.mop.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'cpcalendars.mop.gov.ss'"
mail.mwct.gov.ss,"Could not resolve host: mail.mwct.gov.ss"
cpcalendars.nc-ph-5332.nec.gov.ss,"Could not resolve host: cpcalendars.nc-ph-5332.nec.gov.ss"
cpanel.mwri.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'cpanel.mwri.gov.ss'"
customs.eservices.gov.ss,"200"
brs.eservices.gov.ss,"200"
mail.sscaa.eservices.gov.ss,"Could not resolve host: mail.sscaa.eservices.gov.ss"
clean.nec.gov.ss,"Could not resolve host: clean.nec.gov.ss"
mafs.gov.ss,"200"
evisa.gov.ss,"200"
apply.nca.gov.ss,"400"
cpcalendars.mopaudits.gov.ss,"Could not resolve host: cpcalendars.mopaudits.gov.ss"
meaca.gov.ss,"Could not resolve host: meaca.gov.ss"
modva.gov.ss,"Could not resolve host: modva.gov.ss"
cpcontacts.mopaudits.gov.ss,"Could not resolve host: cpcontacts.mopaudits.gov.ss"
autodiscover.nc-ph-5332.nec.gov.ss,"Could not resolve host: autodiscover.nc-ph-5332.nec.gov.ss"
mail.mwri.gov.ss,"Could not resolve host: mail.mwri.gov.ss"
apply.nca.nca.gov.ss,"Could not resolve host: apply.nca.nca.gov.ss"
ipv6.nc-ph-5332.nec.gov.ss,"Could not resolve host: ipv6.nc-ph-5332.nec.gov.ss"
cpanel.mop.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'cpanel.mop.gov.ss'"
etaxsupport.eservices.gov.ss,"200"
abyei.gov.ss,"200"
cpcontacts.mop.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'cpcontacts.mop.gov.ss'"
lakes.gov.ss,"404"
cpcalendars.sspf.gov.ss,"Could not resolve host: cpcalendars.sspf.gov.ss"
cpanel.ssnbs.gov.ss,"200"
health-dashboard.eservices.gov.ss,"401"
mail.mop.gov.ss,"Could not resolve host: mail.mop.gov.ss"
cpcontacts.nc-ph-5332.nec.gov.ss,"Could not resolve host: cpcontacts.nc-ph-5332.nec.gov.ss"
cpanel.mopaudits.gov.ss,"Could not resolve host: cpanel.mopaudits.gov.ss"
cpcontacts.ssnbs.gov.ss,"401"
home1.nec.gov.ss,"Could not resolve host: home1.nec.gov.ss"
health.eservices.gov.ss,"200"
ec.presidency.gov.ss,"Could not resolve host: ec.presidency.gov.ss"
autoconfig.nc-ph-5332.nec.gov.ss,"Could not resolve host: autoconfig.nc-ph-5332.nec.gov.ss"
autodiscover.ssprc.gov.ss,"400"
investment.eservices.gov.ss,"200"
mojca.gov.ss,"Could not resolve host: mojca.gov.ss"
cdc.gov.ss,"200"
cpanel.mhadm.gov.ss,"Could not resolve host: cpanel.mhadm.gov.ss"
mail.usaf.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'mail.usaf.gov.ss'"
ftp.sspf.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'ftp.sspf.gov.ss'"
cpcontacts.mhadm.gov.ss,"Could not resolve host: cpcontacts.mhadm.gov.ss"
mail.mohest.gov.ss,"200"
mop.gov.ss.bastrading.co.uk,"Could not resolve host: mop.gov.ss.bastrading.co.uk"
ftp.mwri.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'ftp.mwri.gov.ss'"
helpdesk.boss.gov.ss,"403"
mopaudits.gov.ss.bastrading.co.uk,"Could not resolve host: mopaudits.gov.ss.bastrading.co.uk"
mohest.gov.ss,"200"
nc-ph-3574.boss.gov.ss,"Could not resolve host: nc-ph-3574.boss.gov.ss"
autodiscover.mopaudits.gov.ss,"Could not resolve host: autodiscover.mopaudits.gov.ss"
autodiscover.sspf.gov.ss,"Could not resolve host: autodiscover.sspf.gov.ss"
mail.nphl.moh.gov.ss,"Could not resolve host: mail.nphl.moh.gov.ss"
nec.gov.ss,"Could not resolve host: nec.gov.ss"
mom.gov.ss,"200"
