subdomain,mx
abss.gov.ss,dig error
abyei.gov.ss,0 abyei.gov.ss.
access.ssma.gov.ss,none
accounts.eservices.gov.ss,none
aims.mofp.gov.ss,none
aimsapi.mofp.gov.ss,none
api.sscaa.eservices.gov.ss,none
api1.aims.mofp.gov.ss,none
app.eservices.gov.ss,none
app.nra.gov.ss,10 mx.zoho.com.; 50 mx3.zoho.com.; 20 mx2.zoho.com.
apply.nca.gov.ss,none
apply.nca.nca.gov.ss,none
autoconfig.nc-ph-3574.boss.gov.ss,dig error
autoconfig.nc-ph-5332.nec.gov.ss,none
autodiscover.meaca.gov.ss,none
autodiscover.mhadm.gov.ss,none
autodiscover.modva.gov.ss,none
autodiscover.mohest.gov.ss,none
autodiscover.mop.gov.ss,none
autodiscover.mopaudits.gov.ss,none
autodiscover.nc-ph-3574.boss.gov.ss,none
autodiscover.nc-ph-5332.nec.gov.ss,none
autodiscover.ssnbs.gov.ss,none
autodiscover.sspf.gov.ss,none
autodiscover.ssprc.gov.ss,none
autodiscover.statehouse.gov.ss,none
autodiscover.usaf.gov.ss,none
boss.gov.ss,0 boss-gov-ss.mail.protection.outlook.com.
bossp.eservices.gov.ss,none
brs.eservices.gov.ss,none
bsa.boss.gov.ss,none
business.eservices.gov.ss,none
careers.mol.gov.ss,none
careers.nca.gov.ss,none
cdc.gov.ss,none
ceg.gov.ss,none
cirt.gov.ss,0 cirt-gov-ss.mail.protection.outlook.com.
clean.nec.gov.ss,none
cms.nra.gov.ss,none
companies.mol.gov.ss,0 companies.mol.gov.ss.
cpanel.ceg.gov.ss,none
cpanel.meaca.gov.ss,none
cpanel.mhadm.gov.ss,none
cpanel.modva.gov.ss,none
cpanel.mohest.gov.ss,none
cpanel.mop.gov.ss,none
cpanel.mopaudits.gov.ss,none
cpanel.mwct.gov.ss,none
cpanel.mwri.gov.ss,none
cpanel.nc-ph-3574.boss.gov.ss,none
cpanel.nc-ph-5332.nec.gov.ss,none
cpanel.ssnbs.gov.ss,none
cpanel.sspf.gov.ss,none
cpanel.ssprc.gov.ss,none
cpanel.statehouse.gov.ss,none
cpanel.usaf.gov.ss,none
cpcalendars.meaca.gov.ss,none
cpcalendars.mhadm.gov.ss,none
cpcalendars.modva.gov.ss,none
cpcalendars.mohest.gov.ss,none
cpcalendars.mop.gov.ss,none
cpcalendars.mopaudits.gov.ss,none
cpcalendars.nc-ph-3574.boss.gov.ss,none
cpcalendars.nc-ph-5332.nec.gov.ss,none
cpcalendars.ssnbs.gov.ss,none
cpcalendars.sspf.gov.ss,none
cpcalendars.ssprc.gov.ss,none
cpcalendars.usaf.gov.ss,none
cpcontacts.meaca.gov.ss,none
cpcontacts.mhadm.gov.ss,none
cpcontacts.modva.gov.ss,none
cpcontacts.mohest.gov.ss,none
cpcontacts.mop.gov.ss,none
cpcontacts.mopaudits.gov.ss,none
cpcontacts.nc-ph-3574.boss.gov.ss,none
cpcontacts.nc-ph-5332.nec.gov.ss,none
cpcontacts.ssnbs.gov.ss,none
cpcontacts.sspf.gov.ss,none
cpcontacts.ssprc.gov.ss,none
cpcontacts.usaf.gov.ss,none
cra.gov.ss,none
customs.eservices.gov.ss,none
demo.ssma.gov.ss,none
design.mwct.gov.ss,none
dev.etax.nra.gov.ss,none
dev2.etax.nra.gov.ss,none
ec.presidency.gov.ss,none
ecustoms.nra.gov.ss,none
eservices.gov.ss,10 mx.zoho.com.; 20 mx2.zoho.com.; 50 mx3.zoho.com.
etax.ceg.gov.ss,none
etax.nra.gov.ss,none
etaxsupport.eservices.gov.ss,none
