subdomain,mx
autodiscover.ad.gov.sr,none
autodiscover.atm.gov.sr,none
autodiscover.civd.gov.sr,dig error
autodiscover.defense.gov.sr,none
autodiscover.education.gov.sr,none
autodiscover.finance.gov.sr,none
autodiscover.foreignaffairs.gov.sr,dig error
autodiscover.gov.sr,none
autodiscover.health.gov.sr,none
autodiscover.homeaffairs.gov.sr,none
autodiscover.inspecdirbel.gov.sr,dig error
autodiscover.juspol.gov.sr,none
autodiscover.lvv.gov.sr,none
autodiscover.naturalresources.gov.sr,dig error
autodiscover.openbaarministerie.gov.sr,none
autodiscover.president.gov.sr,none
autodiscover.publicworks.gov.sr,none
autodiscover.regionaldevelopment.gov.sr,none
autodiscover.rgb.gov.sr,none
autodiscover.socialaffairs.gov.sr,none
autodiscover.sportandyouthaffairs.gov.sr,none
autodiscover.tct.gov.sr,none
autodiscover.tradeandindustry.gov.sr,none
autodiscover.vicepresident.gov.sr,none
buza-dev.gov.sr,none
buza.gov.sr,none
cabinetpresident.gov.sr,none
caricom.gov.sr,none
chs.gov.sr,none
clad.gov.sr,none
consulate.gov.sr,none
cpanel.gov.sr,none
cpanel.openbaarministerie.gov.sr,none
cpanel.rekenkamer.gov.sr,none
cpcalendars.rekenkamer.gov.sr,none
cpcontacts.rekenkamer.gov.sr,none
cybsafe.gov.sr,none
e-services.gov.sr,none
egov.gov.sr,none
finance.gov.sr,none
gov.sr,10 mailgwy.gov.sr.
gps.gov.sr,none
identity-provider.gov.sr,none
juspol.gov.sr,0 juspol-gov-sr.mail.protection.outlook.com.
kustwacht.gov.sr,none
lvv.gov.sr,none
mail.finance.gov.sr,none
mail.gov.sr,none
mail.openbaarministerie.gov.sr,none
mail.rekenkamer.gov.sr,none
mofa-dev.gov.sr,none
nv.gov.sr,none
ogm.gov.sr,0 ogm-gov-sr.mail.protection.outlook.com.
openbaarministerie.gov.sr,0 mail.openbaarministerie.gov.sr.
psa-api-dev.gov.sr,none
psa-api.gov.sr,none
psa-dev.gov.sr,none
psa.gov.sr,none
publicworks.gov.sr,none
rekenkamer.gov.sr,none
securemail.gov.sr,none
socialservices.gov.sr,none
tct.gov.sr,none
testmigratie.gov.sr,none
tmws.clad.gov.sr,none
vgwa.gov.sr,none
vicepresident.gov.sr,none
voedsel.gov.sr,none
webdisk.gov.sr,none
webdisk.openbaarministerie.gov.sr,none
webdisk.rekenkamer.gov.sr,none
webmail.finance.gov.sr,none
webmail.gov.sr,none
webmail.openbaarministerie.gov.sr,none
webmail.rekenkamer.gov.sr,none
www.finance.gov.sr,none
www.gov.sr,none
www.mail.finance.gov.sr,none
www.ogm.gov.sr,none
www.openbaarministerie.gov.sr,0 mail.openbaarministerie.gov.sr.
www.psa.gov.sr,none
www.rekenkamer.gov.sr,none
www.securemail.gov.sr,none
www.tmws.clad.gov.sr,none
www.vgwa.gov.sr,none
www.webmail.finance.gov.sr,none
