subdomain,parent_domain,http_status
adfs.culture.gov.sk,gov.sk,404
adfs.health.gov.sk,gov.sk,Could not resolve host: adfs.health.gov.sk
adfs.telecom.gov.sk,gov.sk,Could not resolve host: adfs.telecom.gov.sk
admin.telecom.gov.sk,gov.sk,TLS connect error: error:0A0000C6:SSL routines::packet length too long
adminer.gov.sk,gov.sk,Could not resolve host: adminer.gov.sk
antimon.gov.sk,gov.sk,Could not resolve host: antimon.gov.sk
apsk01.eessi-acc.gov.sk,gov.sk,Could not resolve host: apsk01.eessi-acc.gov.sk
apsk01.eessi.gov.sk,gov.sk,Could not resolve host: apsk01.eessi.gov.sk
archiv.vlada.gov.sk,gov.sk,Could not resolve host: archiv.vlada.gov.sk
arvd.gov.sk,gov.sk,Could not resolve host: arvd.gov.sk
aspr-report-test.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
aspr-report-test.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
aspr-report.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
aspr-report.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
aspr-test.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
aspr-test.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
aspr.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
aspr.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
autodiscover.culture.gov.sk,gov.sk,Could not resolve host: autodiscover.culture.gov.sk
autodiscover.economy.gov.sk,gov.sk,Could not resolve host: autodiscover.economy.gov.sk
autodiscover.employment.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
autodiscover.enviro.gov.sk,gov.sk,302
autodiscover.health.gov.sk,gov.sk,302
autodiscover.ip.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
autodiscover.mpsvr.gov.sk,gov.sk,302
autodiscover.mzp.enviro.gov.sk,gov.sk,302
autodiscover.nases.gov.sk,gov.sk,302
autodiscover.nbu.gov.sk,gov.sk,Failed to connect to autodiscover.nbu.gov.sk port 443 after 167 ms: Could not connect to server
autodiscover.pdp.gov.sk,gov.sk,302
autodiscover.telecom.gov.sk,gov.sk,302
autodiscover.teleoff.gov.sk,gov.sk,SSL certificate problem: unable to get local issuer certificate
autodiscover.upsvr.gov.sk,gov.sk,Connection timed out after 3001 milliseconds
autodiscover.vicepremier.gov.sk,gov.sk,302
autodiscover.vlada.gov.sk,gov.sk,302
bojprotikorupcii.gov.sk,gov.sk,301
bojprotikorupcii.vlada.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
bokku.gov.sk,gov.sk,200
ca.nases.gov.sk,gov.sk,404
cdp.nbu.gov.sk,gov.sk,403
cdp1.nbu.gov.sk,gov.sk,403
cdp2.nbu.gov.sk,gov.sk,403
central2014.gov.sk,gov.sk,Connection timed out after 3001 milliseconds
centraleurope.vlada.gov.sk,gov.sk,301
ceps.culture.gov.sk,gov.sk,200
cert.gov.sk,gov.sk,200
cipc.gov.sk,gov.sk,200
cko.vlada.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
connection.prezident.gov.sk,gov.sk,Could not resolve host: connection.prezident.gov.sk
cpv.vlada.gov.sk,gov.sk,Could not resolve host: cpv.vlada.gov.sk
crp.gov.sk,gov.sk,Could not resolve host: crp.gov.sk
crz.gov.sk,gov.sk,200
csirt.gov.sk,gov.sk,302
culture.gov.sk,gov.sk,Could not resolve host: culture.gov.sk
danube.vlada.gov.sk,gov.sk,301
danube2014.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
data.gov.sk,gov.sk,Could not resolve host: data.gov.sk
data.indprop.gov.sk,gov.sk,Could not resolve host: data.indprop.gov.sk
dataprotection.gov.sk,gov.sk,Operation timed out after 3001 milliseconds with 0 bytes received
dectvobeznasilia.gov.sk,gov.sk,302
detstvobeznasilia.gov.sk,gov.sk,200
dobrasprava.gov.sk,gov.sk,200
dobremesto.gov.sk,gov.sk,200
domino.indprop.gov.sk,gov.sk,Could not resolve host: domino.indprop.gov.sk
dotacie.vlada.gov.sk,gov.sk,200
ds.culture.gov.sk,gov.sk,302
dunajskastrategia.gov.sk,gov.sk,Could not resolve host: dunajskastrategia.gov.sk
dunajskastrategia.vlada.gov.sk,gov.sk,301
dusevnevlastnictvo.gov.sk,gov.sk,Could not resolve host: dusevnevlastnictvo.gov.sk
e-gender.gov.sk,gov.sk,Recv failure: Connexion ré-initialisée par le correspondant
eaws-test.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
eaws-test.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
eaws.finance.gov.sk,gov.sk,Could not resolve host: eaws.finance.gov.sk
eaws.vicepremier.gov.sk,gov.sk,Could not resolve host: eaws.vicepremier.gov.sk
