subdomain,mx
1ka.furs.gov.si,none
2445.obvestila.gov.si,10 mx.sqm-secure.eu.
4085.obvestila.gov.si,10 mx.sqm-secure.eu.
5125.obvestila.gov.si,10 mx.sqm-secure.eu.
5251.ess.gov.si,10 mx.sqm-secure.eu.
5251.obvestila.gov.si,10 mx.sqm-secure.eu.
acc.gov.si,none
acme-test.gov.si,none
acme-test.sigov.si,none
acme-test1.sigov.si,none
acme-test2.sigov.si,none
admin.muza.gov.si,none
aeoi.fu.gov.si,none
agromet.mkgp.gov.si,none
alerts.isl.gov.si,none
am-sola.gov.si,none
am.gov.si,none
ankete.ess.gov.si,none
ankete.gov.si,none
anon.jep.gov.si,none
api-int.msc.arso.gov.si,none
api.msc.arso.gov.si,none
apis-g-test.arso.gov.si,none
apis-g.arso.gov.si,none
apl.ars.gov.si,none
apl.ess.gov.si,none
appl.sigov-ca.gov.si,none
apps.ess.gov.si,none
arhiv-spletisc.gov.si,none
arhiv.mm.gov.si,none
arr.gov.si,none
arrs.gov.si,none
ars.gov.si,none
arsktrp-mlkp.gov.si,none
arsktrp-mlkt.gov.si,none
arso.gov.si,10 hmljs.arso.gov.si.
as2.ujp.gov.si,none
auth-cixp-si.gov.si,none
auth-cixpstag-si.gov.si,none
auth.eprostor-test.gov.si,none
auth.eprostor.gov.si,none
autodiscover.ess.gov.si,none
autodiscover.gov.si,none
avk-jn007451-expc-clu.avk.sigov.si,none
avk-jn007451-expc01.avk.sigov.si,none
avk-jn007451-expc02.avk.sigov.si,none
avk-jn007451-expe-clu.gov.si,none
avk-jn007451-expe01.gov.si,none
avk-jn007451-expe02.gov.si,none
avk-jn007451-expebru.gov.si,none
avk-jn007451-exph.avk.sigov.si,none
avk-jn007451-exph02.avk.sigov.si,none
avk.sigov.si,none
b51-sola.gov.si,none
betaeracuni.ujp.gov.si,none
betaujpnet.ujp.gov.si,none
biocoded.gov.si,none
blagajne.fu.gov.si,none
blagajne.fu.sigov.si,none
ca.gov.si,none
cen.gov.si,none
certauth.du-sts.gov.si,none
certout.du-sts.gov.si,none
chatbot.muza.gov.si,none
cip-admin.gov.si,none
cip-ankete.gov.si,none
cip-eprijave.gov.si,none
cip-lms.gov.si,none
cip.gov.si,none
cis-uvhvvr.gov.si,none
cis-vurs.gov.si,none
cis.uvhvvr.gov.si,none
cixp-si-mgt.gov.si,none
cixp-si.gov.si,none
cixpstag-si-mgt.gov.si,none
cixpstag-si.gov.si,none
connect.sigov-ca.gov.si,none
csexmbx.ess.gov.si,none
csvideocall.ess.gov.si,none
data-ppa-test.gov.si,none
data-ppa.gov.si,none
data.gov.si,none
dialin.ess.gov.si,none
dof-aktrp.gov.si,none
dokumenti-pis.mop.gov.si,none
dp1.arso.gov.si,none
drexmbx.ess.gov.si,none
drr-razpisi.gov.si,none
du-sts.gov.si,none
dzp.gov.si,none
e-kmetija-sipass.gov.si,none
e-kmetija.gov.si,none
e-prostor.gov.si,none
e-storitve-zirs.gov.si,none
e-uprava-eplacila-test.gov.si,none
e-uprava-eplacila.gov.si,none
e-uprava-test.gov.si,none
e-uprava-uvajanje.gov.si,none
e-uprava.gov.si,none
e-uvhvvr.gov.si,none
ecarina-test.carina.gov.si,none
ecarina-test.curs.sigov.si,none
ecarina-test.fu.gov.si,none
ecarina.carina.gov.si,none
ecarina.fu.gov.si,none
ecarina85-test.fu.gov.si,none
ecarina85.carina.gov.si,none
ecrp.gov.si,none
edelivery-gw.mpju.gov.si,none
edelivery-oots-sola.gov.si,none
edelivery-oots.gov.si,none
edrazbe-sola.gov.si,none
edrazbe.gov.si,none
eforms.arrs.gov.si,none
efotograf-test.gov.si,none
efotograf.gov.si,none
egp.gu.gov.si,none
eid.gov.si,none
eiks.gov.si,none
eionet-test.arso.gov.si,none
eionet.arso.gov.si,none
ejn.gov.si,none
ejr.ekultura.gov.si,none
ejr.gov.si,none
ejr.maribor.gov.si,none
ekmetijstvo-api.gov.si,none
ekmetijstvo.gov.si,none
ekt2jedro.gov.si,none
elections.gov.si,none
ema.arr.gov.si,none
ema.arr.sigov.si,none
ema2-integ.gov.si,none
ema2.arr.gov.si,none
ema2.gov.si,none
emddsz.gov.si,none
enakvis-sola.portal.gov.si,none
enakvis-test.portal.gov.si,none
enakvis.portal.gov.si,none
enotnazbirkaukrepov.gov.si,none
enr.gov.si,none
enr.sigov.si,none
enterpriseenrollment.mzz.gov.si,none
enterpriseregistration.gov.si,none
eobrazci.arrs.gov.si,none
epanel.gov.si,none
eplacila.ujp.gov.si,none
epos-de.gov.si,none
epos.de.gov.si,none
eposta.gov.si,none
eprostor-test.gov.si,none
eprostor.gov.si,none
equidae.mkgp.gov.si,none
eracuni.ujp.gov.si,none
erkg.gov.si,none
esamonarocanje.gov.si,none
esp.azil-test.gov.si,none
espatial.gov.si,none
ess.gov.si,none
esvetovanje.ess.gov.si,none
etkv.gov.si,none
etn.gu.gov.si,none
etn.gurs.sigov.si,none
etor-test.mnz.gov.si,none
etor.mnz.gov.si,none
eua-admin.gov.si,none
eua-ankete.gov.si,none
eua-lms.gov.si,none
eua-prijave.gov.si,none
eua.gov.si,none
eup-ls.gov.si,none
euprava-storitve-test.gov.si,none
euprava-storitve.gov.si,none
euprava.jep.gov.si,none
euz.gov.si,none
evem-sola.gov.si,none
evem-test.gov.si,none
evem.gov.si,none
evidence-sola.gov.si,none
evidence.gov.si,none
evidim-test.gov.si,none
evidim.gov.si,none
eviz.gov.si,none
evrocanje-test.gov.si,none
evrocanje.gov.si,none
expired.si-trust.gov.si,none
extra.gov.si,none
ezrlkv.gov.si,none
ffws-rp.arso.gov.si,none
fizicna.jep.gov.si,none
forum2.arsktrp.gov.si,none
fu.gov.si,none
furs.gov.si,none
gea.arso.gov.si,none
geohub.gov.si,none
geohubstage.gov.si,none
geoportal.gov.si,none
gis.arso.gov.si,none
gis.gov.si,none
gis.zgs.gov.si,none
gisedit.gov.si,none
gismobile.gov.si,none
gisportal.gov.si,none
gisserver.gov.si,none
gistiles.arso.gov.si,none
gistiles1.arso.gov.si,none
gistiles2.arso.gov.si,none
gistiles3.arso.gov.si,none
gistiles4.arso.gov.si,none
gospodar.gov.si,none
gov.si,none
help.isl.gov.si,none
hfsvis.arso.gov.si,none
hidopazovanja.arso.gov.si,none
hrm.muza.gov.si,none
imap1.posta.sigov.si,none
imap2.posta.sigov.si,none
