subdomain,parent_domain,http_status,mx
1ka.furs.gov.si,gov.si,200,none
2445.obvestila.gov.si,gov.si,200,10 mx.sqm-secure.eu.
4085.obvestila.gov.si,gov.si,200,10 mx.sqm-secure.eu.
5125.obvestila.gov.si,gov.si,200,10 mx.sqm-secure.eu.
5251.ess.gov.si,gov.si,SSL certificate problem: certificate has expired,10 mx.sqm-secure.eu.
5251.obvestila.gov.si,gov.si,200,10 mx.sqm-secure.eu.
acc.gov.si,gov.si,Could not resolve host: acc.gov.si,none
acme-test.gov.si,gov.si,Could not resolve host: acme-test.gov.si,none
acme-test.sigov.si,gov.si,Could not resolve host: acme-test.sigov.si,none
acme-test1.sigov.si,gov.si,Could not resolve host: acme-test1.sigov.si,none
acme-test2.sigov.si,gov.si,Could not resolve host: acme-test2.sigov.si,none
admin.muza.gov.si,gov.si,Could not resolve host: admin.muza.gov.si,none
aeoi.fu.gov.si,gov.si,Could not resolve host: aeoi.fu.gov.si,none
agromet.mkgp.gov.si,gov.si,302,none
alerts.isl.gov.si,gov.si,Could not resolve host: alerts.isl.gov.si,none
am-sola.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
am.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
ankete.ess.gov.si,gov.si,Connection timed out after 3001 milliseconds,none
ankete.gov.si,gov.si,Connection timed out after 3002 milliseconds,none
anon.jep.gov.si,gov.si,302,none
api-int.msc.arso.gov.si,gov.si,SSL: no alternative certificate subject name matches target hostname 'api-int.msc.arso.gov.si',none
api.msc.arso.gov.si,gov.si,SSL: no alternative certificate subject name matches target hostname 'api.msc.arso.gov.si',none
apis-g-test.arso.gov.si,gov.si,404,none
apis-g.arso.gov.si,gov.si,404,none
apl.ars.gov.si,gov.si,Connection timed out after 3002 milliseconds,none
apl.ess.gov.si,gov.si,Connection timed out after 3001 milliseconds,none
appl.sigov-ca.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
apps.ess.gov.si,gov.si,Could not resolve host: apps.ess.gov.si,none
arhiv-spletisc.gov.si,gov.si,SSL: no alternative certificate subject name matches target hostname 'arhiv-spletisc.gov.si',none
arhiv.mm.gov.si,gov.si,200,none
arr.gov.si,gov.si,Could not resolve host: arr.gov.si,none
arrs.gov.si,gov.si,SSL: no alternative certificate subject name matches target hostname 'arrs.gov.si',none
ars.gov.si,gov.si,Could not resolve host: ars.gov.si,none
