hostname,score,sources,label,level
imy.se,10,wikidata;wikidata;linkgraph,Swedish Authority for Privacy Protection,central
domstol.se,9,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Swedish National Courts Administration | Q97143444 | Q10501718 | Malmö District Court | Supreme Court of Sweden | Umeå District Court | Stockholm District Court | Judges Proposals Board | administrative court of appeal in Stockholm | Örebro rättscentrum | Migration Court in Gothenburg | Law Clerks Board | Q80207153 | Legal Aid Board | Borås tingsrätt | Q97143443 | Q97143442,central
pts.se,9,wikidata;linkgraph,Swedish Post and Telecom Agency,central
digg.se,8,wikidata;linkgraph,Agency for Digital Government,central
1177.se,7,linkgraph,Linked from 22 public-sector domains,
arbetsformedlingen.se,7,wikidata;linkgraph,Swedish Public Employment Service,central
bolagsverket.se,7,wikidata;wikidata,Patent Attorneys Board | Swedish Companies Registration Office,central
fi.se,7,wikidata;wikidata,Financial Supervisory Authority,central
fmv.se,7,wikidata;wikidata,Defence Materiel Administration,central
forte.se,7,wikidata;wikidata,Swedish Research Council for Health Working Life and Welfare,central
irf.se,7,wikidata;wikidata,Swedish Institute of Space Physics,central
isof.se,7,wikidata;wikidata,Swedish Language Council | Swedish Institute for Language and Folklore,central
kau.se,7,wikidata;wikidata,Karlstad University,central
kb.se,7,wikidata;linkgraph,National Library of Sweden,central
kth.se,7,wikidata;wikidata,Royal Institute of Technology,central
lnu.se,7,wikidata;wikidata,Linnaeus University,central
lu.se,7,wikidata;wikidata,Lund University,central
mcf.se,7,wikidata;wikidata,Swedish Civil Defence and Resilience Agency,central
palestineembassy.se,7,wikidata;wikidata,"Embassy of Palestine, Stockholm",central
polar.se,7,wikidata;wikidata,Swedish Polar Research Secretariat,central
sakerhetspolisen.se,7,wikidata;wikidata,Swedish Security Service,central
sgu.se,7,wikidata;wikidata,Geological Survey of Sweden,central
sida.se,7,wikidata;wikidata,Swedish International Development Cooperation Agency,central
skane.se,7,wikidata;wikidata,Region Skåne,
skolverket.se,7,wikidata;linkgraph,National Agency for Education,central
spv.se,7,wikidata;wikidata,National Government Employee Pensions Board | State Occupational Pensions and Group Life Board,central
su.se,7,wikidata;wikidata,Stockholm University,central
tlv.se,7,wikidata;wikidata,Dental and Pharmaceutical Benefits Agency,central
trafa.se,7,wikidata;wikidata,Transport Analysis,central
umu.se,7,wikidata;wikidata,Umeå University,central
vr.se,7,wikidata;wikidata,Swedish Research Council,central
vti.se,7,wikidata;wikidata,Swedish National Road and Transport Research Institute,central
hogstaforvaltningsdomstolen.se,6,wikidata,Supreme Administrative Court of Sweden,central
sverige.um.dk,6,wikidata;wikidata,Embassy of Denmark in Stockholm,central
aklagare.se,4,wikidata,Swedish Prosecution Authority,central
arbetsdomstolen.se,4,wikidata,Labour Court,
arbetsgivarverket.se,4,wikidata,Swedish Agency for Government Employers,central
arn.se,4,wikidata,The National Board for Consumer Disputes,central
arvsfonden.se,4,wikidata,Q80224507,central
av.se,4,wikidata,Swedish Work Environment Authority,central
bangladoot.se,4,wikidata,"Embassy of Bangladesh, Stockholm",central
barnombudsmannen.se,4,wikidata,Ombudsman for Children in Sweden,central
bfn.se,4,wikidata,Swedish Accounting Standards Board,central
bihambasada.se,4,wikidata,Embassy of Bosnia and Herzegovina in Stockholm,central
botswana.se,4,wikidata,"Embassy of Botswana, Stockholm",central
boverket.se,4,wikidata,"National Board of Housing, Building and Planning",central
bra.se,4,wikidata,Swedish National Council for Crime Prevention,central
brottsoffermyndigheten.se,4,wikidata,Crime Victim Compensation and Support Authority,central
bth.se,4,wikidata,Blekinge Institute of Technology,central
cdfn.se,4,wikidata,Swedish National board on research animal ethics,central
chinaembassy.se,4,wikidata,"Embassy of the People's Republic of China, Stockholm",central
csn.se,4,wikidata,Swedish Board for Study Support,central
dintur.se,4,wikidata,Din Tur,
do.se,4,wikidata,Discrimination Ombudsman,central
du.se,4,wikidata,Dalarna University,central
ehalsomyndigheten.se,4,wikidata,Swedish eHealth Agency,central
ei.se,4,wikidata,Swedish Energy Markets Inspectorate,central
ekn.se,4,wikidata,Swedish Export Credits Guarantee Board,central
ekobrottsmyndigheten.se,4,wikidata,Swedish Economic Crime Authority,central
elsakerhetsverket.se,4,wikidata,National Electrical Safety Board,central
embassymozambique.se,4,wikidata,"Embassy of Mozambique, Stockholm",central
embolivia.se,4,wikidata,"Embassy of Bolivia, Stockholm",central
energimyndigheten.se,4,wikidata,Swedish Energy Agency,central
eritrean-embassy.se,4,wikidata,"Embassy of Eritrea, Stockholm",central
esf.se,4,wikidata,Swedish European Social Fund Council,central
ethemb.se,4,wikidata,embassy of Ethiopia to Sweden,central
etikprovning.se,4,wikidata,Swedish Ethical Review Authority,central
fba.se,4,wikidata,Folke Bernadotte Academy,central
fhs.se,4,wikidata,Swedish Defence University,
fmi.se,4,wikidata,Swedish Estate Agents Inspectorate,central
foi.se,4,wikidata,Swedish Defence Research Agency,central
folkhalsomyndigheten.se,4,wikidata,Public Health Agency of Sweden,central
formas.se,4,wikidata,Formas,central
forsakringskassan.se,4,wikidata,Swedish Social Insurance Agency,central
forskarskattenamnden.se,4,wikidata,The Taxation of Research Workers Board,central
forsvarsmakten.se,4,wikidata,Swedish Armed Forces,central
fortifikationsverket.se,4,wikidata,National Fortifications Administration,central
fpr.se,4,wikidata,Swedish Fiscal Policy Council,central
fra.se,4,wikidata,National Defence Radio Establishment,central
ftn.se,4,wikidata,Swedish Fund Selection Agency,
genteknik.se,4,wikidata,Swedish Gene Technology Advisory Board,central
gih.se,4,wikidata,Swedish School of Sport and Health Sciences,central
gotahovratt.se,4,wikidata,Göta Court of Appeal,
goteborg.se,4,wikidata,Q122750397,
gotland.se,4,wikidata,Region Gotland,
han.se,4,wikidata,The Higher Education Expulsions Board,central
harpsund.se,4,wikidata,Harpsund Committee,central
havochvatten.se,4,wikidata,Swedish Agency for Marine and Water Management,central
hb.se,4,wikidata,University of Borås,central
hh.se,4,wikidata,Halmstad University College,central
hig.se,4,wikidata,University of Gävle,central
his.se,4,wikidata,University of Skövde,central
hkr.se,4,wikidata,Kristianstad University,central
hovrattenfornedrenorrland.se,4,wikidata,Court of Appeal for Southern Norrland,
hovrattenovrenorrland.domstol.se,4,wikidata,Court of Appeal for Northern Norrland,
hovrattenskaneblekinge.domstol.se,4,wikidata,Scania and Blekinge Court of Appeal,
hsan.se,4,wikidata,Medical Responsibility Board,central
hv.se,4,wikidata,University West,central
iaf.se,4,wikidata,The Swedish Unemployment Insurance Inspectorate,central
ifau.se,4,wikidata,Institute for Evaluation of Labour Market and Education Policy,central
inspsf.se,4,wikidata,Swedish Social Insurance Inspectorate,central
isp.se,4,wikidata,Swedish Agency for Non-Proliferation and Export Controls,central
ivo.se,4,wikidata,Health and Social Care Inspectorate,central
jamstalldhetsmyndigheten.se,4,wikidata,Swedish Gender Equality Agency,central
jk.se,4,wikidata,Chancellor of Justice,central
jordbruksverket.se,4,wikidata,Swedish Board of Agriculture,central
kammarrattenigoteborg.domstol.se,4,wikidata,administrative court of appeal in Gothenburg,
kammarrattenijonkoping.domstol.se,4,wikidata,administrative court of appeal in Jönköping,
kammarrattenisundsvall.se,4,wikidata,administrative court of appeal in Sundsvall,
karnavfallsfonden.se,4,wikidata,Nuclear Waste Fund,central
kavlinge.se,4,wikidata,Q80207105,central
kemi.se,4,wikidata,Swedish Chemicals Agency,central
ki.se,4,wikidata,Karolinska Institutet,central
kkh.se,4,wikidata,Royal Institute of Art,central
klimatpolitiskaradet.se,4,wikidata,Swedish Climate Policy Council,central
kmh.se,4,wikidata,Royal College of Music in Stockholm,central
kommerskollegium.se,4,wikidata,National Board of Trade,central
konj.se,4,wikidata,National Institute of Economic Research,central
konkurrensverket.se,4,wikidata,Swedish Competition Authority,central
konstfack.se,4,wikidata,Konstfack,central
konstnarsnamnden.se,4,wikidata,Swedish Arts Grants Committee,central
konsumentverket.se,4,wikidata,Swedish Consumer Agency,central
kriminalvarden.se,4,wikidata,Swedish Prison and Probation Service,central
kronofogden.se,4,wikidata,Swedish Enforcement Authority,central
kulturanalys.se,4,wikidata,Swedish Agency for Cultural Policy Analysis,central
kulturradet.se,4,wikidata,Swedish Arts Council,central
kungahuset.se,4,wikidata,Royal Court of Sweden,
kustbevakningen.se,4,wikidata,Swedish Coast Guard,central
kuwaitembassy.se,4,wikidata,"Embassy of Kuwait, Stockholm",central
lagradet.se,4,wikidata,Council on Legislation,central
lakemedelsverket.se,4,wikidata,Swedish Medical Products Agency,central
lantmateriet.se,4,wikidata,Lantmäteriet,central
laosembassystockholm.egnaverk.se,4,wikidata,"Embassy of Laos, Stockholm",central
lebanonembassy.se,4,wikidata,"Embassy of Lebanon, Stockholm",central
levandehistoria.se,4,wikidata,Forum för levande historia,central
lfv.se,4,wikidata,Civil Aviation Administration,
liu.se,4,wikidata,Linköping University,central
livsmedelsverket.se,4,wikidata,National Food Agency,central
lotteriinspektionen.se,4,wikidata,Spelinspektionen,central
ltu.se,4,wikidata,Luleå University of Technology,central
markochmiljooverdomstolen.se,4,wikidata,Land and Environment Court of Appeal,
mau.se,4,wikidata,Malmö University,central
mdu.se,4,wikidata,Mälardalen University,central
mediemyndigheten.se,4,wikidata,Swedish Agency for the Media,central
mfd.se,4,wikidata,The Swedish Agency for Participation,central
mfof.se,4,wikidata,Swedish Intercountry Adoptions Authority,central
mi.se,4,wikidata,National Mediation Office,central
migrationsverket.se,4,wikidata,Swedish Migration Agency,central
miun.se,4,wikidata,Mid Sweden University,central
modernamuseet.se,4,wikidata,Moderna Museet,central
mofaic.gov.ae,4,wikidata,"Embassy of United Arab Emirates, Stockholm",central
mpf.se,4,wikidata,Office of Psychological Defense,
mrinstitutet.se,4,wikidata,The Swedish Institute for Human Rights,central
msi.se,4,wikidata,Swedish Commission on Security and Integrity Protection,central
mtfa.se,4,wikidata,Swedish Agency for Defence Analysis,central
mtm.se,4,wikidata,Swedish Agency for Accessible Media,central
mucf.se,4,wikidata,National Board for Youth Affairs,central
