hostname,score,sources,label,level,http_status,mx
imy.se,10,wikidata;wikidata;linkgraph,Swedish Authority for Privacy Protection,central,302,10 mx2.improve.nordlo.cloud.; 10 mx1.improve.nordlo.cloud.
domstol.se,9,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Swedish National Courts Administration | Q97143444 | Q10501718 | Malmö District Court | Supreme Court of Sweden | Umeå District Court | Stockholm District Court | Judges Proposals Board | administrative court of appeal in Stockholm | Örebro rättscentrum | Migration Court in Gothenburg | Law Clerks Board | Q80207153 | Legal Aid Board | Borås tingsrätt | Q97143443 | Q97143442,central,301,none
pts.se,9,wikidata;linkgraph,Swedish Post and Telecom Agency,central,200,0 pts-se.mail.protection.outlook.com.
digg.se,8,wikidata;linkgraph,Agency for Digital Government,central,301,5 diapmx01.digg.se.
1177.se,7,linkgraph,Linked from 22 public-sector domains,,301,10 1177-se.mail.protection.outlook.com.
arbetsformedlingen.se,7,wikidata;linkgraph,Swedish Public Employment Service,central,200,10 smtp.arbetsformedlingen.se.
bolagsverket.se,7,wikidata;wikidata,Patent Attorneys Board | Swedish Companies Registration Office,central,IOException: HTTP/1.1 header parser received no bytes,10 ext-mail.bolagsverket.se.
fi.se,7,wikidata;wikidata,Financial Supervisory Authority,central,400,100 post2.fi.se.; 5 post.fi.se.
fmv.se,7,wikidata;wikidata,Defence Materiel Administration,central,301,5 post6.fmv.se.; 5 post5.fmv.se.
forte.se,7,wikidata;wikidata,Swedish Research Council for Health Working Life and Welfare,central,200,20 mailgw6.vinnova.se.; 10 mailgw5.vinnova.se.
irf.se,7,wikidata;wikidata,Swedish Institute of Space Physics,central,301,10 mailfilter-ng-1.sunet.se.; 10 mailfilter-ng-3.sunet.se.; 10 mailfilter-ng-4.sunet.se.
isof.se,7,wikidata;wikidata,Swedish Language Council | Swedish Institute for Language and Folklore,central,301,10 mailfilter-ng-4.sunet.se.; 10 mailfilter-ng-3.sunet.se.; 10 mailfilter-ng-1.sunet.se.; 20 mailfilter-ng-2.sunet.se.
kb.se,7,wikidata;linkgraph,National Library of Sweden,central,301,1 kb-se.mail.protection.outlook.com.
kth.se,7,wikidata;wikidata,Royal Institute of Technology,central,301,10 mailfilter-ng-3.sunet.se.; 20 mailfilter-ng-2.sunet.se.; 10 mailfilter-ng-1.sunet.se.; 10 mailfilter-ng-4.sunet.se.
mcf.se,7,wikidata;wikidata,Swedish Civil Defence and Resilience Agency,central,301,10 mailgw-02.msb.se.; 10 mailgw-01.msb.se.
palestineembassy.se,7,wikidata;wikidata,"Embassy of Palestine, Stockholm",central,200,10 mx4.pub.mailpod14-cph3.one.com.; 10 mx3.pub.mailpod14-cph3.one.com.; 10 mx2.pub.mailpod14-cph3.one.com.; 10 mx1.pub.mailpod14-cph3.one.com.
polar.se,7,wikidata;wikidata,Swedish Polar Research Secretariat,central,301,0 polar-se.mail.protection.outlook.com.
sakerhetspolisen.se,7,wikidata;wikidata,Swedish Security Service,central,247,10 mail.sakerhetspolisen.se.
sgu.se,7,wikidata;wikidata,Geological Survey of Sweden,central,301,10 mx2.sgu.se.; 10 mx1.sgu.se.
sida.se,7,wikidata;wikidata,Swedish International Development Cooperation Agency,central,200,10 se.mx1.mailanyone.net.; 20 se.mx2.mx25.net.
skane.se,7,wikidata;wikidata,Region Skåne,,403,10 skane-se.mail.protection.outlook.com.
skolverket.se,7,wikidata;linkgraph,National Agency for Education,central,301,10 smtp1.skolverket.se.; 10 smtp2.skolverket.se.
spv.se,7,wikidata;wikidata,National Government Employee Pensions Board | State Occupational Pensions and Group Life Board,central,302,5 spaspambx001.spv.se.
tlv.se,7,wikidata;wikidata,Dental and Pharmaceutical Benefits Agency,central,301,10 se.mx1.mailanyone.net.; 20 se.mx2.mx25.net.; 40 se.mx4.mx25.net.; 30 se.mx3.mailanyone.net.
trafa.se,7,wikidata;wikidata,Transport Analysis,central,301,2 trafa-se.mail.protection.outlook.com.
umu.se,7,wikidata;wikidata,Umeå University,central,302,10 umu-se.mail.protection.outlook.com.
vr.se,7,wikidata;wikidata,Swedish Research Council,central,301,0 vr-se.mail.protection.outlook.com.
vti.se,7,wikidata;wikidata,Swedish National Road and Transport Research Institute,central,301,0 vti-se.mail.protection.outlook.com.
hogstaforvaltningsdomstolen.se,6,wikidata,Supreme Administrative Court of Sweden,central,301,none
sverige.um.dk,6,wikidata;wikidata,Embassy of Denmark in Stockholm,central,301,none
aklagare.se,4,wikidata,Swedish Prosecution Authority,central,301,10 mail1.aklagare.se.; 10 mail2.aklagare.se.
arbetsdomstolen.se,4,wikidata,Labour Court,,200,10 adspambx0001.arbetsdomstolen.se.
arbetsgivarverket.se,4,wikidata,Swedish Agency for Government Employers,central,301,10 arbetsgivarverket-se.mail.protection.outlook.com.
arn.se,4,wikidata,The National Board for Consumer Disputes,central,200,10 mx1.epm.se.; 10 mx2.epm.se.
arvsfonden.se,4,wikidata,Q80224507,central,301,10 se.mx1.mailanyone.net.; 20 se.mx2.mx25.net.; 30 se.mx3.mailanyone.net.; 40 se.mx4.mx25.net.
av.se,4,wikidata,Swedish Work Environment Authority,central,301,10 mail.av.se.; 20 mail2.av.se.
bangladoot.se,4,wikidata,"Embassy of Bangladesh, Stockholm",central,202,78 route2.mx.cloudflare.net.; 38 route1.mx.cloudflare.net.; 25 route3.mx.cloudflare.net.
barnombudsmannen.se,4,wikidata,Ombudsman for Children in Sweden,central,301,10 bospambx0001.barnombudsmannen.se.
bfn.se,4,wikidata,Swedish Accounting Standards Board,central,301,100 post2.fi.se.; 5 post.fi.se.
bihambasada.se,4,wikidata,Embassy of Bosnia and Herzegovina in Stockholm,central,301,10 mx2.pub.mailpod11-cph3.one.com.; 10 mx3.pub.mailpod11-cph3.one.com.; 10 mx1.pub.mailpod11-cph3.one.com.; 10 mx4.pub.mailpod11-cph3.one.com.
botswana.se,4,wikidata,"Embassy of Botswana, Stockholm",central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching botswana.se found.,none
boverket.se,4,wikidata,"National Board of Housing, Building and Planning",central,301,10 mx02.advania.cloud.; 10 mx01.advania.cloud.
bra.se,4,wikidata,Swedish National Council for Crime Prevention,central,200,30 se.mx3.mailanyone.net.; 10 se.mx1.mailanyone.net.; 20 se.mx2.mx25.net.; 40 se.mx4.mx25.net.
brottsoffermyndigheten.se,4,wikidata,Crime Victim Compensation and Support Authority,central,301,10 brspambx0001.brottsoffermyndigheten.se.
bth.se,4,wikidata,Blekinge Institute of Technology,central,301,10 bth-se.mail.protection.outlook.com.
cdfn.se,4,wikidata,Swedish National board on research animal ethics,central,200,none
chinaembassy.se,4,wikidata,"Embassy of the People's Republic of China, Stockholm",central,200,10 mx10.websupport.se.; 100 mx20.websupport.se.
csn.se,4,wikidata,Swedish Board for Study Support,central,301,10 mx01.csn.se.; 10 mx02.csn.se.
dintur.se,4,wikidata,Din Tur,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching dintur.se found.,20 dintur-se.mail.protection.outlook.com.
do.se,4,wikidata,Discrimination Ombudsman,central,ProtocolException: malformed response: Prohibited header name 'connection',10 mx1.epm.se.; 10 mx2.epm.se.
du.se,4,wikidata,Dalarna University,central,301,10 mailfilter-ng-1.sunet.se.; 20 mailfilter-ng-2.sunet.se.; 10 mailfilter-ng-3.sunet.se.; 10 mailfilter-ng-4.sunet.se.
ehalsomyndigheten.se,4,wikidata,Swedish eHealth Agency,central,301,0 ehspambx0001.ehalsomyndigheten.se.
ei.se,4,wikidata,Swedish Energy Markets Inspectorate,central,200,10 ei-se.mail.protection.outlook.com.
ekn.se,4,wikidata,Swedish Export Credits Guarantee Board,central,301,10 mx02.advania.cloud.; 10 mx01.advania.cloud.
ekobrottsmyndigheten.se,4,wikidata,Swedish Economic Crime Authority,central,301,10 mail2.aklagare.se.; 10 mail1.aklagare.se.
