subdomain,http_status,mx
adfs.riksdagen.se,ConnectException > UnresolvedAddressException,
applikationer.riksdagen.se,ConnectException > UnresolvedAddressException,
aruba-master.riksdagen.se,ConnectException > UnresolvedAddressException,
autodiscover.riksdagen.se,ConnectException > UnresolvedAddressException,
av.riksdagen.se,SSLHandshakeException > SocketException: Connection reset,
beta.riksdagen.se,ConnectException > UnresolvedAddressException,
betameta.riksdagen.se,ConnectException > UnresolvedAddressException,
bilder.front.riksdagen.se,ConnectException > UnresolvedAddressException,
bilder.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
certauth.adfs.riksdagen.se,ConnectException > UnresolvedAddressException,
christmascard.riksdagen.se,ConnectException > UnresolvedAddressException,
csp.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
da.riksdagen.se,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
das.riksdagen.se,ConnectException > ClosedChannelException,
das2.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
das3.riksdagen.se,ConnectException > UnresolvedAddressException,
das4.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
data.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
dialin.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
did.riksdagen.se,400,
edit.riksdagen.se,ConnectException > UnresolvedAddressException,
epost.riksdagen.se,ConnectException > UnresolvedAddressException,
eu-upplysningen.riksdagen.se,ConnectException > UnresolvedAddressException,
eu.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
evenemang.riksdagen.se,ConnectException > UnresolvedAddressException,
evpn.riksdagen.se,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
filetransfer.riksdagen.se,ConnectException > ClosedChannelException,
firademokratin.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
ftjoedge.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
fvpn.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
fvpnjo.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
gbwebint.riksdagen.se,ConnectException > UnresolvedAddressException,
gruppbokning.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
identityserver.riksdagen.se,ConnectException > UnresolvedAddressException,
intranatet.riksdagen.se,ConnectException > UnresolvedAddressException,
intranatetbeta.riksdagen.se,ConnectException > UnresolvedAddressException,
istap.riksdagen.se,ConnectException > UnresolvedAddressException,
istas.riksdagen.se,ConnectException > UnresolvedAddressException,
itv.riksdagen.se,ConnectException > UnresolvedAddressException,
joedge.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
joedgem.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
julkort.riksdagen.se,ConnectException > UnresolvedAddressException,
lemur.riksdagen.se,ConnectException > UnresolvedAddressException,
lemurv2.riksdagen.se,ConnectException > UnresolvedAddressException,
lrp.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
lyncdiscover.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
mailgw.riksdagen.se,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
mailgw2.riksdagen.se,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
mailgw3.riksdagen.se,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
mailgw4.riksdagen.se,ConnectException > UnresolvedAddressException,
mailgw5.riksdagen.se,ConnectException > UnresolvedAddressException,
mamstream.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
mas.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
mdm.riksdagen.se,ConnectException > UnresolvedAddressException,
mdm2.riksdagen.se,ConnectException > NoRouteToHostException: Host is unreachable,
media.riksdagen.se,400,
meet.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
meta.riksdagen.se,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
mhdownload.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
mhpublisher.riksdagen.se,ConnectException > UnresolvedAddressException,
mhstream.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
minsida.riksdagen.se,ConnectException > UnresolvedAddressException,
mobil.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
mobilapp.riksdagen.se,ConnectException > UnresolvedAddressException,
mobilapp2.riksdagen.se,ConnectException > UnresolvedAddressException,
mvpn.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
neuwstage.riksdagen.se,IOException > SocketException: Connection reset,
offwa.riksdagen.se,ConnectException > UnresolvedAddressException,
oos.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
paex01wf.riksdagen.se,ConnectException > UnresolvedAddressException,
paex02wf.riksdagen.se,ConnectException > UnresolvedAddressException,
paex03wf.riksdagen.se,ConnectException > UnresolvedAddressException,
paex04wf.riksdagen.se,ConnectException > UnresolvedAddressException,
pamamcore01lv.front.riksdagen.se,ConnectException > UnresolvedAddressException,
pamamcore02lv.front.riksdagen.se,ConnectException > UnresolvedAddressException,
pamamproxy01lv.front.riksdagen.se,ConnectException > UnresolvedAddressException,
pamamproxy02lv.front.riksdagen.se,ConnectException > UnresolvedAddressException,
parleu2023.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
pascram11lv.front.riksdagen.se,ConnectException > UnresolvedAddressException,
